trial,variant,operation,bits,source_offset,iterations,ns,checksum,encoding
0,baseline,order_and_lcp,64,0,131072,28.9278,8339456,0
0,baseline,order_and_lcp_early,64,0,131072,5.51669,131072,0
0,baseline,copy_to_aligned,64,0,131072,4.61705,14951330,10612444265752500643
0,baseline,copy_to_shifted,64,0,131072,131.742,18885030,16857641075921078406
0,baseline,front_order_and_lcp,64,0,131072,9.39465,999424,0
0,baseline,order_and_lcp,65,3,129055,160.426,8388576,0
0,baseline,order_and_lcp_early,65,3,129055,4.02412,129056,0
0,baseline,copy_to_aligned,65,3,129055,100.589,15298147,1059025378906581750
0,baseline,copy_to_shifted,65,3,129055,94.2479,15909312,14652123482455320431
0,baseline,order_and_lcp,512,0,16384,77.268,8386560,0
0,baseline,order_and_lcp_early,512,0,32768,3.08356,32768,0
0,baseline,copy_to_aligned,512,0,16384,2.76184,2040894,7487872683394423460
0,baseline,copy_to_shifted,512,0,16384,950.918,2151827,5695700198866017487
0,baseline,front_order_and_lcp,512,0,16384,39.7339,1046528,0
0,baseline,order_and_lcp,513,3,16352,996.02,8384488,0
0,baseline,order_and_lcp_early,513,3,32768,3.4841,32768,0
0,baseline,copy_to_aligned,513,3,16352,966.826,2033532,13549540094830414013
0,baseline,copy_to_shifted,513,3,16352,948.35,2025212,1277971867292287276
0,baseline,order_and_lcp,32768,0,512,4590.17,16777216,0
0,baseline,order_and_lcp_early,32768,0,32768,3.09497,32768,0
0,baseline,copy_to_aligned,32768,0,512,59.5703,65095,15697443229824947228
0,baseline,copy_to_shifted,32768,0,512,102171,70873,1340222264216771497
0,baseline,front_order_and_lcp,32768,0,512,2540.85,2097152,0
0,baseline,order_and_lcp,32769,3,512,63775.6,16777728,0
0,baseline,order_and_lcp_early,32769,3,32768,3.45358,32768,0
0,baseline,copy_to_aligned,32769,3,512,115642,64572,810501865908961312
0,baseline,copy_to_shifted,32769,3,512,104750,64487,17401643773666152548
0,baseline,read_count,4,0,932067,12.6713,6495309,14010549057497394684
0,baseline,write_count,4,0,932067,24.0939,5250149,498868200249582186
0,baseline,read_count,4,3,932067,12.4274,6495309,10667692899381957720
0,baseline,write_count,4,3,932067,23.8884,5250152,14011927138326259588
0,baseline,read_count,32,0,129055,117.69,292137550098970,15992147686396580461
0,baseline,write_count,32,0,129055,276,7873361,17611553731688309647
0,baseline,read_count,32,3,129055,119.233,292137550098970,9259898799459493243
0,baseline,write_count,32,3,129055,275.077,7873364,12531968474777650863
0,baseline,read_count,64,0,65027,254.858,12932659232303659454,13903021642346100837
