variant,trial,unit,k,prefix,round,items,ns,ns_per_item,bytes,crc
baseline,0,byte,3,0,1,5690,938292,164.902,44504,2819300699
baseline,0,byte,3,0,2,5690,958625,168.475,44504,2819300699
baseline,0,byte,3,0,3,5690,855667,150.381,44504,2819300699
baseline,0,byte,15,0,1,2632,415458,157.849,5600,2465078721
baseline,0,byte,15,0,2,2632,413125,156.962,5600,2465078721
baseline,0,byte,15,0,3,2632,410750,156.06,5600,2465078721
baseline,0,bit,3,0,1,5690,1387292,243.812,43464,498328193
baseline,0,bit,3,0,2,5690,1361709,239.316,43464,498328193
baseline,0,bit,3,0,3,5690,1341292,235.728,43464,498328193
baseline,0,bit,15,0,1,2632,691417,262.696,5560,1543349261
baseline,0,bit,15,0,2,2632,685917,260.607,5560,1543349261
baseline,0,bit,15,0,3,2632,757250,287.709,5560,1543349261
baseline,0,byte,3,4096,1,5690,2758375,484.776,54040,1801172336
baseline,0,byte,3,4096,2,5690,2737708,481.144,54040,1801172336
baseline,0,byte,3,4096,3,5690,2940292,516.747,54040,1801172336
baseline,0,byte,15,4096,1,2632,1371416,521.055,13848,1009584030
baseline,0,byte,15,4096,2,2632,1336834,507.916,13848,1009584030
baseline,0,byte,15,4096,3,2632,1311542,498.306,13848,1009584030
baseline,0,bit,3,4096,1,5690,3239583,569.347,55168,2006448778
baseline,0,bit,3,4096,2,5690,3221917,566.242,55168,2006448778
baseline,0,bit,3,4096,3,5690,3409875,599.275,55168,2006448778
baseline,0,bit,15,4096,1,2632,1667209,633.438,13880,3989410211
baseline,0,bit,15,4096,2,2632,1637375,622.103,13880,3989410211
baseline,0,bit,15,4096,3,2632,1627125,618.209,13880,3989410211
candidate,0,byte,3,0,1,5690,1184792,208.224,44504,2819300699
candidate,0,byte,3,0,2,5690,1166500,205.009,44504,2819300699
candidate,0,byte,3,0,3,5690,1104916,194.186,44504,2819300699
candidate,0,byte,15,0,1,2632,522666,198.581,5600,2465078721
candidate,0,byte,15,0,2,2632,511292,194.26,5600,2465078721
candidate,0,byte,15,0,3,2632,505083,191.901,5600,2465078721
candidate,0,bit,3,0,1,5690,1510667,265.495,43464,498328193
candidate,0,bit,3,0,2,5690,1500000,263.62,43464,498328193
candidate,0,bit,3,0,3,5690,1550375,272.474,43464,498328193
candidate,0,bit,15,0,1,2632,682917,259.467,5560,1543349261
candidate,0,bit,15,0,2,2632,667875,253.752,5560,1543349261
candidate,0,bit,15,0,3,2632,661291,251.25,5560,1543349261
candidate,0,byte,3,4096,1,5690,956167,168.043,54040,1801172336
candidate,0,byte,3,4096,2,5690,920333,161.746,54040,1801172336
candidate,0,byte,3,4096,3,5690,916541,161.079,54040,1801172336
candidate,0,byte,15,4096,1,2632,460292,174.883,13848,1009584030
candidate,0,byte,15,4096,2,2632,447292,169.944,13848,1009584030
candidate,0,byte,15,4096,3,2632,442208,168.012,13848,1009584030
candidate,0,bit,3,4096,1,5690,1410916,247.964,55168,2006448778
candidate,0,bit,3,4096,2,5690,1425500,250.527,55168,2006448778
candidate,0,bit,3,4096,3,5690,1447250,254.35,55168,2006448778
candidate,0,bit,15,4096,1,2632,737167,280.079,13880,3989410211
candidate,0,bit,15,4096,2,2632,696875,264.77,13880,3989410211
candidate,0,bit,15,4096,3,2632,669792,254.48,13880,3989410211
candidate,1,byte,3,0,1,5690,924458,162.471,44504,2819300699
candidate,1,byte,3,0,2,5690,893208,156.979,44504,2819300699
candidate,1,byte,3,0,3,5690,873917,153.588,44504,2819300699
candidate,1,byte,15,0,1,2632,470208,178.65,5600,2465078721
candidate,1,byte,15,0,2,2632,444750,168.978,5600,2465078721
candidate,1,byte,15,0,3,2632,440542,167.379,5600,2465078721
candidate,1,bit,3,0,1,5690,1409083,247.642,43464,498328193
candidate,1,bit,3,0,2,5690,1389792,244.252,43464,498328193
candidate,1,bit,3,0,3,5690,1456042,255.895,43464,498328193
candidate,1,bit,15,0,1,2632,664792,252.581,5560,1543349261
candidate,1,bit,15,0,2,2632,663125,251.947,5560,1543349261
candidate,1,bit,15,0,3,2632,668375,253.942,5560,1543349261
candidate,1,byte,3,4096,1,5690,929834,163.415,54040,1801172336
candidate,1,byte,3,4096,2,5690,913209,160.494,54040,1801172336
candidate,1,byte,3,4096,3,5690,948084,166.623,54040,1801172336
candidate,1,byte,15,4096,1,2632,467292,177.543,13848,1009584030
candidate,1,byte,15,4096,2,2632,449417,170.751,13848,1009584030
candidate,1,byte,15,4096,3,2632,441875,167.886,13848,1009584030
candidate,1,bit,3,4096,1,5690,1457708,256.188,55168,2006448778
candidate,1,bit,3,4096,2,5690,1347208,236.768,55168,2006448778
