variant,trial,unit,k,prefix,round,items,ns,ns_per_item,bytes,crc
baseline,0,byte,3,0,1,5690,896042,157.477,44504,2819300699
baseline,0,byte,3,0,2,5690,933291,164.023,44504,2819300699
baseline,0,byte,3,0,3,5690,891917,156.752,44504,2819300699
baseline,0,byte,15,0,1,2632,469958,178.555,5600,2465078721
baseline,0,byte,15,0,2,2632,463792,176.213,5600,2465078721
baseline,0,byte,15,0,3,2632,458416,174.17,5600,2465078721
baseline,0,bit,3,0,1,5690,1411542,248.074,43464,498328193
baseline,0,bit,3,0,2,5690,1430125,251.34,43464,498328193
baseline,0,bit,3,0,3,5690,1506791,264.814,43464,498328193
baseline,0,bit,15,0,1,2632,827625,314.447,5560,1543349261
baseline,0,bit,15,0,2,2632,758291,288.104,5560,1543349261
baseline,0,bit,15,0,3,2632,768458,291.967,5560,1543349261
baseline,0,byte,3,4096,1,5690,5659583,994.654,54040,1801172336
baseline,0,byte,3,4096,2,5690,5440000,956.063,54040,1801172336
baseline,0,byte,3,4096,3,5690,5707250,1003.03,54040,1801172336
baseline,0,byte,15,4096,1,2632,3039125,1154.68,13848,1009584030
baseline,0,byte,15,4096,2,2632,2973916,1129.91,13848,1009584030
baseline,0,byte,15,4096,3,2632,3049667,1158.69,13848,1009584030
baseline,0,bit,3,4096,1,5690,6256209,1099.51,55168,2006448778
baseline,0,bit,3,4096,2,5690,6150000,1080.84,55168,2006448778
baseline,0,bit,3,4096,3,5690,6170167,1084.39,55168,2006448778
baseline,0,bit,15,4096,1,2632,3406458,1294.25,13880,3989410211
baseline,0,bit,15,4096,2,2632,3320000,1261.4,13880,3989410211
baseline,0,bit,15,4096,3,2632,3239875,1230.96,13880,3989410211
candidate,0,byte,3,0,1,5690,918333,161.394,44504,2819300699
candidate,0,byte,3,0,2,5690,906667,159.344,44504,2819300699
candidate,0,byte,3,0,3,5690,927166,162.947,44504,2819300699
candidate,0,byte,15,0,1,2632,450417,171.131,5600,2465078721
candidate,0,byte,15,0,2,2632,484208,183.97,5600,2465078721
candidate,0,byte,15,0,3,2632,442750,168.218,5600,2465078721
candidate,0,bit,3,0,1,5690,1480500,260.193,43464,498328193
candidate,0,bit,3,0,2,5690,1373292,241.352,43464,498328193
candidate,0,bit,3,0,3,5690,1343416,236.101,43464,498328193
candidate,0,bit,15,0,1,2632,668750,254.084,5560,1543349261
candidate,0,bit,15,0,2,2632,661625,251.377,5560,1543349261
candidate,0,bit,15,0,3,2632,682375,259.261,5560,1543349261
candidate,0,byte,3,4096,1,5690,886333,155.77,54040,1801172336
candidate,0,byte,3,4096,2,5690,882916,155.17,54040,1801172336
candidate,0,byte,3,4096,3,5690,926166,162.771,54040,1801172336
candidate,0,byte,15,4096,1,2632,481583,182.972,13848,1009584030
candidate,0,byte,15,4096,2,2632,451375,171.495,13848,1009584030
candidate,0,byte,15,4096,3,2632,440000,167.173,13848,1009584030
candidate,0,bit,3,4096,1,5690,1460334,256.649,55168,2006448778
candidate,0,bit,3,4096,2,5690,1372292,241.176,55168,2006448778
candidate,0,bit,3,4096,3,5690,1366583,240.173,55168,2006448778
candidate,0,bit,15,4096,1,2632,668834,254.116,13880,3989410211
candidate,0,bit,15,4096,2,2632,662375,251.662,13880,3989410211
candidate,0,bit,15,4096,3,2632,663625,252.137,13880,3989410211
candidate,1,byte,3,0,1,5690,974125,171.199,44504,2819300699
candidate,1,byte,3,0,2,5690,916916,161.145,44504,2819300699
candidate,1,byte,3,0,3,5690,919625,161.621,44504,2819300699
candidate,1,byte,15,0,1,2632,450125,171.02,5600,2465078721
candidate,1,byte,15,0,2,2632,449125,170.64,5600,2465078721
candidate,1,byte,15,0,3,2632,480417,182.529,5600,2465078721
candidate,1,bit,3,0,1,5690,1467459,257.901,43464,498328193
candidate,1,bit,3,0,2,5690,1382333,242.941,43464,498328193
candidate,1,bit,3,0,3,5690,1349625,237.192,43464,498328193
candidate,1,bit,15,0,1,2632,683875,259.831,5560,1543349261
candidate,1,bit,15,0,2,2632,660208,250.839,5560,1543349261
candidate,1,bit,15,0,3,2632,681709,259.008,5560,1543349261
candidate,1,byte,3,4096,1,5690,994708,174.817,54040,1801172336
candidate,1,byte,3,4096,2,5690,959667,168.659,54040,1801172336
candidate,1,byte,3,4096,3,5690,946750,166.388,54040,1801172336
candidate,1,byte,15,4096,1,2632,443584,168.535,13848,1009584030
candidate,1,byte,15,4096,2,2632,446208,169.532,13848,1009584030
candidate,1,byte,15,4096,3,2632,441875,167.886,13848,1009584030
candidate,1,bit,3,4096,1,5690,1532167,269.274,55168,2006448778
candidate,1,bit,3,4096,2,5690,1366750,240.202,55168,2006448778
candidate,1,bit,3,4096,3,5690,1345792,236.519,55168,2006448778
candidate,1,bit,15,4096,1,2632,737084,280.047,13880,3989410211
candidate,1,bit,15,4096,2,2632,698916,265.546,13880,3989410211
candidate,1,bit,15,4096,3,2632,748750,284.479,13880,3989410211
baseline,1,byte,3,0,1,5690,952542,167.406,44504,2819300699
baseline,1,byte,3,0,2,5690,942333,165.612,44504,2819300699
baseline,1,byte,3,0,3,5690,918792,161.475,44504,2819300699
baseline,1,byte,15,0,1,2632,444084,168.725,5600,2465078721
baseline,1,byte,15,0,2,2632,470292,178.682,5600,2465078721
baseline,1,byte,15,0,3,2632,449708,170.862,5600,2465078721
baseline,1,bit,3,0,1,5690,1518000,266.784,43464,498328193
baseline,1,bit,3,0,2,5690,1536875,270.101,43464,498328193
baseline,1,bit,3,0,3,5690,1462625,257.052,43464,498328193
baseline,1,bit,15,0,1,2632,745417,283.213,5560,1543349261
baseline,1,bit,15,0,2,2632,764334,290.4,5560,1543349261
baseline,1,bit,15,0,3,2632,737458,280.189,5560,1543349261
baseline,1,byte,3,4096,1,5690,5480458,963.174,54040,1801172336
baseline,1,byte,3,4096,2,5690,5587542,981.993,54040,1801172336
baseline,1,byte,3,4096,3,5690,5898084,1036.57,54040,1801172336
baseline,1,byte,15,4096,1,2632,3010250,1143.71,13848,1009584030
baseline,1,byte,15,4096,2,2632,3045292,1157.03,13848,1009584030
baseline,1,byte,15,4096,3,2632,2929125,1112.89,13848,1009584030
baseline,1,bit,3,4096,1,5690,6125542,1076.55,55168,2006448778
baseline,1,bit,3,4096,2,5690,6108667,1073.58,55168,2006448778
baseline,1,bit,3,4096,3,5690,6179125,1085.96,55168,2006448778
baseline,1,bit,15,4096,1,2632,3392125,1288.8,13880,3989410211
baseline,1,bit,15,4096,2,2632,3286458,1248.65,13880,3989410211
baseline,1,bit,15,4096,3,2632,3334291,1266.83,13880,3989410211
baseline,2,byte,3,0,1,5690,948750,166.74,44504,2819300699
baseline,2,byte,3,0,2,5690,879708,154.606,44504,2819300699
baseline,2,byte,3,0,3,5690,900958,158.341,44504,2819300699
baseline,2,byte,15,0,1,2632,481791,183.051,5600,2465078721
baseline,2,byte,15,0,2,2632,462083,175.563,5600,2465078721
baseline,2,byte,15,0,3,2632,456958,173.616,5600,2465078721
baseline,2,bit,3,0,1,5690,1499417,263.518,43464,498328193
baseline,2,bit,3,0,2,5690,1476708,259.527,43464,498328193
baseline,2,bit,3,0,3,5690,1442416,253.5,43464,498328193
baseline,2,bit,15,0,1,2632,803042,305.107,5560,1543349261
baseline,2,bit,15,0,2,2632,798125,303.239,5560,1543349261
baseline,2,bit,15,0,3,2632,767458,291.587,5560,1543349261
baseline,2,byte,3,4096,1,5690,5781541,1016.09,54040,1801172336
baseline,2,byte,3,4096,2,5690,5576708,980.089,54040,1801172336
baseline,2,byte,3,4096,3,5690,5602791,984.673,54040,1801172336
baseline,2,byte,15,4096,1,2632,3118542,1184.86,13848,1009584030
baseline,2,byte,15,4096,2,2632,2988125,1135.31,13848,1009584030
baseline,2,byte,15,4096,3,2632,3022000,1148.18,13848,1009584030
baseline,2,bit,3,4096,1,5690,6224833,1094,55168,2006448778
baseline,2,bit,3,4096,2,5690,6169584,1084.29,55168,2006448778
baseline,2,bit,3,4096,3,5690,6346125,1115.31,55168,2006448778
baseline,2,bit,15,4096,1,2632,3383166,1285.4,13880,3989410211
baseline,2,bit,15,4096,2,2632,3284917,1248.07,13880,3989410211
baseline,2,bit,15,4096,3,2632,3256209,1237.16,13880,3989410211
candidate,2,byte,3,0,1,5690,927958,163.086,44504,2819300699
candidate,2,byte,3,0,2,5690,881958,155.001,44504,2819300699
candidate,2,byte,3,0,3,5690,906208,159.263,44504,2819300699
candidate,2,byte,15,0,1,2632,469500,178.381,5600,2465078721
candidate,2,byte,15,0,2,2632,455042,172.888,5600,2465078721
candidate,2,byte,15,0,3,2632,445458,169.247,5600,2465078721
candidate,2,bit,3,0,1,5690,1375916,241.813,43464,498328193
candidate,2,bit,3,0,2,5690,1351916,237.595,43464,498328193
candidate,2,bit,3,0,3,5690,1372292,241.176,43464,498328193
candidate,2,bit,15,0,1,2632,746000,283.435,5560,1543349261
candidate,2,bit,15,0,2,2632,828667,314.843,5560,1543349261
candidate,2,bit,15,0,3,2632,694458,263.852,5560,1543349261
candidate,2,byte,3,4096,1,5690,943125,165.751,54040,1801172336
candidate,2,byte,3,4096,2,5690,943666,165.846,54040,1801172336
