variant,trial,unit,k,prefix,round,items,ns,ns_per_item,bytes,crc
baseline,0,byte,3,0,1,5690,1265625,222.43,44504,2819300699
baseline,0,byte,3,0,2,5690,1289250,226.582,44504,2819300699
baseline,0,byte,3,0,3,5690,1291541,226.984,44504,2819300699
baseline,0,byte,15,0,1,2632,600542,228.169,5600,2465078721
baseline,0,byte,15,0,2,2632,561292,213.257,5600,2465078721
baseline,0,byte,15,0,3,2632,560042,212.782,5600,2465078721
baseline,0,bit,3,0,1,5690,1763209,309.879,43464,498328193
baseline,0,bit,3,0,2,5690,1760500,309.402,43464,498328193
baseline,0,bit,3,0,3,5690,1789625,314.521,43464,498328193
baseline,0,bit,15,0,1,2632,878208,333.666,5560,1543349261
baseline,0,bit,15,0,2,2632,979958,372.324,5560,1543349261
baseline,0,bit,15,0,3,2632,904292,343.576,5560,1543349261
baseline,0,byte,3,4096,1,5690,6205542,1090.6,54040,1801172336
baseline,0,byte,3,4096,2,5690,6038583,1061.26,54040,1801172336
baseline,0,byte,3,4096,3,5690,5860333,1029.94,54040,1801172336
baseline,0,byte,15,4096,1,2632,3190125,1212.05,13848,1009584030
baseline,0,byte,15,4096,2,2632,3079208,1169.91,13848,1009584030
baseline,0,byte,15,4096,3,2632,3124875,1187.26,13848,1009584030
baseline,0,bit,3,4096,1,5690,6214458,1092.17,55168,2006448778
baseline,0,bit,3,4096,2,5690,6267250,1101.45,55168,2006448778
baseline,0,bit,3,4096,3,5690,6439250,1131.68,55168,2006448778
baseline,0,bit,15,4096,1,2632,3300167,1253.86,13880,3989410211
baseline,0,bit,15,4096,2,2632,3357958,1275.82,13880,3989410211
baseline,0,bit,15,4096,3,2632,3380167,1284.26,13880,3989410211
candidate,0,byte,3,0,1,5690,1206709,212.075,44504,2819300699
candidate,0,byte,3,0,2,5690,1184000,208.084,44504,2819300699
candidate,0,byte,3,0,3,5690,1184291,208.136,44504,2819300699
candidate,0,byte,15,0,1,2632,569000,216.185,5600,2465078721
candidate,0,byte,15,0,2,2632,553250,210.201,5600,2465078721
candidate,0,byte,15,0,3,2632,589458,223.958,5600,2465078721
candidate,0,bit,3,0,1,5690,1744833,306.649,43464,498328193
candidate,0,bit,3,0,2,5690,1760583,309.417,43464,498328193
candidate,0,bit,3,0,3,5690,1761875,309.644,43464,498328193
candidate,0,bit,15,0,1,2632,849667,322.822,5560,1543349261
candidate,0,bit,15,0,2,2632,842958,320.273,5560,1543349261
candidate,0,bit,15,0,3,2632,828584,314.812,5560,1543349261
candidate,0,byte,3,4096,1,5690,7897750,1388.01,54040,1801172336
candidate,0,byte,3,4096,2,5690,7756417,1363.17,54040,1801172336
candidate,0,byte,3,4096,3,5690,7866125,1382.45,54040,1801172336
candidate,0,byte,15,4096,1,2632,4150000,1576.75,13848,1009584030
candidate,0,byte,15,4096,2,2632,4083167,1551.36,13848,1009584030
candidate,0,byte,15,4096,3,2632,3932542,1494.13,13848,1009584030
candidate,0,bit,3,4096,1,5690,8013041,1408.27,55168,2006448778
candidate,0,bit,3,4096,2,5690,7895458,1387.6,55168,2006448778
candidate,0,bit,3,4096,3,5690,7933917,1394.36,55168,2006448778
candidate,0,bit,15,4096,1,2632,4438959,1686.53,13880,3989410211
candidate,0,bit,15,4096,2,2632,4420125,1679.38,13880,3989410211
candidate,0,bit,15,4096,3,2632,4377084,1663.03,13880,3989410211
baseline_aligned,0,byte,3,0,1,5690,1138542,200.095,44504,2819300699
baseline_aligned,0,byte,3,0,2,5690,1135750,199.605,44504,2819300699
baseline_aligned,0,byte,3,0,3,5690,1097792,192.934,44504,2819300699
baseline_aligned,0,byte,15,0,1,2632,537334,204.154,5600,2465078721
