variant,trial,unit,k,prefix,round,items,ns,ns_per_item,bytes,crc
baseline,0,byte,3,0,1,5690,1875583,329.628,44504,2819300699
baseline,0,byte,3,0,2,5690,1710541,300.622,44504,2819300699
baseline,0,byte,3,0,3,5690,1645916,289.265,44504,2819300699
baseline,0,byte,15,0,1,2632,719958,273.54,5600,2465078721
baseline,0,byte,15,0,2,2632,742125,281.962,5600,2465078721
baseline,0,byte,15,0,3,2632,733833,278.812,5600,2465078721
baseline,0,bit,3,0,1,5690,2061500,362.302,43464,498328193
baseline,0,bit,3,0,2,5690,2047333,359.812,43464,498328193
baseline,0,bit,3,0,3,5690,1914542,336.475,43464,498328193
baseline,0,bit,15,0,1,2632,968834,368.098,5560,1543349261
baseline,0,bit,15,0,2,2632,967541,367.607,5560,1543349261
baseline,0,bit,15,0,3,2632,931083,353.755,5560,1543349261
baseline,0,byte,3,4096,1,5690,6770458,1189.89,54040,1801172336
baseline,0,byte,3,4096,2,5690,6379583,1121.19,54040,1801172336
baseline,0,byte,3,4096,3,5690,6201875,1089.96,54040,1801172336
baseline,0,byte,15,4096,1,2632,3136250,1191.58,13848,1009584030
baseline,0,byte,15,4096,2,2632,3142416,1193.93,13848,1009584030
baseline,0,byte,15,4096,3,2632,3029708,1151.1,13848,1009584030
baseline,0,bit,3,4096,1,5690,6670083,1172.25,55168,2006448778
baseline,0,bit,3,4096,2,5690,6570459,1154.74,55168,2006448778
baseline,0,bit,3,4096,3,5690,6396125,1124.1,55168,2006448778
baseline,0,bit,15,4096,1,2632,3331542,1265.78,13880,3989410211
baseline,0,bit,15,4096,2,2632,3732916,1418.28,13880,3989410211
baseline,0,bit,15,4096,3,2632,3410458,1295.77,13880,3989410211
candidate,0,byte,3,0,1,5690,1957333,343.995,44504,2819300699
candidate,0,byte,3,0,2,5690,1858583,326.64,44504,2819300699
candidate,0,byte,3,0,3,5690,1777416,312.375,44504,2819300699
candidate,0,byte,15,0,1,2632,756791,287.535,5600,2465078721
candidate,0,byte,15,0,2,2632,678542,257.805,5600,2465078721
candidate,0,byte,15,0,3,2632,675000,256.459,5600,2465078721
candidate,0,bit,3,0,1,5690,2199584,386.57,43464,498328193
candidate,0,bit,3,0,2,5690,2033708,357.418,43464,498328193
candidate,0,bit,3,0,3,5690,2019916,354.994,43464,498328193
candidate,0,bit,15,0,1,2632,974667,370.314,5560,1543349261
candidate,0,bit,15,0,2,2632,968958,368.145,5560,1543349261
candidate,0,bit,15,0,3,2632,964250,366.356,5560,1543349261
candidate,0,byte,3,4096,1,5690,8329125,1463.82,54040,1801172336
candidate,0,byte,3,4096,2,5690,8199417,1441.02,54040,1801172336
candidate,0,byte,3,4096,3,5690,7983750,1403.12,54040,1801172336
candidate,0,byte,15,4096,1,2632,4155334,1578.77,13848,1009584030
candidate,0,byte,15,4096,2,2632,3992459,1516.89,13848,1009584030
candidate,0,byte,15,4096,3,2632,4168083,1583.62,13848,1009584030
candidate,0,bit,3,4096,1,5690,7979000,1402.28,55168,2006448778
candidate,0,bit,3,4096,2,5690,7972000,1401.05,55168,2006448778
candidate,0,bit,3,4096,3,5690,7957750,1398.55,55168,2006448778
candidate,0,bit,15,4096,1,2632,4337250,1647.89,13880,3989410211
candidate,0,bit,15,4096,2,2632,4341500,1649.51,13880,3989410211
candidate,0,bit,15,4096,3,2632,4320417,1641.5,13880,3989410211
baseline_aligned,0,byte,3,0,1,5690,1290000,226.714,44504,2819300699
baseline_aligned,0,byte,3,0,2,5690,1262708,221.917,44504,2819300699
baseline_aligned,0,byte,3,0,3,5690,1225958,215.458,44504,2819300699
baseline_aligned,0,byte,15,0,1,2632,703750,267.382,5600,2465078721
baseline_aligned,0,byte,15,0,2,2632,571584,217.167,5600,2465078721
baseline_aligned,0,byte,15,0,3,2632,564792,214.587,5600,2465078721
baseline_aligned,0,bit,3,0,1,5690,1758292,309.014,43464,498328193
baseline_aligned,0,bit,3,0,2,5690,1744041,306.51,43464,498328193
baseline_aligned,0,bit,3,0,3,5690,1746750,306.986,43464,498328193
baseline_aligned,0,bit,15,0,1,2632,868250,329.882,5560,1543349261
baseline_aligned,0,bit,15,0,2,2632,889750,338.051,5560,1543349261
baseline_aligned,0,bit,15,0,3,2632,869958,330.531,5560,1543349261
baseline_aligned,0,byte,3,4096,1,5690,6243417,1097.26,54040,1801172336
baseline_aligned,0,byte,3,4096,2,5690,6157833,1082.22,54040,1801172336
baseline_aligned,0,byte,3,4096,3,5690,6045583,1062.49,54040,1801172336
baseline_aligned,0,byte,15,4096,1,2632,3414708,1297.38,13848,1009584030
baseline_aligned,0,byte,15,4096,2,2632,3003750,1141.24,13848,1009584030
baseline_aligned,0,byte,15,4096,3,2632,3024958,1149.3,13848,1009584030
baseline_aligned,0,bit,3,4096,1,5690,6338583,1113.99,55168,2006448778
baseline_aligned,0,bit,3,4096,2,5690,6277292,1103.21,55168,2006448778
baseline_aligned,0,bit,3,4096,3,5690,6213333,1091.97,55168,2006448778
baseline_aligned,0,bit,15,4096,1,2632,3351708,1273.45,13880,3989410211
baseline_aligned,0,bit,15,4096,2,2632,3355666,1274.95,13880,3989410211
baseline_aligned,0,bit,15,4096,3,2632,3307708,1256.73,13880,3989410211
candidate_aligned,0,byte,3,0,1,5690,1613750,283.612,44504,2819300699
candidate_aligned,0,byte,3,0,2,5690,1542375,271.068,44504,2819300699
candidate_aligned,0,byte,3,0,3,5690,1563209,274.729,44504,2819300699
candidate_aligned,0,byte,15,0,1,2632,719583,273.398,5600,2465078721
candidate_aligned,0,byte,15,0,2,2632,703000,267.097,5600,2465078721
candidate_aligned,0,byte,15,0,3,2632,683500,259.688,5600,2465078721
candidate_aligned,0,bit,3,0,1,5690,2097458,368.622,43464,498328193
candidate_aligned,0,bit,3,0,2,5690,2011000,353.427,43464,498328193
candidate_aligned,0,bit,3,0,3,5690,1882708,330.88,43464,498328193
candidate_aligned,0,bit,15,0,1,2632,907208,344.684,5560,1543349261
candidate_aligned,0,bit,15,0,2,2632,974750,370.346,5560,1543349261
candidate_aligned,0,bit,15,0,3,2632,896917,340.774,5560,1543349261
candidate_aligned,0,byte,3,4096,1,5690,6148584,1080.59,54040,1801172336
candidate_aligned,0,byte,3,4096,2,5690,5943916,1044.62,54040,1801172336
candidate_aligned,0,byte,3,4096,3,5690,5787708,1017.17,54040,1801172336
candidate_aligned,0,byte,15,4096,1,2632,2948875,1120.39,13848,1009584030
candidate_aligned,0,byte,15,4096,2,2632,3059708,1162.5,13848,1009584030
candidate_aligned,0,byte,15,4096,3,2632,2898333,1101.19,13848,1009584030
candidate_aligned,0,bit,3,4096,1,5690,6286417,1104.82,55168,2006448778
candidate_aligned,0,bit,3,4096,2,5690,5846917,1027.58,55168,2006448778
candidate_aligned,0,bit,3,4096,3,5690,6108000,1073.46,55168,2006448778
candidate_aligned,0,bit,15,4096,1,2632,3184083,1209.76,13880,3989410211
candidate_aligned,0,bit,15,4096,2,2632,3260083,1238.63,13880,3989410211
candidate_aligned,0,bit,15,4096,3,2632,3238208,1230.32,13880,3989410211
baseline,1,byte,3,0,1,5690,836791,147.063,44504,2819300699
baseline,1,byte,3,0,2,5690,818166,143.79,44504,2819300699
baseline,1,byte,3,0,3,5690,1008708,177.277,44504,2819300699
baseline,1,byte,15,0,1,2632,407167,154.699,5600,2465078721
baseline,1,byte,15,0,2,2632,412666,156.788,5600,2465078721
baseline,1,byte,15,0,3,2632,403583,153.337,5600,2465078721
baseline,1,bit,3,0,1,5690,1461209,256.803,43464,498328193
baseline,1,bit,3,0,2,5690,1325583,232.967,43464,498328193
baseline,1,bit,3,0,3,5690,1350750,237.39,43464,498328193
baseline,1,bit,15,0,1,2632,774375,294.215,5560,1543349261
baseline,1,bit,15,0,2,2632,799083,303.603,5560,1543349261
baseline,1,bit,15,0,3,2632,729166,277.039,5560,1543349261
baseline,1,byte,3,4096,1,5690,5864334,1030.64,54040,1801172336
baseline,1,byte,3,4096,2,5690,5861625,1030.16,54040,1801172336
baseline,1,byte,3,4096,3,5690,5675334,997.422,54040,1801172336
baseline,1,byte,15,4096,1,2632,2990666,1136.27,13848,1009584030
baseline,1,byte,15,4096,2,2632,2912458,1106.56,13848,1009584030
baseline,1,byte,15,4096,3,2632,3061250,1163.09,13848,1009584030
baseline,1,bit,3,4096,1,5690,6521417,1146.12,55168,2006448778
baseline,1,bit,3,4096,2,5690,6345750,1115.25,55168,2006448778
