variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
baseline,0,byte-3-0,build,0,1,5690,1281500,128,112908,61212,53512,1761918743
baseline,0,byte-15-0,build,0,1,2632,621541,97,16276,8732,7664,1583706055
baseline,0,bit-3-0,build,0,1,5690,1770667,127,100707,52003,47448,3340569477
baseline,0,bit-15-0,build,0,1,2632,963167,97,16299,8739,7680,3904194795
baseline,0,byte-3-4096,build,0,1,5690,1222583,113,162202,106338,67928,2588134493
baseline,0,byte-15-4096,build,0,1,2632,609750,85,63458,50696,21020,1896941275
baseline,0,bit-3-4096,build,0,1,5690,1757500,110,145901,98155,59822,3555944624
baseline,0,bit-15-4096,build,0,1,2632,1063833,83,63489,50711,21044,2558807147
candidate,0,byte-3-0,build,1,1,5690,1142625,100,84323,45592,41328,1761918743
candidate,0,byte-3-0,build,2,1,5690,1142292,102,98715,54040,47528,1761918743
candidate,0,byte-3-0,build,3,1,5690,1065958,72,69602,42004,34816,1761918743
candidate,0,byte-3-0,build,0,1,5690,1205292,130,113436,61212,54040,1761918743
candidate,0,byte-15-0,build,1,1,2632,599958,75,12899,6936,6352,1583706055
candidate,0,byte-15-0,build,2,1,2632,601959,75,12899,6904,6352,1583706055
candidate,0,byte-15-0,build,3,1,2632,587750,51,8994,5348,4512,1583706055
candidate,0,byte-15-0,build,0,1,2632,609459,99,16804,8732,8192,1583706055
candidate,0,bit-3-0,build,1,1,5690,1581834,100,84361,45598,41360,3340569477
candidate,0,bit-3-0,build,2,1,5690,1656416,101,86481,46110,41432,3340569477
candidate,0,bit-3-0,build,3,1,5690,1499833,72,69607,42009,34816,3340569477
candidate,0,bit-3-0,build,0,1,5690,1742417,129,101235,52003,47976,3340569477
candidate,0,bit-15-0,build,1,1,2632,946541,75,12913,6942,6360,3904194795
candidate,0,bit-15-0,build,2,1,2632,953834,75,12913,6910,6360,3904194795
candidate,0,bit-15-0,build,3,1,2632,936250,51,8999,5353,4512,3904194795
candidate,0,bit-15-0,build,0,1,2632,959917,99,16827,8739,8208,3904194795
candidate,0,byte-3-4096,build,1,1,5690,1145584,93,125358,84802,51612,2588134493
candidate,0,byte-3-4096,build,2,1,5690,1197959,94,127454,84674,51660,2588134493
candidate,0,byte-3-4096,build,3,1,5690,1123500,72,90082,62484,34816,2588134493
candidate,0,byte-3-4096,build,0,1,5690,1198459,115,162730,106338,68456,2588134493
candidate,0,byte-15-4096,build,1,1,2632,616625,69,46730,38262,13030,1896941275
candidate,0,byte-15-4096,build,2,1,2632,602625,69,46730,38262,13030,1896941275
candidate,0,byte-15-4096,build,3,1,2632,608083,51,29474,25828,4512,1896941275
candidate,0,byte-15-4096,build,0,1,2632,636292,87,63986,50696,21548,1896941275
candidate,0,bit-3-4096,build,1,1,5690,1560625,91,108988,75312,43442,3555944624
candidate,0,bit-3-4096,build,2,1,5690,1622500,93,127528,84820,51724,3555944624
candidate,0,bit-3-4096,build,3,1,5690,1470250,72,90087,62489,34816,3555944624
candidate,0,bit-3-4096,build,0,1,5690,1768083,112,146429,98155,60350,3555944624
candidate,0,bit-15-4096,build,1,1,2632,922458,68,46748,38272,13042,2558807147
candidate,0,bit-15-4096,build,2,1,2632,914791,68,46748,38272,13042,2558807147
candidate,0,bit-15-4096,build,3,1,2632,887959,51,29479,25833,4512,2558807147
candidate,0,bit-15-4096,build,0,1,2632,932417,85,64017,50711,21572,2558807147
