variant,trial,unit,k,prefix,round,items,ns,ns_per_item,bytes,crc
baseline,0,byte,3,0,1,5690,2129458,374.246,44504,2819300699
baseline,0,byte,3,0,2,5690,1956000,343.761,44504,2819300699
baseline,0,byte,3,0,3,5690,1849958,325.124,44504,2819300699
baseline,0,byte,15,0,1,2632,888875,337.718,5600,2465078721
baseline,0,byte,15,0,2,2632,836125,317.677,5600,2465078721
baseline,0,byte,15,0,3,2632,767792,291.714,5600,2465078721
baseline,0,bit,3,0,1,5690,2299875,404.196,43464,498328193
baseline,0,bit,3,0,2,5690,2210208,388.437,43464,498328193
baseline,0,bit,3,0,3,5690,2367333,416.051,43464,498328193
baseline,0,bit,15,0,1,2632,1134750,431.136,5560,1543349261
baseline,0,bit,15,0,2,2632,1078542,409.78,5560,1543349261
baseline,0,bit,15,0,3,2632,1013792,385.179,5560,1543349261
baseline,0,byte,3,4096,1,5690,6415750,1127.55,54040,1801172336
baseline,0,byte,3,4096,2,5690,6289958,1105.44,54040,1801172336
baseline,0,byte,3,4096,3,5690,6157833,1082.22,54040,1801172336
baseline,0,byte,15,4096,1,2632,3106666,1180.34,13848,1009584030
baseline,0,byte,15,4096,2,2632,3035959,1153.48,13848,1009584030
baseline,0,byte,15,4096,3,2632,3138833,1192.57,13848,1009584030
baseline,0,bit,3,4096,1,5690,6303542,1107.83,55168,2006448778
baseline,0,bit,3,4096,2,5690,6108084,1073.48,55168,2006448778
baseline,0,bit,3,4096,3,5690,6438667,1131.58,55168,2006448778
baseline,0,bit,15,4096,1,2632,3567333,1355.37,13880,3989410211
baseline,0,bit,15,4096,2,2632,3377833,1283.37,13880,3989410211
baseline,0,bit,15,4096,3,2632,3485333,1324.21,13880,3989410211
candidate,0,byte,3,0,1,5690,1703542,299.392,44504,2819300699
candidate,0,byte,3,0,2,5690,1851167,325.337,44504,2819300699
candidate,0,byte,3,0,3,5690,1704791,299.612,44504,2819300699
candidate,0,byte,15,0,1,2632,715250,271.752,5600,2465078721
candidate,0,byte,15,0,2,2632,726375,275.978,5600,2465078721
candidate,0,byte,15,0,3,2632,772583,293.535,5600,2465078721
candidate,0,bit,3,0,1,5690,2189334,384.769,43464,498328193
candidate,0,bit,3,0,2,5690,2075542,364.77,43464,498328193
candidate,0,bit,3,0,3,5690,2026917,356.224,43464,498328193
candidate,0,bit,15,0,1,2632,923208,350.763,5560,1543349261
candidate,0,bit,15,0,2,2632,909500,345.555,5560,1543349261
candidate,0,bit,15,0,3,2632,907750,344.89,5560,1543349261
candidate,0,byte,3,4096,1,5690,3643417,640.319,54040,1801172336
candidate,0,byte,3,4096,2,5690,3178709,558.648,54040,1801172336
candidate,0,byte,3,4096,3,5690,3032542,532.96,54040,1801172336
candidate,0,byte,15,4096,1,2632,1445917,549.361,13848,1009584030
candidate,0,byte,15,4096,2,2632,1399250,531.63,13848,1009584030
candidate,0,byte,15,4096,3,2632,1394458,529.809,13848,1009584030
candidate,0,bit,3,4096,1,5690,3212625,564.609,55168,2006448778
candidate,0,bit,3,4096,2,5690,3323083,584.022,55168,2006448778
candidate,0,bit,3,4096,3,5690,3348209,588.437,55168,2006448778
candidate,0,bit,15,4096,1,2632,1599375,607.665,13880,3989410211
candidate,0,bit,15,4096,2,2632,1589583,603.945,13880,3989410211
candidate,0,bit,15,4096,3,2632,1784584,678.033,13880,3989410211
candidate,1,byte,3,0,1,5690,868042,152.556,44504,2819300699
candidate,1,byte,3,0,2,5690,841209,147.84,44504,2819300699
candidate,1,byte,3,0,3,5690,896000,157.469,44504,2819300699
candidate,1,byte,15,0,1,2632,408667,155.269,5600,2465078721
candidate,1,byte,15,0,2,2632,405375,154.018,5600,2465078721
candidate,1,byte,15,0,3,2632,405167,153.939,5600,2465078721
candidate,1,bit,3,0,1,5690,1439875,253.054,43464,498328193
candidate,1,bit,3,0,2,5690,1416750,248.989,43464,498328193
candidate,1,bit,3,0,3,5690,1451416,255.082,43464,498328193
candidate,1,bit,15,0,1,2632,821291,312.041,5560,1543349261
candidate,1,bit,15,0,2,2632,710416,269.915,5560,1543349261
candidate,1,bit,15,0,3,2632,685042,260.274,5560,1543349261
candidate,1,byte,3,4096,1,5690,2968334,521.676,54040,1801172336
candidate,1,byte,3,4096,2,5690,2861375,502.878,54040,1801172336
candidate,1,byte,3,4096,3,5690,2853333,501.464,54040,1801172336
candidate,1,byte,15,4096,1,2632,1282917,487.43,13848,1009584030
candidate,1,byte,15,4096,2,2632,1285791,488.522,13848,1009584030
candidate,1,byte,15,4096,3,2632,1312959,498.845,13848,1009584030
candidate,1,bit,3,4096,1,5690,3252583,571.631,55168,2006448778
candidate,1,bit,3,4096,2,5690,3393625,596.419,55168,2006448778
candidate,1,bit,3,4096,3,5690,3333542,585.86,55168,2006448778
candidate,1,bit,15,4096,1,2632,1624250,617.116,13880,3989410211
candidate,1,bit,15,4096,2,2632,1837791,698.249,13880,3989410211
candidate,1,bit,15,4096,3,2632,1595750,606.288,13880,3989410211
baseline,1,byte,3,0,1,5690,868917,152.709,44504,2819300699
baseline,1,byte,3,0,2,5690,883542,155.28,44504,2819300699
baseline,1,byte,3,0,3,5690,880125,154.679,44504,2819300699
baseline,1,byte,15,0,1,2632,502208,190.809,5600,2465078721
baseline,1,byte,15,0,2,2632,482250,183.226,5600,2465078721
baseline,1,byte,15,0,3,2632,491083,186.582,5600,2465078721
baseline,1,bit,3,0,1,5690,1453584,255.463,43464,498328193
baseline,1,bit,3,0,2,5690,1440833,253.222,43464,498328193
baseline,1,bit,3,0,3,5690,1397667,245.636,43464,498328193
baseline,1,bit,15,0,1,2632,767250,291.508,5560,1543349261
baseline,1,bit,15,0,2,2632,759791,288.674,5560,1543349261
baseline,1,bit,15,0,3,2632,768458,291.967,5560,1543349261
baseline,1,byte,3,4096,1,5690,5972791,1049.7,54040,1801172336
baseline,1,byte,3,4096,2,5690,5579625,980.602,54040,1801172336
baseline,1,byte,3,4096,3,5690,5819417,1022.74,54040,1801172336
baseline,1,byte,15,4096,1,2632,3078334,1169.58,13848,1009584030
baseline,1,byte,15,4096,2,2632,2946083,1119.33,13848,1009584030
baseline,1,byte,15,4096,3,2632,3056083,1161.13,13848,1009584030
baseline,1,bit,3,4096,1,5690,5987584,1052.3,55168,2006448778
baseline,1,bit,3,4096,2,5690,6056375,1064.39,55168,2006448778
baseline,1,bit,3,4096,3,5690,6185500,1087.08,55168,2006448778
baseline,1,bit,15,4096,1,2632,3457292,1313.56,13880,3989410211
baseline,1,bit,15,4096,2,2632,3323167,1262.6,13880,3989410211
baseline,1,bit,15,4096,3,2632,3302416,1254.72,13880,3989410211
baseline,2,byte,3,0,1,5690,876792,154.093,44504,2819300699
baseline,2,byte,3,0,2,5690,881541,154.928,44504,2819300699
baseline,2,byte,3,0,3,5690,858625,150.901,44504,2819300699
baseline,2,byte,15,0,1,2632,493125,187.358,5600,2465078721
baseline,2,byte,15,0,2,2632,475750,180.756,5600,2465078721
baseline,2,byte,15,0,3,2632,459041,174.408,5600,2465078721
baseline,2,bit,3,0,1,5690,1464417,257.367,43464,498328193
baseline,2,bit,3,0,2,5690,1420292,249.612,43464,498328193
baseline,2,bit,3,0,3,5690,1538208,270.335,43464,498328193
baseline,2,bit,15,0,1,2632,751750,285.619,5560,1543349261
baseline,2,bit,15,0,2,2632,734667,279.129,5560,1543349261
