key_bits,count,shape,windows,pattern,binary_ns,binary_min,binary_max,simd_ns,simd_min,simd_max,automatic_ns,automatic_min,automatic_max,simd_ratio,simd_disjoint_win,simd_disjoint_loss,automatic_ratio,automatic_disjoint_win,automatic_disjoint_loss,checksum
32,1,random,1,dependent,2.60376,2.5923,2.68474,9.01044,8.99515,9.37758,9.03064,9.0276,9.4306,0.2889714597733296,False,True,0.28832507995003676,False,True,8336
32,1,random,1,independent,2.33661,2.28752,2.42558,1.71007,1.70341,1.74321,1.74544,1.74409,1.79105,1.3663826626980182,True,False,1.338693968283069,True,False,7024
32,1,random,8192,dependent,5.34009,5.25031,5.45805,13.1636,12.9955,13.3634,13.1617,12.9593,13.4231,0.4056709410799477,False,True,0.40572950302772437,False,True,19281
32,1,random,8192,independent,4.14374,4.10776,4.18718,2.48764,2.47539,2.51379,2.54842,2.51259,2.58276,1.6657313759225614,True,False,1.6260035629919716,True,False,16216
32,1,shared,1,dependent,2.6176,2.59532,2.66498,9.01279,9.00948,9.4001,9.02437,9.00081,9.39516,0.29043170871616886,False,True,0.29005902905133546,False,True,8336
32,1,shared,1,independent,2.35696,2.26489,2.35822,1.73251,1.70787,1.77917,1.77745,1.7458,1.79282,1.3604308200241269,True,False,1.3260344876086527,True,False,7024
32,1,shared,8192,dependent,5.42674,5.36838,5.55421,13.1456,12.8957,13.3785,13.1956,12.941,13.2658,0.41281797711781887,False,True,0.41125375125041674,False,True,19281
32,1,shared,8192,independent,4.14923,4.02367,4.21158,2.47108,2.439,2.47739,2.54822,2.49367,2.55045,1.6791160140505366,True,False,1.6282856268297086,True,False,16216
32,2,random,1,dependent,9.10213,9.04378,9.7341,9.13692,9.12025,9.63086,9.14565,9.14247,9.62939,0.9961923711710293,False,False,0.9952414535872246,False,False,48792
32,2,random,1,independent,4.68848,4.54543,4.71988,1.71935,1.71883,1.79691,1.74567,1.74564,1.79169,2.7268909762410214,True,False,2.6857768077586255,True,False,49344
32,2,random,8192,dependent,12.5632,12.339,12.8817,13.3819,13.0864,13.8459,13.4213,13.0751,13.8496,0.9388203468864661,False,True,0.9360643156773188,False,True,49048
32,2,random,8192,independent,7.54002,7.37193,7.78867,2.58397,2.46288,2.75279,2.60315,2.52663,2.81421,2.9179982739737693,True,False,2.8964984730038608,True,False,49216
32,2,shared,1,dependent,9.13638,9.09462,9.4637,9.16798,9.16385,9.42365,9.14494,9.12859,9.4433,0.9965532211021404,False,False,0.9990639632408743,False,False,48792
32,2,shared,1,independent,4.57913,4.57622,4.75296,1.71385,1.71118,1.7775,1.74687,1.74399,1.8279,2.6718382588908014,True,False,2.6213341576648523,True,False,49344
32,2,shared,8192,dependent,12.4698,12.3855,12.6022,13.3887,13.0719,13.4985,13.4697,13.0577,13.4719,0.9313674964709046,False,True,0.92576672086238,False,True,49048
32,2,shared,8192,independent,7.61296,7.3055,7.67131,2.55446,2.45625,2.60371,2.5882,2.45816,2.68141,2.9802619731763267,True,False,2.9414110192411713,True,False,49216
