profile,prefix_bytes,input,records,allocations,requested_bytes,peak_bytes,builder_bytes,checksum,variant
byte,0,full,4096,4437,91944,49680,912,12775294867865051421,baseline
bit,0,full,4096,4436,71667,27156,912,13639686045357985684,baseline
byte,0,coded,4096,4438,91948,49684,912,12775294867865051421,baseline
bit,0,coded,4096,4437,71672,27161,912,13639686045357985684,baseline
byte,4096,full,4096,4429,16893867,78436,912,10097468672416557191,baseline
bit,4096,full,4096,4427,16865354,47672,912,12514399461836259508,baseline
byte,4096,coded,4096,4430,16897967,82536,912,10097468672416557191,baseline
bit,4096,coded,4096,4428,16869455,51773,912,12514399461836259508,baseline
byte,0,full,4096,342,75564,49676,832,12775294867865051421,candidate
bit,0,full,4096,341,51192,27153,832,13639686045357985684,candidate
byte,0,coded,4096,342,75564,49676,832,12775294867865051421,candidate
bit,0,coded,4096,341,51192,27153,832,13639686045357985684,candidate
byte,4096,full,4096,334,104367,74336,832,10097468672416557191,candidate
bit,4096,full,4096,332,71759,43573,832,12514399461836259508,candidate
byte,4096,coded,4096,334,104367,74336,832,10097468672416557191,candidate
bit,4096,coded,4096,332,71759,43573,832,12514399461836259508,candidate
