variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,interleaved,4096,0,0,sample,309542.000,25.191,12288,12287,1831843142036873085
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,interleaved,4096,0,0,pipeline,503417.000,40.968,12288,3291,1961096023440014163
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,interleaved,4096,0,1,sample,316833.000,25.784,12288,12287,1831843142036873085
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,interleaved,4096,0,1,pipeline,518084.000,42.162,12288,3291,1961096023440014163
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,interleaved,4096,0,2,sample,309375.000,25.177,12288,12287,1831843142036873085
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,interleaved,4096,0,2,pipeline,501334.000,40.799,12288,3291,1961096023440014163
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,interleaved,4096,0,0,sample,599625.000,48.798,12288,12287,12193008009033903249
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,interleaved,4096,0,0,pipeline,908500.000,73.934,12288,3291,4801493438380956427
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,interleaved,4096,0,1,sample,593459.000,48.296,12288,12287,12193008009033903249
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,interleaved,4096,0,1,pipeline,879625.000,71.584,12288,3291,4801493438380956427
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,interleaved,4096,0,2,sample,593750.000,48.319,12288,12287,12193008009033903249
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,interleaved,4096,0,2,pipeline,891292.000,72.534,12288,3291,4801493438380956427
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,duplicates,4096,0,0,sample,495708.000,26.708,18560,18557,8476562761733985929
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,duplicates,4096,0,0,pipeline,739708.000,39.855,18560,4188,13297295891071305527
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,duplicates,4096,0,1,sample,491417.000,26.477,18560,18557,8476562761733985929
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,duplicates,4096,0,1,pipeline,750542.000,40.439,18560,4188,13297295891071305527
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,duplicates,4096,0,2,sample,472917.000,25.480,18560,18557,8476562761733985929
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,byte,duplicates,4096,0,2,pipeline,855666.000,46.103,18560,4188,13297295891071305527
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,duplicates,4096,0,0,sample,860583.000,46.368,18560,18557,17887957781260477778
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,duplicates,4096,0,0,pipeline,1337417.000,72.059,18560,4188,2638605148812090001
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,duplicates,4096,0,1,sample,816584.000,43.997,18560,18557,17887957781260477778
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,duplicates,4096,0,1,pipeline,1311750.000,70.676,18560,4188,2638605148812090001
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,duplicates,4096,0,2,sample,857500.000,46.202,18560,18557,17887957781260477778
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,0,bit,duplicates,4096,0,2,pipeline,1376875.000,74.185,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,interleaved,4096,0,0,sample,437708.000,35.621,12288,12287,1831843142036873085
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,interleaved,4096,0,0,pipeline,706042.000,57.458,12288,3291,1961096023440014163
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,interleaved,4096,0,1,sample,474542.000,38.618,12288,12287,1831843142036873085
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,interleaved,4096,0,1,pipeline,730250.000,59.428,12288,3291,1961096023440014163
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,interleaved,4096,0,2,sample,453625.000,36.916,12288,12287,1831843142036873085
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,interleaved,4096,0,2,pipeline,688042.000,55.993,12288,3291,1961096023440014163
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,0,sample,840208.000,68.376,12288,12287,12193008009033903249
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,0,pipeline,1197666.000,97.466,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,1,sample,835166.000,67.966,12288,12287,12193008009033903249
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,1,pipeline,1156875.000,94.147,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,2,sample,771042.000,62.748,12288,12287,12193008009033903249
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,2,pipeline,1200833.000,97.724,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,0,sample,655458.000,35.316,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,0,pipeline,919167.000,49.524,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,1,sample,583833.000,31.457,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,1,pipeline,901708.000,48.583,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,2,sample,582667.000,31.394,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,2,pipeline,830750.000,44.760,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,0,sample,924500.000,49.811,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,0,pipeline,1274250.000,68.656,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,1,sample,1050334.000,56.591,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,1,pipeline,1346833.000,72.566,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,2,sample,958000.000,51.616,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,2,pipeline,1275875.000,68.743,18560,4188,2638605148812090001
