variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,0,sample,688958.000,56.068,12288,12287,1831843142036873085
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,0,pipeline,1048792.000,85.351,12288,3291,1961096023440014163
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,1,sample,640375.000,52.114,12288,12287,1831843142036873085
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,1,pipeline,1039542.000,84.598,12288,3291,1961096023440014163
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,2,sample,541458.000,44.064,12288,12287,1831843142036873085
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,2,pipeline,895375.000,72.866,12288,3291,1961096023440014163
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,0,sample,961750.000,78.267,12288,12287,12193008009033903249
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,0,pipeline,1407166.000,114.515,12288,3291,4801493438380956427
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,1,sample,968292.000,78.800,12288,12287,12193008009033903249
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,1,pipeline,1374083.000,111.823,12288,3291,4801493438380956427
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,2,sample,883625.000,71.910,12288,12287,12193008009033903249
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,2,pipeline,1263750.000,102.844,12288,3291,4801493438380956427
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,0,sample,629375.000,33.910,18560,18557,8476562761733985929
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,0,pipeline,1019250.000,54.916,18560,4188,13297295891071305527
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,1,sample,631458.000,34.023,18560,18557,8476562761733985929
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,1,pipeline,1006834.000,54.248,18560,4188,13297295891071305527
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,2,sample,647042.000,34.862,18560,18557,8476562761733985929
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,2,pipeline,976209.000,52.597,18560,4188,13297295891071305527
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,0,sample,1010375.000,54.438,18560,18557,17887957781260477778
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,0,pipeline,1463834.000,78.870,18560,4188,2638605148812090001
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,1,sample,962417.000,51.854,18560,18557,17887957781260477778
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,1,pipeline,1439542.000,77.562,18560,4188,2638605148812090001
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,2,sample,965208.000,52.005,18560,18557,17887957781260477778
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,2,pipeline,1408458.000,75.887,18560,4188,2638605148812090001
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,0,sample,412791.000,33.593,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,0,pipeline,670167.000,54.538,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,1,sample,409875.000,33.356,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,1,pipeline,784584.000,63.850,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,2,sample,411083.000,33.454,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,2,pipeline,706500.000,57.495,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,0,sample,747000.000,60.791,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,0,pipeline,1130459.000,91.997,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,1,sample,805125.000,65.521,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,1,pipeline,1118208.000,91.000,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,2,sample,722792.000,58.821,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,2,pipeline,1103250.000,89.783,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,duplicates,4096,0,0,sample,550792.000,29.676,18560,18557,8476562761733985929
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,duplicates,4096,0,0,pipeline,912000.000,49.138,18560,4188,13297295891071305527
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,duplicates,4096,0,1,sample,630125.000,33.951,18560,18557,8476562761733985929
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,duplicates,4096,0,1,pipeline,879500.000,47.387,18560,4188,13297295891071305527
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,duplicates,4096,0,2,sample,586125.000,31.580,18560,18557,8476562761733985929
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,duplicates,4096,0,2,pipeline,891416.000,48.029,18560,4188,13297295891071305527
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,duplicates,4096,0,0,sample,991042.000,53.397,18560,18557,17887957781260477778
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,duplicates,4096,0,0,pipeline,1312000.000,70.690,18560,4188,2638605148812090001
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,duplicates,4096,0,1,sample,935875.000,50.424,18560,18557,17887957781260477778
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,duplicates,4096,0,1,pipeline,1322917.000,71.278,18560,4188,2638605148812090001
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,duplicates,4096,0,2,sample,926417.000,49.915,18560,18557,17887957781260477778
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,duplicates,4096,0,2,pipeline,1391958.000,74.998,18560,4188,2638605148812090001
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,interleaved,4096,0,0,sample,320542.000,26.086,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,interleaved,4096,0,0,pipeline,528042.000,42.972,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,interleaved,4096,0,1,sample,321458.000,26.160,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,interleaved,4096,0,1,pipeline,521375.000,42.430,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,interleaved,4096,0,2,sample,312500.000,25.431,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,interleaved,4096,0,2,pipeline,505833.000,41.165,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,bit,interleaved,4096,0,0,sample,615583.000,50.096,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,bit,interleaved,4096,0,0,pipeline,902750.000,73.466,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,bit,interleaved,4096,0,1,sample,625959.000,50.941,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,bit,interleaved,4096,0,1,pipeline,911917.000,74.212,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,bit,interleaved,4096,0,2,sample,619208.000,50.391,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,bit,interleaved,4096,0,2,pipeline,934458.000,76.046,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,duplicates,4096,0,0,sample,481542.000,25.945,18560,18557,8476562761733985929
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,duplicates,4096,0,0,pipeline,812291.000,43.766,18560,4188,13297295891071305527
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,duplicates,4096,0,1,sample,514042.000,27.696,18560,18557,8476562761733985929
candidate,370687ac12a8fb94085cc6e023949694377d7de5,1,byte,duplicates,4096,0,1,pipeline,881791.000,47.510,18560,4188,13297295891071305527
