compiler,cpu,pattern,variant,trial,queries,ns_per_rank,checksum
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,0,1048576,12.687881,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,0,1048576,12.560943,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,0,1048576,8.832492,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,0,1048576,7.973477,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,0,1048576,7.598973,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,0,1048576,6.980971,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,0,1048576,5.979817,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,1,1048576,12.512190,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,1,1048576,8.831009,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,1,1048576,8.004569,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,1,1048576,7.691349,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,1,1048576,7.005385,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,1,1048576,5.947270,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,1,1048576,12.645918,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,2,1048576,8.869934,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,2,1048576,7.980289,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,2,1048576,7.608699,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,2,1048576,6.971108,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,2,1048576,6.013663,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,2,1048576,12.619248,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,2,1048576,12.355563,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,3,1048576,7.983052,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,3,1048576,7.646201,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,3,1048576,7.095031,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,3,1048576,5.926075,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,3,1048576,12.683627,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,3,1048576,12.340905,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,3,1048576,8.841988,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,4,1048576,7.819523,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,4,1048576,6.999776,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,4,1048576,5.872383,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,4,1048576,12.732242,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,4,1048576,12.424630,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,4,1048576,9.052091,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,4,1048576,8.049938,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,0,1048576,13.858737,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,0,1048576,18.445245,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,0,1048576,16.564415,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,0,1048576,16.036671,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,0,1048576,16.372505,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,0,1048576,13.881219,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,0,1048576,12.676174,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,1,1048576,18.633705,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,1,1048576,16.638138,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,1,1048576,16.040944,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,1,1048576,16.376264,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,1,1048576,13.905443,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,1,1048576,12.668082,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,1,1048576,13.828068,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,2,1048576,16.655369,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,2,1048576,16.083116,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,2,1048576,16.454803,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,2,1048576,13.884805,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,2,1048576,12.681267,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,2,1048576,13.808671,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,2,1048576,18.284190,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,3,1048576,488.656202,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,3,1048576,16.336212,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,3,1048576,13.940374,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,3,1048576,12.692037,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,3,1048576,13.760816,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,3,1048576,18.552456,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,3,1048576,16.560163,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,4,1048576,16.406301,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,4,1048576,13.901031,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,4,1048576,13.624458,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,4,1048576,13.713278,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,4,1048576,18.451723,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,4,1048576,16.623828,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,4,1048576,16.039425,66642894088
