variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,0,527042.000,128.672,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,1,523500.000,127.808,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,2,457125.000,111.603,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,0,904500.000,220.825,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,1,582042.000,142.100,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,2,524541.000,128.062,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,0,601583.000,146.871,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,1,586542.000,143.199,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,2,574542.000,140.269,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,0,820459.000,200.307,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,1,743833.000,181.600,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,2,717625.000,175.201,20551,4764871861497134690,30136,20530,27887,0,0,0,0
