profile,fixture,prefix_bytes,tail_bytes,baseline_min,baseline_median,baseline_max,candidate_min,candidate_median,candidate_max,change_percent,ranges_overlap
byte_fixed,ids,0,0,53.233,55.064,128.672,51.88,53.792,73.924,-2.3100392270812065,True
byte_variable,ids,0,0,70.343,72.001,220.825,68.98,76.996,97.097,6.937403647171547,True
bit_fixed,ids,0,0,89.274,91.359,146.871,93.18,96.771,112.244,5.9238827044954645,True
bit_variable,ids,0,0,122.752,129.75,200.307,121.47,129.689,145.721,-0.047013487475922044,True
byte_fixed,ids,64,0,53.935,56.468,111.837,53.009,55.166,63.121,-2.305730679322815,True
byte_variable,ids,64,0,71.594,75.083,100.271,69.458,73.985,103.546,-1.4623816309950355,True
bit_fixed,ids,64,0,87.911,93.638,121.419,90.21,94.106,129.527,0.499797090924603,True
bit_variable,ids,64,0,120.483,129.669,154.816,120.799,129.11,137.095,-0.43109764091648906,True
byte_fixed,ids,4096,0,53.67,56.356,69.061,52.622,55.562,72.815,-1.408900560721138,True
byte_variable,ids,4096,0,72.256,75.5,85.846,70.679,75.48,94.696,-0.026490066225159925,True
bit_fixed,ids,4096,0,93.76,106.364,172.577,93.343,106.262,254.486,-0.09589710804407403,True
bit_variable,ids,4096,0,125.621,136.983,180.43,123.962,133.616,187.368,-2.4579692370586104,True
byte_fixed,ids,0,4096,421.926,475.098,757.985,425.273,489.919,762.339,3.1195669104058465,True
byte_variable,ids,0,4096,437.51,453.634,476.064,438.09,451.731,506.185,-0.41950118377370726,True
bit_fixed,ids,0,4096,1147.359,1185.089,1483.022,1151.835,1185.649,1459.676,0.047253834944038786,True
bit_variable,ids,0,4096,1203.115,1245.738,1542.379,1187.571,1210.063,1281.525,-2.8637642907256566,True
byte_fixed,fragments,0,0,53.467,56.529,130.981,49.652,53.66,70.719,-5.075271099789502,True
byte_variable,fragments,0,0,65.572,70.486,126.607,64.89,73.12,79.661,3.73691229464006,True
bit_fixed,fragments,0,0,74.605,78.217,112.427,72.245,77.311,86.945,-1.1583159671171073,True
bit_variable,fragments,0,0,104.014,112.345,170.705,100.83,106.944,116.241,-4.807512572878181,True
