variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,0,616500.000,150.513,45078,10026962909403714000,44040,32944,60115,172369,124944,82216,34
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,0,653709.000,159.597,81934,7526945387361597197,44040,32944,109256,188852,137232,90504,35
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,0,776667.000,189.616,14830,12231852166163377715,30136,20530,20260,53674,35858,22912,32
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,0,891250.000,217.590,20551,4764871861497134690,30136,20530,27887,53718,35858,22952,33
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,0,0,618417.000,150.981,45078,10026962909403714000,44040,32944,60115,172913,125248,82216,38
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,0,0,689417.000,168.315,81934,7526945387361597197,44040,32944,109256,189396,137536,90504,39
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,0,0,712291.000,173.899,14830,12231852166163377715,30136,20530,20260,56136,37120,22912,40
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,0,0,875625.000,213.776,20551,4764871861497134690,30136,20530,27887,56180,37120,22952,41
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,64,0,0,364791.000,89.060,45142,7186113978382485765,45064,33456,60243,160145,115856,76072,31
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,64,0,0,451084.000,110.128,81998,11222693067653931729,45064,33456,109384,315892,232592,153992,33
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,64,0,0,609375.000,148.773,15133,18072393155367633155,31160,21042,20729,47083,30994,19584,29
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,64,0,0,725583.000,177.144,20854,100194403657037907,31160,21042,28357,86552,60562,39336,31
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,64,0,0,302958.000,73.964,45142,7186113978382485765,45064,33456,60243,160561,116032,76072,35
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,64,0,0,411000.000,100.342,81998,11222693067653931729,45064,33456,109384,316308,232768,153992,37
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,64,0,0,484500.000,118.286,15133,18072393155367633155,31160,21042,20729,49417,32128,19584,37
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,64,0,0,626083.000,152.852,20854,100194403657037907,31160,21042,28357,88886,61696,39336,39
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,4096,0,0,291375.000,71.136,49448,15560549571832965263,109576,65712,68672,144068,108824,66024,26
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,4096,0,0,377334.000,92.123,86304,12078772556260266821,109576,65712,117813,275635,207440,131848,27
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,4096,0,0,453208.000,110.646,19576,2013096996551949561,95672,53298,29340,78474,59566,33272,24
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,4096,0,0,577416.000,140.971,25297,658722243847606268,95672,53298,36968,78529,59578,33312,25
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,4096,0,0,266791.000,65.135,49448,15560549571832965263,109576,65712,68672,136420,100936,66024,30
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,4096,0,0,362667.000,88.542,86304,12078772556260266821,109576,65712,117813,267987,199552,131848,31
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,4096,0,0,428708.000,104.665,19576,2013096996551949561,95672,53298,29340,72744,52636,33272,32
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,4096,0,0,564042.000,137.706,25297,658722243847606268,95672,53298,36968,72799,52648,33312,33
