variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,0,543958.000,132.802,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,1,471750.000,115.173,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,2,384292.000,93.821,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,0,482125.000,117.706,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,1,461250.000,112.610,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,2,421958.000,103.017,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,0,498875.000,121.796,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,1,487583.000,119.039,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,2,505916.000,123.515,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,0,619834.000,151.327,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,1,611291.000,149.241,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,2,636875.000,155.487,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,fragments,4096,0,0,0,475791.000,116.160,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,fragments,4096,0,0,1,428375.000,104.584,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,fragments,4096,0,0,2,386500.000,94.360,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,fragments,4096,0,0,0,439875.000,107.391,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,fragments,4096,0,0,1,433458.000,105.825,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,fragments,4096,0,0,2,394583.000,96.334,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,fragments,4096,0,0,0,421625.000,102.936,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,fragments,4096,0,0,1,449458.000,109.731,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,fragments,4096,0,0,2,418583.000,102.193,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,fragments,4096,0,0,0,524958.000,128.164,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,fragments,4096,0,0,1,514750.000,125.671,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,fragments,4096,0,0,2,522542.000,127.574,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,fragments,4096,0,0,0,263166.000,64.250,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,fragments,4096,0,0,1,251750.000,61.462,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,fragments,4096,0,0,2,241584.000,58.980,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,fragments,4096,0,0,0,340791.000,83.201,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,fragments,4096,0,0,1,310333.000,75.765,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,fragments,4096,0,0,2,300500.000,73.364,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,fragments,4096,0,0,0,337209.000,82.326,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,fragments,4096,0,0,1,319833.000,78.084,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,fragments,4096,0,0,2,320125.000,78.156,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,fragments,4096,0,0,0,534917.000,130.595,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,fragments,4096,0,0,1,469333.000,114.583,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,fragments,4096,0,0,2,436833.000,106.649,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,fragments,4096,0,0,0,236750.000,57.800,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,fragments,4096,0,0,1,226292.000,55.247,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,fragments,4096,0,0,2,240334.000,58.675,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,fragments,4096,0,0,0,302459.000,73.843,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,fragments,4096,0,0,1,299291.000,73.069,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,fragments,4096,0,0,2,299625.000,73.151,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,fragments,4096,0,0,0,380083.000,92.794,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,fragments,4096,0,0,1,380084.000,92.794,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,fragments,4096,0,0,2,374375.000,91.400,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,fragments,4096,0,0,0,489250.000,119.446,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,fragments,4096,0,0,1,491417.000,119.975,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,fragments,4096,0,0,2,483583.000,118.062,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,fragments,4096,0,0,0,227167.000,55.461,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,fragments,4096,0,0,1,222458.000,54.311,45312,7820603925231540191,54608,32768,61778,0,0,0,0
