variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,0,623459.000,152.212,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,1,585625.000,142.975,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,2,554084.000,135.274,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,0,651459.000,159.048,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,1,610750.000,149.109,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,2,577083.000,140.889,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,0,745041.000,181.895,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,1,739750.000,180.603,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,2,782250.000,190.979,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,0,864959.000,211.172,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,1,853708.000,208.425,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,2,852542.000,208.140,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,0,522041.000,127.451,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,1,515542.000,125.865,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,2,512833.000,125.203,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,0,589750.000,143.982,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,1,649250.000,158.508,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,2,489250.000,119.446,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,0,681875.000,166.473,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,1,655583.000,160.054,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,2,648500.000,158.325,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,0,817042.000,199.473,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,1,783875.000,191.376,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,2,801000.000,195.557,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,ids,4096,0,0,0,293541.000,71.665,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,ids,4096,0,0,1,288541.000,70.445,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,ids,4096,0,0,2,291500.000,71.167,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,ids,4096,0,0,0,388083.000,94.747,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,ids,4096,0,0,1,380500.000,92.896,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,ids,4096,0,0,2,354208.000,86.477,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,ids,4096,0,0,0,486292.000,118.724,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,ids,4096,0,0,1,467250.000,114.075,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,ids,4096,0,0,2,462167.000,112.834,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,ids,4096,0,0,0,653458.000,159.536,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,ids,4096,0,0,1,653792.000,159.617,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,ids,4096,0,0,2,620750.000,151.550,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,0,0,265583.000,64.840,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,0,1,267167.000,65.226,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,0,2,266167.000,64.982,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,0,0,350291.000,85.520,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,0,1,349292.000,85.276,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,0,2,358333.000,87.484,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,0,0,476292.000,116.282,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,0,1,479750.000,117.126,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,0,2,471000.000,114.990,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,0,0,601292.000,146.800,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,0,1,596875.000,145.721,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,0,2,599542.000,146.373,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,0,0,242709.000,59.255,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,0,1,241500.000,58.960,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,0,2,241833.000,59.041,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,0,0,322458.000,78.725,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,0,1,306667.000,74.870,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,0,2,307083.000,74.971,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,0,0,448250.000,109.436,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,0,1,444125.000,108.429,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,0,2,443041.000,108.164,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,ids,4096,0,0,0,560916.000,136.942,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,ids,4096,0,0,1,553208.000,135.061,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,ids,4096,0,0,2,557375.000,136.078,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_fixed,ids,4096,0,0,0,220125.000,53.741,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_fixed,ids,4096,0,0,1,217583.000,53.121,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_fixed,ids,4096,0,0,2,223833.000,54.647,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_variable,ids,4096,0,0,0,289583.000,70.699,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_variable,ids,4096,0,0,1,292541.000,71.421,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_variable,ids,4096,0,0,2,289583.000,70.699,81934,7526945387361597197,44040,32944,109256,0,0,0,0
