variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,0,493667.000,120.524,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,1,406334.000,99.203,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,2,438750.000,107.117,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,0,433958.000,105.947,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,1,461291.000,112.620,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,2,422208.000,103.078,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,0,502500.000,122.681,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,1,466125.000,113.800,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,2,469875.000,114.716,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,0,709166.000,173.136,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,1,621166.000,151.652,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,2,612625.000,149.567,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,fragments,4096,0,0,0,569250.000,138.977,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,fragments,4096,0,0,1,466958.000,114.003,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,fragments,4096,0,0,2,534791.000,130.564,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,fragments,4096,0,0,0,422167.000,103.068,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,fragments,4096,0,0,1,430125.000,105.011,82168,16838699902396890206,54608,32768,110919,0,0,0,0
