variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,128,0,0,0,129875.000,1014.648,1415,13361928916660968522,1472,1080,1884,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,128,0,0,0,128125.000,1000.977,2531,8215161664832041190,1472,1080,3363,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,128,0,0,0,189542.000,1480.797,470,15681736941874341558,1046,695,644,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,128,0,0,0,155292.000,1213.219,644,12686455805047144254,1046,695,874,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,128,0,0,0,102458.000,800.453,1415,13361928916660968522,1472,1080,1884,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,128,0,0,0,112333.000,877.602,2531,8215161664832041190,1472,1080,3363,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,128,0,0,0,117167.000,915.367,470,15681736941874341558,1046,695,644,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,128,0,0,0,128417.000,1003.258,644,12686455805047144254,1046,695,874,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,128,64,0,0,106375.000,831.055,1479,12670111890358987861,2496,1592,2012,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,128,64,0,0,103500.000,808.594,2595,2524231402206959653,2496,1592,3491,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,128,64,0,0,108916.000,850.906,542,7681643223484209032,2070,1207,783,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,128,64,0,0,122625.000,958.008,715,2526165686136939379,2070,1207,1013,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,128,64,0,0,131792.000,1029.625,1479,12670111890358987861,2496,1592,2012,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,128,64,0,0,100208.000,782.875,2595,2524231402206959653,2496,1592,3491,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,128,64,0,0,111625.000,872.070,542,7681643223484209032,2070,1207,783,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,128,64,0,0,123250.000,962.891,715,2526165686136939379,2070,1207,1013,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,128,4096,0,0,113833.000,889.320,5520,8232437876109389230,67008,33848,10088,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,128,4096,0,0,127083.000,992.836,6636,5644236282914347671,67008,33848,11567,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,128,4096,0,0,128708.000,1005.531,4587,6791294330745906496,66582,33463,8865,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,128,4096,0,0,271917.000,2124.352,4761,16293770530577356864,66582,33463,9095,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,128,4096,0,0,190334.000,1486.984,5520,8232437876109389230,67008,33848,10088,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,128,4096,0,0,105417.000,823.570,6636,5644236282914347671,67008,33848,11567,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,128,4096,0,0,130625.000,1020.508,4587,6791294330745906496,66582,33463,8865,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,128,4096,0,0,134292.000,1049.156,4761,16293770530577356864,66582,33463,9095,0,0,0,0
