profile,fixture,prefix_bytes,tail_bytes,comparison,baseline_min,baseline_median,baseline_max,candidate_min,candidate_median,candidate_max,change_percent,ranges_overlap,input_literal_bits,output_literal_bits,payload_bytes
byte_fixed,ids,0,0,initial,56.834,58.187,66.518,59.357,60.812,68.512,4.511316960833178,True,44040,32944,45078
byte_variable,ids,0,0,initial,73.629,76.955,95.113,76.823,81.126,92.051,5.420050678968247,True,44040,32944,81934
bit_fixed,ids,0,0,initial,103.75,107.707,118.113,97.097,101.522,118.418,-5.74243085407633,True,30136,20530,14830
bit_variable,ids,0,0,initial,136.007,140.116,151.062,128.51,138.54,162.527,-1.124782323217921,True,30136,20530,20551
byte_fixed,ids,64,0,initial,56.173,57.882,62.022,60.333,64.229,68.258,10.96541239072597,True,45064,33456,45142
byte_variable,ids,64,0,initial,73.975,81.207,93.597,77.8,82.967,91.949,2.1673008484490275,True,45064,33456,81998
bit_fixed,ids,64,0,initial,105.753,113.23,136.23,91.756,95.327,109.049,-15.811180782478152,True,31160,21042,15133
bit_variable,ids,64,0,initial,132.955,140.411,219.462,127.991,134.664,154.144,-4.092984167907088,True,31160,21042,20854
byte_fixed,ids,4096,0,initial,58.624,61.788,71.94,60.699,68.756,102.315,11.277270667443528,True,109576,65712,49448
byte_variable,ids,4096,0,initial,75.439,81.502,93.516,77.515,81.512,93.658,0.012269637554918056,True,109576,65712,86304
bit_fixed,ids,4096,0,initial,107.401,115.519,186.33,100.271,105.265,120.31,-8.87646188072958,True,95672,53298,19576
bit_variable,ids,4096,0,initial,138.224,142.141,155.986,132.7,137.238,149.577,-3.4493918010989,True,95672,53298,25297
byte_fixed,ids,0,4096,initial,542.429,607.066,866.18,432.729,478.485,766.612,-21.18072828983999,True,178990088,134250672,16830212
byte_variable,ids,0,4096,initial,546.163,581.339,629.995,439.463,460.062,494.934,-20.861665912660264,False,178990088,134250672,16867068
bit_fixed,ids,0,4096,initial,1828.644,1890.411,2154.734,1140.35,1200.562,1411.814,-36.492011525535986,False,178976184,134238258,16817531
bit_variable,ids,0,4096,initial,1873.891,1910.614,1947.815,1195.597,1226.827,1263.387,-35.788861591090615,False,178976184,134238258,16823252
byte_fixed,fragments,0,0,initial,54.423,63.466,120.524,54.739,62.236,138.977,-1.9380455677055486,True,54608,32768,45312
byte_variable,fragments,0,0,initial,72.093,79.305,112.62,70.933,78.735,105.011,-0.7187440892755914,True,54608,32768,82168
bit_fixed,fragments,0,0,initial,90.932,95.408,122.681,77.047,83.221,106.242,-12.773561965453627,True,6826,4096,10308
bit_variable,fragments,0,0,initial,118.123,119.7,173.136,103.373,108.48,141.764,-9.373433583959901,True,6826,4096,16029
byte_fixed,ids,0,0,first,56.407,59.255,152.212,53.121,56.691,127.451,-4.327061007509913,True,44040,32944,45078
byte_variable,ids,0,0,first,73.507,78.725,159.048,69.407,71.279,158.508,-9.458240711336929,True,44040,32944,81934
bit_fixed,ids,0,0,first,107.391,109.812,190.979,89.478,97.646,166.473,-11.078934906931847,True,30136,20530,14830
bit_variable,ids,0,0,first,134.277,137.248,211.172,122.314,132.192,199.473,-3.6838423875029003,True,30136,20530,20551
byte_fixed,ids,64,0,first,56.173,56.803,60.679,53.406,53.945,55.929,-5.031424396598771,False,45064,33456,45142
byte_variable,ids,64,0,first,73.842,75.836,84.208,69.153,71.554,85.337,-5.646394852049152,True,45064,33456,81998
bit_fixed,ids,64,0,first,104.594,107.707,113.454,87.616,91.594,101.084,-14.960030452988205,False,31160,21042,15133
bit_variable,ids,64,0,first,131.887,136.23,155.436,121.287,127.085,151.001,-6.7129119870806715,True,31160,21042,20854
byte_fixed,ids,4096,0,first,57.821,59.753,69.163,53.528,55.349,65.094,-7.370341238096834,True,109576,65712,49448
byte_variable,ids,4096,0,first,74.28,77.209,82.367,69.275,70.943,73.354,-8.115634187724241,False,109576,65712,86304
bit_fixed,ids,4096,0,first,103.078,108.815,124.339,90.271,96.344,104.492,-11.460736111749304,True,95672,53298,19576
bit_variable,ids,4096,0,first,134.206,136.688,138.662,124.135,129.517,144.755,-5.246254243240078,True,95672,53298,25297
byte_fixed,ids,0,4096,first,540.863,559.662,880.697,425.242,433.757,942.027,-22.49661402775247,True,178990088,134250672,16830212
byte_variable,ids,0,4096,first,555.857,565.582,582.631,430.776,439.372,469.411,-22.3150666039584,False,178990088,134250672,16867068
bit_fixed,ids,0,4096,first,1819.621,1865.448,2097.748,1137.868,1169.128,1439.789,-37.32722648929373,False,178976184,134238258,16817531
bit_variable,ids,0,4096,first,1834.991,1858.846,1909.688,1189.901,1211.07,1290.965,-34.84828759348543,False,178976184,134238258,16823252
byte_fixed,fragments,0,0,first,54.311,57.22,132.802,51.504,54.189,116.16,-5.297098916462772,True,54608,32768,45312
byte_variable,fragments,0,0,first,72.978,75.205,117.706,66.518,69.051,107.391,-8.18296655807459,True,54608,32768,82168
bit_fixed,fragments,0,0,first,87.209,92.275,123.515,75.511,78.156,109.731,-15.301002438363586,True,6826,4096,10308
bit_variable,fragments,0,0,first,118.062,121.592,155.487,100.413,103.231,130.595,-15.100500032896901,True,6826,4096,16029
