variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,0,2274666.000,138.835,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,1,2015542.000,123.019,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,2,1746209.000,106.580,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,0,2027167.000,123.728,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,1,2006500.000,122.467,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,2,2054875.000,125.420,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,0,3300708.000,201.459,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,1,3406833.000,207.937,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,2,3231292.000,197.222,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,0,3926250.000,239.639,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,1,3877708.000,236.677,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,2,3960166.000,241.709,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,byte_fixed,16384,0,0,1724458.000,105.253,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,byte_fixed,16384,0,1,1467708.000,89.582,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,byte_fixed,16384,0,2,1483458.000,90.543,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,byte_variable,16384,0,0,1783792.000,108.874,328817,14631988329332027140
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,byte_variable,16384,0,1,1755166.000,107.127,328817,14631988329332027140
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,byte_variable,16384,0,2,1786584.000,109.044,328817,14631988329332027140
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,bit_fixed,16384,0,0,2607875.000,159.172,60153,8519433193016921614
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,bit_fixed,16384,0,1,2539041.000,154.971,60153,8519433193016921614
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,bit_fixed,16384,0,2,2545167.000,155.345,60153,8519433193016921614
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,bit_variable,16384,0,0,3281667.000,200.297,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,bit_variable,16384,0,1,3256500.000,198.761,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,0,bit_variable,16384,0,2,3374125.000,205.940,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,byte_fixed,16384,0,0,1429792.000,87.268,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,byte_fixed,16384,0,1,1345583.000,82.128,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,byte_fixed,16384,0,2,1438500.000,87.799,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,byte_variable,16384,0,0,1806000.000,110.229,328817,14631988329332027140
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,byte_variable,16384,0,1,1803584.000,110.082,328817,14631988329332027140
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,byte_variable,16384,0,2,1767500.000,107.880,328817,14631988329332027140
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,bit_fixed,16384,0,0,2677209.000,163.404,60153,8519433193016921614
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,bit_fixed,16384,0,1,2572833.000,157.033,60153,8519433193016921614
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,bit_fixed,16384,0,2,2576166.000,157.237,60153,8519433193016921614
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,bit_variable,16384,0,0,3341833.000,203.969,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,bit_variable,16384,0,1,3310083.000,202.031,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,1,bit_variable,16384,0,2,3302375.000,201.561,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,byte_fixed,16384,0,0,1640875.000,100.151,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,byte_fixed,16384,0,1,1627292.000,99.322,181387,10403037783553420394
