variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,0,1637209.000,99.927,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,1,1619958.000,98.874,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,2,1629667.000,99.467,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,0,2094625.000,127.846,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,1,2028584.000,123.815,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,2,2018125.000,123.177,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,0,3450750.000,210.617,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,1,3276500.000,199.982,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,2,3547542.000,216.525,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,0,4097250.000,250.076,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,1,4137041.000,252.505,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,2,4191542.000,255.831,83038,15871665711279132660
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_fixed,16384,0,0,2024958.000,123.594,181387,10403037783553420394
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_fixed,16384,0,1,1806834.000,110.280,181387,10403037783553420394
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_fixed,16384,0,2,2015167.000,122.996,181387,10403037783553420394
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_variable,16384,0,0,2224334.000,135.763,328817,14631988329332027140
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_variable,16384,0,1,2144458.000,130.887,328817,14631988329332027140
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_variable,16384,0,2,2272250.000,138.687,328817,14631988329332027140
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_fixed,16384,0,0,3432500.000,209.503,60153,8519433193016921614
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_fixed,16384,0,1,3124833.000,190.725,60153,8519433193016921614
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_fixed,16384,0,2,3698000.000,225.708,60153,8519433193016921614
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_variable,16384,0,0,3804875.000,232.231,83038,15871665711279132660
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_variable,16384,0,1,3756208.000,229.261,83038,15871665711279132660
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_variable,16384,0,2,4044208.000,246.839,83038,15871665711279132660
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_fixed,16384,0,0,2280667.000,139.201,181387,10403037783553420394
candidate,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_fixed,16384,0,1,1724792.000,105.273,181387,10403037783553420394
