variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_fixed,16384,0,0,1897167.000,115.794,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_fixed,16384,0,1,1857958.000,113.401,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_fixed,16384,0,2,1761166.000,107.493,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_variable,16384,0,0,2231709.000,136.213,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_variable,16384,0,1,2196084.000,134.038,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,byte_variable,16384,0,2,2121500.000,129.486,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_fixed,16384,0,0,3134125.000,191.292,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_fixed,16384,0,1,3067666.000,187.235,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_fixed,16384,0,2,3086375.000,188.377,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_variable,16384,0,0,3672625.000,224.159,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_variable,16384,0,1,3835583.000,234.105,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,0,bit_variable,16384,0,2,3740625.000,228.310,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_fixed,16384,0,0,1508833.000,92.092,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_fixed,16384,0,1,1491750.000,91.049,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_fixed,16384,0,2,1506916.000,91.975,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_variable,16384,0,0,1818959.000,111.020,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_variable,16384,0,1,1844292.000,112.567,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_variable,16384,0,2,1904292.000,116.229,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_fixed,16384,0,0,2635750.000,160.873,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_fixed,16384,0,1,2564625.000,156.532,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_fixed,16384,0,2,2786084.000,170.049,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_variable,16384,0,0,3403959.000,207.761,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_variable,16384,0,1,3523417.000,215.052,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_variable,16384,0,2,3501917.000,213.740,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_fixed,16384,0,0,1425333.000,86.995,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_fixed,16384,0,1,1453500.000,88.715,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_fixed,16384,0,2,1366208.000,83.387,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_variable,16384,0,0,1838542.000,112.216,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_variable,16384,0,1,1916416.000,116.969,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_variable,16384,0,2,1785833.000,108.999,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_fixed,16384,0,0,2649000.000,161.682,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_fixed,16384,0,1,2749417.000,167.811,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_fixed,16384,0,2,2746834.000,167.653,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_variable,16384,0,0,3504791.000,213.915,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_variable,16384,0,1,3287916.000,200.678,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_variable,16384,0,2,3515625.000,214.577,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_fixed,16384,0,0,1792250.000,109.390,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_fixed,16384,0,1,1723167.000,105.174,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_fixed,16384,0,2,1766750.000,107.834,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_variable,16384,0,0,2223375.000,135.704,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_variable,16384,0,1,2152500.000,131.378,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,byte_variable,16384,0,2,2176750.000,132.858,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,bit_fixed,16384,0,0,3075917.000,187.739,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,bit_fixed,16384,0,1,3096083.000,188.970,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,bit_fixed,16384,0,2,3074958.000,187.681,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,bit_variable,16384,0,0,3850041.000,234.988,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,bit_variable,16384,0,1,3786667.000,231.120,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,1,bit_variable,16384,0,2,3718709.000,226.972,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,byte_fixed,16384,0,0,1831666.000,111.796,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,byte_fixed,16384,0,1,1816250.000,110.855,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,byte_fixed,16384,0,2,1808333.000,110.372,181387,10403037783553420394
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,byte_variable,16384,0,0,2202292.000,134.417,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,byte_variable,16384,0,1,2150208.000,131.238,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,byte_variable,16384,0,2,2120875.000,129.448,328817,14631988329332027140
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,bit_fixed,16384,0,0,3151791.000,192.370,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,bit_fixed,16384,0,1,3055166.000,186.473,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,bit_fixed,16384,0,2,3196750.000,195.114,60153,8519433193016921614
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,bit_variable,16384,0,0,3785167.000,231.028,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,bit_variable,16384,0,1,3958875.000,241.631,83038,15871665711279132660
baseline,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,2,bit_variable,16384,0,2,3729292.000,227.618,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,byte_fixed,16384,0,0,1519375.000,92.735,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,byte_fixed,16384,0,1,1400708.000,85.492,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,byte_fixed,16384,0,2,1362417.000,83.155,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,byte_variable,16384,0,0,1891625.000,115.456,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,byte_variable,16384,0,1,1833584.000,111.913,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,byte_variable,16384,0,2,1858792.000,113.452,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,bit_fixed,16384,0,0,2556542.000,156.039,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,bit_fixed,16384,0,1,2625083.000,160.222,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,bit_fixed,16384,0,2,2613667.000,159.526,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,bit_variable,16384,0,0,3333542.000,203.463,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,bit_variable,16384,0,1,3526875.000,215.263,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,2,bit_variable,16384,0,2,3427375.000,209.190,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,3,byte_fixed,16384,0,0,1395333.000,85.164,181387,10403037783553420394
