case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,endpoint_bytes,total_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
hot_same_bits,253440,16896,independent,rank,neon_byte_first,8448,1056,8,9512,0,48,131072,1048576,5,6.802,6.563,6.867,66107950592
hot_same_bits,253440,16896,independent,rank,neon_qword_first,8448,1056,8,9512,0,48,131072,1048576,5,5.731,5.619,5.900,66107950592
hot_same_bits,253440,16896,independent,rank,cult_bitmap_rank,31680,5940,4,37624,0,0,131072,1048576,5,7.368,6.896,7.474,66107950592
hot_same_bits,253440,16896,independent,pair_rank_plus_class,neon_byte_first,8448,1056,8,9512,0,48,131072,1048576,5,8.030,7.834,8.281,132223722496
hot_same_bits,253440,16896,independent,pair_rank_plus_class,neon_qword_first,8448,1056,8,9512,0,48,131072,1048576,5,9.583,9.395,9.674,132223722496
hot_same_bits,253440,16896,independent,pair_rank_plus_class,cult_bitmap_rank,31680,5940,4,37624,0,0,131072,1048576,5,10.611,10.298,10.952,132223722496
hot_same_bits,253440,16896,independent,pair_two_ranks,neon_byte_first,8448,1056,8,9512,0,48,131072,1048576,5,10.739,10.556,10.909,132223722496
hot_same_bits,253440,16896,independent,pair_two_ranks,neon_qword_first,8448,1056,8,9512,0,48,131072,1048576,5,11.601,11.387,11.719,132223722496
hot_same_bits,253440,16896,independent,pair_two_ranks,cult_bitmap_rank,31680,5940,4,37624,0,0,131072,1048576,5,11.946,11.897,12.075,132223722496
hot_same_bits,253440,16896,dependent,rank,neon_byte_first,8448,1056,8,9512,0,48,131072,1048576,5,17.350,16.809,17.703,66308235740
hot_same_bits,253440,16896,dependent,rank,neon_qword_first,8448,1056,8,9512,0,48,131072,1048576,5,20.192,19.822,20.531,66308235740
hot_same_bits,253440,16896,dependent,rank,cult_bitmap_rank,31680,5940,4,37624,0,0,131072,1048576,5,18.612,18.195,19.010,66308235740
hot_same_bits,253440,16896,dependent,pair_rank_plus_class,neon_byte_first,8448,1056,8,9512,0,48,131072,1048576,5,18.322,18.227,18.467,132121235209
hot_same_bits,253440,16896,dependent,pair_rank_plus_class,neon_qword_first,8448,1056,8,9512,0,48,131072,1048576,5,20.872,20.690,21.122,132121235209
hot_same_bits,253440,16896,dependent,pair_rank_plus_class,cult_bitmap_rank,31680,5940,4,37624,0,0,131072,1048576,5,21.676,21.101,21.683,132121235209
hot_same_bits,253440,16896,dependent,pair_two_ranks,neon_byte_first,8448,1056,8,9512,0,48,131072,1048576,5,21.361,21.245,21.448,132121235209
hot_same_bits,253440,16896,dependent,pair_two_ranks,neon_qword_first,8448,1056,8,9512,0,48,131072,1048576,5,24.131,23.941,24.179,132121235209
hot_same_bits,253440,16896,dependent,pair_two_ranks,cult_bitmap_rank,31680,5940,4,37624,0,0,131072,1048576,5,23.507,23.277,23.613,132121235209
