kind,size,pattern,variant,positions,encoded_bytes,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
groups3,large,independent,baseline,33554469,10485784,8388608,1048576,5,40.598,38.538,42.795,26409147983100
groups3,large,independent,portable_packed,33554469,10485784,8388608,1048576,5,10.102,9.843,11.194,26409147983100
groups3,large,independent,neon_packed,33554469,10485784,8388608,1048576,5,4.451,4.030,4.795,26409147983100
groups3,large,independent,selected,33554469,10485784,8388608,1048576,5,10.421,10.094,11.261,26409147983100
groups3,large,dependent,baseline,33554469,10485784,8388608,1048576,5,47.293,38.496,51.051,26398957359036
groups3,large,dependent,portable_packed,33554469,10485784,8388608,1048576,5,20.365,18.158,24.809,26398957359036
groups3,large,dependent,neon_packed,33554469,10485784,8388608,1048576,5,22.471,21.075,24.526,26398957359036
groups3,large,dependent,selected,33554469,10485784,8388608,1048576,5,19.121,17.861,21.101,26398957359036
groups3_pair,large,independent,baseline,33554469,10485784,8388608,1048576,5,45.872,43.113,50.196,52818297539081
groups3_pair,large,independent,portable_packed,33554469,10485784,8388608,1048576,5,12.034,11.689,13.858,52818297539081
groups3_pair,large,independent,neon_packed,33554469,10485784,8388608,1048576,5,6.094,5.736,7.572,52818297539081
groups3_pair,large,independent,selected,33554469,10485784,8388608,1048576,5,11.355,10.730,13.062,52818297539081
groups3_pair,large,dependent,baseline,33554469,10485784,8388608,1048576,5,47.505,46.173,108.265,52721978343719
groups3_pair,large,dependent,portable_packed,33554469,10485784,8388608,1048576,5,21.933,21.486,80.909,52721978343719
groups3_pair,large,dependent,neon_packed,33554469,10485784,8388608,1048576,5,23.652,22.643,63.360,52721978343719
groups3_pair,large,dependent,selected,33554469,10485784,8388608,1048576,5,22.423,20.527,54.914,52721978343719
groups7,large,independent,baseline,33554469,14680088,8388608,1048576,5,67.871,56.461,70.041,61627490025620
groups7,large,independent,portable_packed,33554469,14680088,8388608,1048576,5,12.480,12.042,13.994,61627490025620
groups7,large,independent,neon_packed,33554469,14680088,8388608,1048576,5,8.488,6.749,9.233,61627490025620
groups7,large,independent,selected,33554469,14680088,8388608,1048576,5,7.266,6.755,9.373,61627490025620
groups7,large,dependent,baseline,33554469,14680088,8388608,1048576,5,58.417,57.462,60.713,61575454722145
groups7,large,dependent,portable_packed,33554469,14680088,8388608,1048576,5,24.183,23.613,24.524,61575454722145
groups7,large,dependent,neon_packed,33554469,14680088,8388608,1048576,5,22.691,22.661,22.861,61575454722145
groups7,large,dependent,selected,33554469,14680088,8388608,1048576,5,22.643,22.240,22.858,61575454722145
groups7_pair,large,independent,baseline,33554469,14680088,8388608,1048576,5,75.126,60.357,88.177,123254983725445
groups7_pair,large,independent,portable_packed,33554469,14680088,8388608,1048576,5,19.891,16.429,22.664,123254983725445
groups7_pair,large,independent,neon_packed,33554469,14680088,8388608,1048576,5,12.276,8.488,13.676,123254983725445
groups7_pair,large,independent,selected,33554469,14680088,8388608,1048576,5,10.524,8.387,11.122,123254983725445
groups7_pair,large,dependent,baseline,33554469,14680088,8388608,1048576,5,79.853,61.132,83.813,123191790531869
groups7_pair,large,dependent,portable_packed,33554469,14680088,8388608,1048576,5,27.616,25.359,51.671,123191790531869
groups7_pair,large,dependent,neon_packed,33554469,14680088,8388608,1048576,5,37.072,24.153,43.427,123191790531869
groups7_pair,large,dependent,selected,33554469,14680088,8388608,1048576,5,36.339,23.310,42.632,123191790531869
groups31,large,independent,baseline,33554469,23068704,8388608,1048576,5,70.115,69.674,73.978,272930742634996
groups31,large,independent,portable_packed,33554469,23068704,8388608,1048576,5,25.004,24.639,25.710,272930742634996
groups31,large,independent,neon_packed,33554469,23068704,8388608,1048576,5,19.469,18.947,19.696,272930742634996
groups31,large,independent,selected,33554469,23068704,8388608,1048576,5,19.187,19.022,19.397,272930742634996
groups31,large,dependent,baseline,33554469,23068704,8388608,1048576,5,71.593,71.019,98.139,272913028491915
groups31,large,dependent,portable_packed,33554469,23068704,8388608,1048576,5,41.824,41.505,45.628,272913028491915
groups31,large,dependent,neon_packed,33554469,23068704,8388608,1048576,5,42.865,41.131,45.247,272913028491915
groups31,large,dependent,selected,33554469,23068704,8388608,1048576,5,43.117,41.041,45.039,272913028491915
groups31_pair,large,independent,baseline,33554469,23068704,8388608,1048576,5,68.983,68.266,84.602,545861501526717
groups31_pair,large,independent,portable_packed,33554469,23068704,8388608,1048576,5,28.785,28.599,32.079,545861501526717
groups31_pair,large,independent,neon_packed,33554469,23068704,8388608,1048576,5,21.358,20.852,23.737,545861501526717
groups31_pair,large,independent,selected,33554469,23068704,8388608,1048576,5,21.076,20.576,23.951,545861501526717
groups31_pair,large,dependent,baseline,33554469,23068704,8388608,1048576,5,117.245,88.344,126.328,545939544614012
groups31_pair,large,dependent,portable_packed,33554469,23068704,8388608,1048576,5,56.266,53.863,80.831,545939544614012
groups31_pair,large,dependent,neon_packed,33554469,23068704,8388608,1048576,5,81.947,54.304,103.762,545939544614012
groups31_pair,large,dependent,selected,33554469,23068704,8388608,1048576,5,55.604,53.529,88.117,545939544614012
bitmap,large,independent,baseline,536871049,69206056,8388608,1048576,5,25.207,24.122,29.323,140851655522807
bitmap,large,independent,selected,536871049,69206056,8388608,1048576,5,23.863,23.179,26.808,140851655522807
bitmap,large,dependent,baseline,536871049,69206056,8388608,1048576,5,109.700,101.308,114.275,140733561128742
bitmap,large,dependent,selected,536871049,69206056,8388608,1048576,5,104.834,101.389,109.334,140733561128742
