variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,64,0,2,0,128,0,3125.000,8388.344,512,94,323383434637,15,760,48,248,64,72,3,1195
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,64,0,2,0,128,0,3000.000,9680.664,512,94,323383434637,15,712,44,248,64,72,3,1143
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,64,0,2,0,128,0,5791.000,8332.688,512,94,323383434637,15,751,45,248,64,72,3,1183
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,64,0,2,0,128,0,2542.000,9675.461,512,94,323383434637,15,707,44,248,64,72,3,1138
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,64,0,2,0,128,0,4709.000,11688.156,512,94,323383434637,16,751,45,248,64,72,3,1183
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,64,0,2,0,128,0,2542.000,13794.602,512,94,323383434637,16,705,44,248,64,72,3,1136
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,64,64,2,0,128,0,3375.000,7925.461,512,94,323383434637,15,1016,240,248,64,72,3,1643
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,64,64,2,0,128,0,12375.000,11012.047,512,94,323383434637,15,975,239,248,64,72,3,1601
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,64,64,2,0,128,0,2625.000,8068.359,512,94,323383434637,15,1007,237,248,64,72,3,1631
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,64,64,2,0,128,0,4541.000,10635.094,512,94,323383434637,15,971,239,248,64,72,3,1597
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,64,64,2,0,128,0,2917.000,8667.641,512,94,323383434637,16,1007,237,248,64,72,3,1631
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,64,64,2,0,128,0,3708.000,12184.570,512,94,323383434637,16,968,239,248,64,72,3,1594
