variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,0,15250.000,3128.408,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,0,13792.000,3283.142,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,0,25666.000,3042.765,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,0,14584.000,3159.627,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,1,8458.000,1897.542,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,1,10000.000,2716.024,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,1,6833.000,1819.621,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,1,9750.000,2782.623,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,2,7458.000,1810.659,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,2,9792.000,2772.746,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,2,7708.000,1816.193,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,2,9959.000,2734.080,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,3,7291.000,1819.957,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
