variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,0,12417.000,1988.078,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,0,21167.000,2944.519,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,0,18875.000,2103.312,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,0,35667.000,3590.841,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,0,24625.000,2466.044,20480,2796,331823824949766785,16,56424,1351,704,280,3128,50,61937
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,0,23500.000,3146.871,20480,2796,331823824949766785,16,53361,1186,832,280,3128,50,58837
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,1,22667.000,2133.992,20480,2796,331823824949766785,16,56424,1351,704,280,3128,50,61937
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,1,12292.000,3141.653,20480,2796,331823824949766785,16,53361,1186,832,280,3128,50,58837
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,1,9916.000,1989.268,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,1,28459.000,2921.672,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,1,14500.000,1841.461,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,1,24709.000,2848.104,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,2,12042.000,1912.720,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,2,22292.000,2858.663,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,2,7667.000,2133.698,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,2,27291.000,3059.163,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,2,17958.000,2223.175,20480,2796,331823824949766785,16,56424,1351,704,280,3128,50,61937
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,2,15541.000,3242.645,20480,2796,331823824949766785,16,53361,1186,832,280,3128,50,58837
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,3,10500.000,2225.047,20480,2796,331823824949766785,16,56424,1351,704,280,3128,50,61937
candidate_w16,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,3,23791.000,3249.654,20480,2796,331823824949766785,16,53361,1186,832,280,3128,50,58837
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,3,10667.000,2063.182,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,3,22750.000,3088.867,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,3,11250.000,1917.328,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,3,13125.000,2917.236,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,4,13917.000,2020.355,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,4,18166.000,2934.092,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,4,16375.000,2051.198,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,4,24417.000,3030.874,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
