variant,profile,base_records,prefix_bytes,queries,K,W,catalogs,matches,checksum,native_skipped,native_visited,native_compared_bits,borrowed_skipped,borrowed_visited,borrowed_compared_bits,unknown_routes,extra_value_probes
baseline_w15,byte,4096,0,4096,15,15,20480,2796,331823824949766785,89389,120034,516707,73481,52020,504576,0,0
baseline_w15,bit,4096,0,4096,15,15,20480,2796,331823824949766785,89389,120034,183248,73481,52020,345438,0,0
baseline_w15,byte,4096,64,4096,15,15,20480,2796,331823824949766785,89389,120034,991331,73481,52020,3068672,0,0
baseline_w15,bit,4096,64,4096,15,15,20480,2796,331823824949766785,89389,120034,657872,73481,52020,2909534,0,0
baseline_w15,byte,65536,64,4096,15,15,24576,2810,17916971327959202543,85071,120158,500076,85704,88257,3052209,0,0
baseline_w15,bit,65536,64,4096,15,15,24576,2810,17916971327959202543,85071,120158,166270,85704,88257,2822956,0,0
candidate_w15,byte,4096,0,4096,15,15,20480,2796,331823824949766785,89389,120034,516707,73481,52020,504576,1070,0
candidate_w15,bit,4096,0,4096,15,15,20480,2796,331823824949766785,89389,120034,183248,73481,52020,345438,1070,0
candidate_w15,byte,4096,64,4096,15,15,20480,2796,331823824949766785,89389,120034,991331,73481,52020,3068672,1070,0
candidate_w15,bit,4096,64,4096,15,15,20480,2796,331823824949766785,89389,120034,657872,73481,52020,2909534,1070,0
candidate_w15,byte,65536,64,4096,15,15,24576,2810,17916971327959202543,85071,120158,500076,85704,88257,3052209,1305,0
candidate_w15,bit,65536,64,4096,15,15,24576,2810,17916971327959202543,85071,120158,166270,85704,88257,2822956,1305,0
candidate_w16,byte,4096,0,4096,15,16,20480,2796,331823824949766785,114335,120034,516707,79520,52020,504576,1070,0
candidate_w16,bit,4096,0,4096,15,16,20480,2796,331823824949766785,114335,120034,183248,79520,52020,345438,1070,0
candidate_w16,byte,4096,64,4096,15,16,20480,2796,331823824949766785,114335,120034,991331,79520,52020,3068672,1070,0
candidate_w16,bit,4096,64,4096,15,16,20480,2796,331823824949766785,114335,120034,657872,79520,52020,2909534,1070,0
candidate_w16,byte,65536,64,4096,15,16,24576,2810,17916971327959202543,123397,120158,500076,135446,88257,3052209,1305,0
candidate_w16,bit,65536,64,4096,15,16,24576,2810,17916971327959202543,123397,120158,166270,135446,88257,2822956,1305,0
