profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum
byte,15,4096,0,87,1,4096,0,13166.000,4289.561,20480,2796,331823824949766785
byte,15,4096,0,87,1,4096,1,16333.000,3837.311,20480,2796,331823824949766785
byte,15,4096,0,87,1,4096,2,9792.000,3679.575,20480,2796,331823824949766785
byte,15,4096,0,87,1,4096,3,14334.000,3777.629,20480,2796,331823824949766785
byte,15,4096,0,87,1,4096,4,10833.000,3794.485,20480,2796,331823824949766785
bit,15,4096,0,87,1,4096,0,21917.000,7056.163,20480,2796,331823824949766785
bit,15,4096,0,87,1,4096,1,32125.000,7033.539,20480,2796,331823824949766785
bit,15,4096,0,87,1,4096,2,22916.000,7049.510,20480,2796,331823824949766785
bit,15,4096,0,87,1,4096,3,17375.000,7165.649,20480,2796,331823824949766785
bit,15,4096,0,87,1,4096,4,19500.000,7165.161,20480,2796,331823824949766785
byte,15,4096,64,87,1,4096,0,17584.000,3869.344,20480,2796,331823824949766785
byte,15,4096,64,87,1,4096,1,13792.000,3950.796,20480,2796,331823824949766785
byte,15,4096,64,87,1,4096,2,13125.000,3896.291,20480,2796,331823824949766785
byte,15,4096,64,87,1,4096,3,14375.000,4003.906,20480,2796,331823824949766785
byte,15,4096,64,87,1,4096,4,14000.000,3922.455,20480,2796,331823824949766785
bit,15,4096,64,87,1,4096,0,25000.000,7396.667,20480,2796,331823824949766785
bit,15,4096,64,87,1,4096,1,28500.000,7386.821,20480,2796,331823824949766785
bit,15,4096,64,87,1,4096,2,23625.000,7374.624,20480,2796,331823824949766785
bit,15,4096,64,87,1,4096,3,25791.000,7356.618,20480,2796,331823824949766785
bit,15,4096,64,87,1,4096,4,19875.000,7527.364,20480,2796,331823824949766785
