variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,byte,15,128,0,3,0,128,0,5583.000,12016.922,512,89,527602739123,15,1535,65,248,64,112,4,2028
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,bit,15,128,0,3,0,128,0,2666.000,15265.625,512,89,527602739123,15,1439,59,256,64,112,4,1934
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,128,0,3,0,128,0,5291.000,11570.641,512,89,527602739123,15,1535,65,248,64,112,4,2028
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,128,0,3,0,128,0,3083.000,15710.281,512,89,527602739123,15,1439,59,256,64,112,4,1934
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,byte,15,128,64,3,0,128,0,4625.000,12059.891,512,89,527602739123,15,1791,257,248,64,112,4,2476
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,bit,15,128,64,3,0,128,0,6917.000,18195.312,512,89,527602739123,15,1706,254,256,64,112,4,2396
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,128,64,3,0,128,0,4709.000,11587.242,512,89,527602739123,15,1791,257,248,64,112,4,2476
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,128,64,3,0,128,0,8334.000,17625.328,512,89,527602739123,15,1706,254,256,64,112,4,2396
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,byte,15,1024,64,22,1,128,0,83750.000,18844.398,640,92,106102185999466,15,13664,626,392,120,800,14,15616
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,bit,15,1024,64,22,1,128,0,75542.000,24086.914,640,92,106102185999466,15,12981,589,416,120,800,14,14920
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,1024,64,22,1,128,0,101292.000,16216.141,640,92,106102185999466,15,13664,626,392,120,800,14,15616
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,1024,64,22,1,128,0,79625.000,24881.836,640,92,106102185999466,15,12981,589,416,120,800,14,14920
