variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,0,18584.000,2740.590,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,4096,0,87,1,4096,0,38333.000,4149.150,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,4429df0a8507705a9c4ccc0f6366344cf543f396,byte,15,4096,0,87,1,4096,0,18833.000,2676.768,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,4429df0a8507705a9c4ccc0f6366344cf543f396,bit,15,4096,0,87,1,4096,0,29375.000,4106.618,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,4429df0a8507705a9c4ccc0f6366344cf543f396,byte,15,4096,0,87,1,4096,1,17916.000,2652.720,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,4429df0a8507705a9c4ccc0f6366344cf543f396,bit,15,4096,0,87,1,4096,1,27042.000,4179.759,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,1,33792.000,2692.393,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,4096,0,87,1,4096,1,27208.000,4067.993,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,2,11750.000,2705.688,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,4096,0,87,1,4096,2,27500.000,4073.069,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,4429df0a8507705a9c4ccc0f6366344cf543f396,byte,15,4096,0,87,1,4096,2,26417.000,2635.325,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
