case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,total_bytes,capacity_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
hot_full32KiB,253440,16896,random,rank,bitmap_rank,31680,1000,32680,32680,0,32,131072,1048576,5,14.861,14.240,15.329,66107950592
hot_full32KiB,253440,16896,random,rank,poppy512_neon_cpu,31680,1000,32680,32680,0,32,131072,1048576,5,4.888,4.766,4.999,66107950592
hot_full32KiB,253440,16896,random,rank,rank15_baseline,8448,1056,9504,9504,0,16,131072,1048576,5,15.782,15.769,16.091,66107950592
hot_full32KiB,253440,16896,random,rank,rank_groups15_baseline,8448,1056,9504,9504,0,16,131072,1048576,5,43.783,43.509,44.215,66107950592
hot_full32KiB,253440,16896,random,rank,rank15_candidate,8448,1056,9504,9504,0,16,131072,1048576,5,14.325,14.132,14.433,66107950592
hot_full32KiB,253440,16896,random,rank,rank15_simd,8448,1056,9504,9504,0,16,131072,1048576,5,5.375,5.338,5.427,66107950592
hot_full32KiB,253440,16896,random,pair_two_ranks,bitmap_rank,31680,1000,32680,32680,0,32,131072,1048576,5,23.501,23.226,23.729,132223722496
hot_full32KiB,253440,16896,random,pair_two_ranks,poppy512_neon_cpu,31680,1000,32680,32680,0,32,131072,1048576,5,9.521,9.340,9.648,132223722496
hot_full32KiB,253440,16896,random,pair_two_ranks,rank15_baseline,8448,1056,9504,9504,0,16,131072,1048576,5,28.241,28.029,28.622,132223722496
hot_full32KiB,253440,16896,random,pair_two_ranks,rank_groups15_baseline,8448,1056,9504,9504,0,16,131072,1048576,5,78.672,78.186,78.997,132223722496
hot_full32KiB,253440,16896,random,pair_two_ranks,rank15_candidate,8448,1056,9504,9504,0,16,131072,1048576,5,26.482,26.292,26.752,132223722496
hot_full32KiB,253440,16896,random,pair_two_ranks,rank15_simd,8448,1056,9504,9504,0,16,131072,1048576,5,11.276,11.184,11.405,132223722496
hot_full32KiB,253440,16896,random,pair_rank_plus_class,bitmap_rank,31680,1000,32680,32680,0,32,131072,1048576,5,18.577,17.783,24.395,132223722496
hot_full32KiB,253440,16896,random,pair_rank_plus_class,poppy512_neon_cpu,31680,1000,32680,32680,0,32,131072,1048576,5,7.336,7.195,11.834,132223722496
hot_full32KiB,253440,16896,random,pair_rank_plus_class,rank15_baseline,8448,1056,9504,9504,0,16,131072,1048576,5,18.152,18.012,25.734,132223722496
