case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,total_bytes,capacity_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
hot_packed32KiB,873600,58240,random,rank,bitmap_rank,109248,3424,112672,112672,0,0,262144,1048576,5,9.906,9.881,11.003,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_baseline,29120,3640,32760,32760,32,16,262144,1048576,5,9.212,9.088,9.544,228484590176
hot_packed32KiB,873600,58240,random,rank,rank_groups15_baseline,29120,3640,32760,32760,32,16,262144,1048576,5,9.176,9.122,9.260,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_candidate,29120,3640,32760,32760,32,16,262144,1048576,5,2.896,2.879,2.940,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_simd,29120,3640,32760,32760,32,16,262144,1048576,5,3.235,3.221,3.279,228484590176
hot_packed32KiB,873600,58240,random,pair_two_ranks,bitmap_rank,109248,3424,112672,112672,0,0,262144,1048576,5,15.211,15.206,15.228,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_baseline,29120,3640,32760,32760,32,16,262144,1048576,5,13.530,13.503,13.554,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank_groups15_baseline,29120,3640,32760,32760,32,16,262144,1048576,5,13.483,13.470,13.500,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_candidate,29120,3640,32760,32760,32,16,262144,1048576,5,5.136,5.129,5.180,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_simd,29120,3640,32760,32760,32,16,262144,1048576,5,6.109,6.109,6.156,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,bitmap_rank,109248,3424,112672,112672,0,0,262144,1048576,5,11.790,11.771,11.794,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_baseline,29120,3640,32760,32760,32,16,262144,1048576,5,9.839,9.763,9.921,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank_groups15_baseline,29120,3640,32760,32760,32,16,262144,1048576,5,9.865,9.824,9.907,456977052320
