case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,total_bytes,capacity_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
hot_packed32KiB,873600,58240,random,rank,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,8.498,8.105,15.546,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,8.850,8.742,33.049,228484590176
hot_packed32KiB,873600,58240,random,rank,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,8.827,8.602,9.022,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,3.673,3.457,3.949,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,4.344,3.790,4.587,228484590176
hot_packed32KiB,873600,58240,random,pair_two_ranks,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,14.247,14.091,50.320,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,13.791,13.659,26.348,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,13.889,13.708,159.076,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,7.139,5.934,15.774,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,7.908,6.869,8.469,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,10.339,10.012,10.627,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,9.690,9.507,9.911,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,9.893,9.258,74.865,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,4.709,4.193,36.974,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,4.928,4.558,5.273,456977052320
hot_packed32KiB,873600,58240,random_dependent,rank,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,9.548,9.424,9.728,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,10.660,10.517,11.006,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,10.744,10.605,42.627,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,14.053,9.780,18.836,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,10.258,10.079,115.014,228414720673
