kind,size,pattern,variant,positions,encoded_bytes,query_bytes,queries,trial,ns_per_query,checksum
bitmap,hot,independent,baseline,253577,32704,524288,1048576,0,5.920,66132829104
bitmap,hot,independent,baseline,253577,32704,524288,1048576,1,5.952,66132829104
bitmap,hot,independent,baseline,253577,32704,524288,1048576,2,5.943,66132829104
bitmap,hot,independent,baseline,253577,32704,524288,1048576,3,5.905,66132829104
bitmap,hot,independent,baseline,253577,32704,524288,1048576,4,5.986,66132829104
bitmap,hot,independent,candidate,253577,32704,524288,1048576,0,8.279,66132829104
bitmap,hot,independent,candidate,253577,32704,524288,1048576,1,5.913,66132829104
bitmap,hot,independent,candidate,253577,32704,524288,1048576,2,5.722,66132829104
bitmap,hot,independent,candidate,253577,32704,524288,1048576,3,5.770,66132829104
bitmap,hot,independent,candidate,253577,32704,524288,1048576,4,5.790,66132829104
bitmap,hot,dependent,baseline,253577,32704,524288,1048576,0,18.419,66212902639
bitmap,hot,dependent,baseline,253577,32704,524288,1048576,1,18.310,66212902639
bitmap,hot,dependent,baseline,253577,32704,524288,1048576,2,18.338,66212902639
bitmap,hot,dependent,baseline,253577,32704,524288,1048576,3,18.487,66212902639
bitmap,hot,dependent,baseline,253577,32704,524288,1048576,4,18.481,66212902639
bitmap,hot,dependent,candidate,253577,32704,524288,1048576,0,18.629,66212902639
bitmap,hot,dependent,candidate,253577,32704,524288,1048576,1,18.475,66212902639
bitmap,hot,dependent,candidate,253577,32704,524288,1048576,2,18.478,66212902639
bitmap,hot,dependent,candidate,253577,32704,524288,1048576,3,18.374,66212902639
bitmap,hot,dependent,candidate,253577,32704,524288,1048576,4,18.284,66212902639
