variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,interleaved,4096,0,0,sample,434667.000,35.373,12288,12287,1831843142036873085
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,interleaved,4096,0,0,pipeline,729041.000,59.330,12288,3291,7010700040678070324
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,interleaved,4096,0,1,sample,469125.000,38.177,12288,12287,1831843142036873085
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,interleaved,4096,0,1,pipeline,768000.000,62.500,12288,3291,7010700040678070324
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,interleaved,4096,0,2,sample,456959.000,37.187,12288,12287,1831843142036873085
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,interleaved,4096,0,2,pipeline,845708.000,68.824,12288,3291,7010700040678070324
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,bit,interleaved,4096,0,0,sample,823542.000,67.020,12288,12287,12193008009033903249
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,bit,interleaved,4096,0,0,pipeline,1241375.000,101.023,12288,3291,10764992291889574130
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,bit,interleaved,4096,0,1,sample,814500.000,66.284,12288,12287,12193008009033903249
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,bit,interleaved,4096,0,1,pipeline,1236500.000,100.627,12288,3291,10764992291889574130
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,bit,interleaved,4096,0,2,sample,821875.000,66.884,12288,12287,12193008009033903249
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,bit,interleaved,4096,0,2,pipeline,1255125.000,102.142,12288,3291,10764992291889574130
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,duplicates,4096,0,0,sample,667084.000,35.942,18560,18557,8476562761733985929
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,duplicates,4096,0,0,pipeline,1116834.000,60.174,18560,4188,14205456126107407234
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,duplicates,4096,0,1,sample,651000.000,35.075,18560,18557,8476562761733985929
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,duplicates,4096,0,1,pipeline,1056333.000,56.914,18560,4188,14205456126107407234
baseline,d1cc57368df10ffcade606b14ab40d8e6428e97d,0,byte,duplicates,4096,0,2,sample,650917.000,35.071,18560,18557,8476562761733985929
