variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,sample,441583.000,35.936,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,pipeline,749375.000,60.984,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,sample,439083.000,35.733,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,pipeline,749292.000,60.978,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,sample,445292.000,36.238,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,pipeline,737834.000,60.045,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,sample,804916.000,65.504,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,pipeline,1232667.000,100.315,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,sample,802583.000,65.314,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,pipeline,1221458.000,99.403,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,sample,804833.000,65.497,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,pipeline,1251291.000,101.830,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,sample,749958.000,40.407,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,pipeline,1279334.000,68.930,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,sample,758250.000,40.854,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,pipeline,1213875.000,65.403,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,sample,738833.000,39.808,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,pipeline,1136750.000,61.247,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,sample,1220375.000,65.753,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,pipeline,1751042.000,94.345,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,sample,1157625.000,62.372,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,pipeline,1842125.000,99.252,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,sample,1185875.000,63.894,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,pipeline,1746666.000,94.109,18560,4188,12370292114216348944
candidate,797a7287d318a6de1ab6abbf0c67d89f385c830a,0,byte,interleaved,4096,0,0,sample,581833.000,47.350,12288,12287,1831843142036873085
candidate,797a7287d318a6de1ab6abbf0c67d89f385c830a,0,byte,interleaved,4096,0,0,pipeline,824417.000,67.091,12288,3291,7010700040678070324
candidate,797a7287d318a6de1ab6abbf0c67d89f385c830a,0,byte,interleaved,4096,0,1,sample,582875.000,47.434,12288,12287,1831843142036873085
candidate,797a7287d318a6de1ab6abbf0c67d89f385c830a,0,byte,interleaved,4096,0,1,pipeline,822792.000,66.959,12288,3291,7010700040678070324
