variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,0,0,sample,154541.000,402.451,384,383,15922278102083740499
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,0,0,pipeline,331334.000,862.849,384,108,11095421971054897901
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,0,0,sample,205958.000,536.349,384,383,11048768972753420810
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,0,0,pipeline,371541.000,967.555,384,108,16649822341723243269
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,0,0,sample,230667.000,397.702,580,577,14482469670436191021
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,0,0,pipeline,336792.000,580.676,580,136,2709807740751360978
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,0,0,sample,307166.000,529.597,580,577,17907132657364760490
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,0,0,pipeline,466875.000,804.957,580,136,9614660322479122580
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,0,0,sample,143000.000,372.396,384,383,15922278102083740499
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,0,0,pipeline,290291.000,755.966,384,108,11095421971054897901
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,0,0,sample,199042.000,518.339,384,383,11048768972753420810
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,0,0,pipeline,348750.000,908.203,384,108,16649822341723243269
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,0,0,sample,199375.000,343.750,580,577,14482469670436191021
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,0,0,pipeline,335875.000,579.095,580,136,2709807740751360978
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,0,0,sample,396750.000,684.052,580,577,17907132657364760490
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,0,0,pipeline,486542.000,838.866,580,136,9614660322479122580
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,64,0,sample,149792.000,390.083,384,383,4234465904911808963
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,64,0,pipeline,291458.000,759.005,384,108,17455719877667603606
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,64,0,sample,234916.000,611.760,384,383,11119338796811704630
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,64,0,pipeline,368416.000,959.417,384,108,1471139374493617131
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,64,0,sample,224375.000,386.853,580,577,15226326178257948467
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,64,0,pipeline,427333.000,736.781,580,136,17909886739516232070
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,64,0,sample,298208.000,514.152,580,577,4790072018512443324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,64,0,pipeline,488916.000,842.959,580,136,4471093304519483387
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,64,0,sample,167209.000,435.440,384,383,4234465904911808963
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,64,0,pipeline,331875.000,864.258,384,108,17455719877667603606
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,64,0,sample,218916.000,570.094,384,383,11119338796811704630
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,64,0,pipeline,373000.000,971.354,384,108,1471139374493617131
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,64,0,sample,217375.000,374.784,580,577,15226326178257948467
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,64,0,pipeline,362667.000,625.288,580,136,17909886739516232070
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,64,0,sample,302042.000,520.762,580,577,4790072018512443324
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,64,0,pipeline,510167.000,879.598,580,136,4471093304519483387
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,4096,0,sample,507542.000,1321.724,384,383,2208908070481856083
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,4096,0,pipeline,1176084.000,3062.719,384,108,7547462210942221261
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,4096,0,sample,556625.000,1449.544,384,383,7651993952223702538
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,4096,0,pipeline,1320500.000,3438.802,384,108,5040593856452605773
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,4096,0,sample,746250.000,1286.638,580,577,9014663623165235117
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,4096,0,pipeline,1678500.000,2893.966,580,136,3910518538173478098
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,4096,0,sample,843000.000,1453.448,580,577,7984009069584448042
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,4096,0,pipeline,1735166.000,2991.666,580,136,5387016804053527691
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,4096,0,sample,488875.000,1273.112,384,383,2208908070481856083
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,128,4096,0,pipeline,1167666.000,3040.797,384,108,7547462210942221261
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,4096,0,sample,555250.000,1445.964,384,383,7651993952223702538
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,128,4096,0,pipeline,1399833.000,3645.398,384,108,5040593856452605773
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,4096,0,sample,735083.000,1267.384,580,577,9014663623165235117
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,128,4096,0,pipeline,1633416.000,2816.234,580,136,3910518538173478098
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,4096,0,sample,851292.000,1467.745,580,577,7984009069584448042
candidate,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,128,4096,0,pipeline,1795542.000,3095.762,580,136,5387016804053527691
