operation,case,variant,entries,width,encoded_bytes,high_mod64,operations,trials,median_ns,min_ns,max_ns,checksum
query,sparse_hot,old_groups,4096,8,7424,0,524288,5,41.840,41.504,42.542,547373449216
query,sparse_hot,current_groups,4096,8,7424,0,524288,5,26.214,25.836,28.674,547373449216
query,sparse_hot,old_select15,4096,8,7424,0,524288,5,42.226,41.484,45.296,547373449216
query,sparse_hot,current_select15,4096,8,7424,0,524288,5,26.050,25.845,36.542,547373449216
query,sparse_hot,simd_prototype,4096,8,7424,0,524288,5,27.320,27.123,27.642,547373449216
query,sparse_hot,old_groups,4096,8,7424,8,524288,5,42.360,42.008,42.737,547373449216
query,sparse_hot,current_groups,4096,8,7424,8,524288,5,26.450,26.189,26.699,547373449216
query,sparse_hot,old_select15,4096,8,7424,8,524288,5,42.198,41.619,42.555,547373449216
query,sparse_hot,current_select15,4096,8,7424,8,524288,5,26.185,26.033,27.909,547373449216
query,sparse_hot,simd_prototype,4096,8,7424,8,524288,5,27.852,27.492,28.033,547373449216
build_per_entry,sparse,old_groups,4096,8,7424,0,256,5,1.553,1.507,1.574,10111390178091975007
build_per_entry,sparse,current_groups,4096,8,7424,0,256,5,1.200,1.186,1.275,10111390178091975007
build_per_entry,sparse,old_select15,4096,8,7424,0,256,5,3.553,3.500,3.727,10111390178091975007
build_per_entry,sparse,current_select15,4096,8,7424,0,256,5,1.202,1.184,1.302,10111390178091975007
build_per_entry,sparse,simd_prototype,4096,8,7424,0,256,5,1.207,1.168,1.316,10111390178091975007
validate_per_entry,sparse,old_scalar,4096,8,32768,0,256,5,0.870,0.857,0.989,1
validate_per_entry,sparse,current,4096,8,32768,0,256,5,0.271,0.264,0.281,1
