operation,case,variant,entries,width,encoded_bytes,high_mod64,operations,trials,median_ns,min_ns,max_ns,checksum
query,dense_hot,old_groups,4096,8,5376,0,524288,5,46.357,46.027,47.048,274761047744
query,dense_hot,current_groups,4096,8,5376,0,524288,5,36.932,36.309,37.665,274761047744
query,dense_hot,old_select15,4096,8,5376,0,524288,5,46.939,46.803,47.016,274761047744
query,dense_hot,current_select15,4096,8,5376,0,524288,5,36.908,36.287,37.592,274761047744
query,dense_hot,simd_prototype,4096,8,5376,0,524288,5,61.272,60.580,61.644,274761047744
query,dense_hot,old_groups,4096,8,5376,8,524288,5,46.866,46.394,47.073,274761047744
query,dense_hot,current_groups,4096,8,5376,8,524288,5,37.011,36.050,37.601,274761047744
query,dense_hot,old_select15,4096,8,5376,8,524288,5,48.472,48.033,48.561,274761047744
query,dense_hot,current_select15,4096,8,5376,8,524288,5,37.140,36.279,37.453,274761047744
query,dense_hot,simd_prototype,4096,8,5376,8,524288,5,61.633,60.882,62.331,274761047744
build_per_entry,dense,old_groups,4096,8,5376,0,256,5,2.647,2.633,2.675,11644866786846024584
build_per_entry,dense,current_groups,4096,8,5376,0,256,5,2.665,2.586,3.143,11644866786846024584
build_per_entry,dense,old_select15,4096,8,5376,0,256,5,3.566,3.493,3.666,11644866786846024584
build_per_entry,dense,current_select15,4096,8,5376,0,256,5,2.697,2.644,2.911,11644866786846024584
build_per_entry,dense,simd_prototype,4096,8,5376,0,256,5,2.692,2.600,2.849,11644866786846024584
validate_per_entry,dense,old_scalar,4096,8,32768,0,256,5,0.702,0.697,0.747,1
validate_per_entry,dense,current,4096,8,32768,0,256,5,0.738,0.712,0.790,1
pack_per_entry,dense,old_groups,4096,1,512,0,256,5,1.020,0.999,1.068,765761513729985026
pack_per_entry,dense,current_groups,4096,1,512,0,256,5,1.012,0.990,1.057,765761513729985026
pack_per_entry,dense,simd_prototype,4096,1,512,0,256,5,1.064,1.035,1.097,765761513729985026
pack_per_entry,dense,old_groups,4096,7,3584,0,256,5,0.263,0.254,0.280,299129977340030
pack_per_entry,dense,current_groups,4096,7,3584,0,256,5,0.259,0.251,0.282,299129977340030
pack_per_entry,dense,simd_prototype,4096,7,3584,0,256,5,0.251,0.250,0.265,299129977340030
pack_per_entry,dense,old_groups,4096,8,4096,0,256,5,1.175,1.121,1.284,178124994123008
pack_per_entry,dense,current_groups,4096,8,4096,0,256,5,1.166,1.148,1.208,178124994123008
pack_per_entry,dense,simd_prototype,4096,8,4096,0,256,5,1.142,1.122,1.181,178124994123008
pack_per_entry,dense,old_groups,4096,16,8192,0,256,5,0.830,0.757,0.875,279280191994880
pack_per_entry,dense,current_groups,4096,16,8192,0,256,5,0.793,0.766,0.814,279280191994880
pack_per_entry,dense,simd_prototype,4096,16,8192,0,256,5,0.761,0.757,0.841,279280191994880
pack_per_entry,dense,old_groups,4096,32,16384,0,256,5,0.585,0.572,0.609,4503599628418560
pack_per_entry,dense,current_groups,4096,32,16384,0,256,5,0.596,0.568,0.619,4503599628418560
pack_per_entry,dense,simd_prototype,4096,32,16384,0,256,5,0.583,0.569,0.629,4503599628418560
pack_per_entry,dense,old_groups,4096,63,32256,0,256,5,0.464,0.460,0.530,2097152
pack_per_entry,dense,current_groups,4096,63,32256,0,256,5,0.475,0.459,0.489,2097152
pack_per_entry,dense,simd_prototype,4096,63,32256,0,256,5,0.478,0.465,0.545,2097152
