operation,case,variant,entries,width,encoded_bytes,high_mod64,operations,trials,median_ns,min_ns,max_ns,checksum
query,dense_hot,old_groups,4096,8,5376,0,524288,5,48.498,47.544,48.806,274761047744
query,dense_hot,current_groups,4096,8,5376,0,524288,5,37.337,37.159,37.853,274761047744
query,dense_hot,old_select15,4096,8,5376,0,524288,5,47.430,46.415,47.634,274761047744
query,dense_hot,current_select15,4096,8,5376,0,524288,5,37.282,36.567,38.167,274761047744
query,dense_hot,simd_prototype,4096,8,5376,0,524288,5,64.556,63.233,65.148,274761047744
query,dense_hot,old_groups,4096,8,5376,8,524288,5,47.062,46.585,47.807,274761047744
query,dense_hot,current_groups,4096,8,5376,8,524288,5,36.762,36.605,37.518,274761047744
query,dense_hot,old_select15,4096,8,5376,8,524288,5,47.236,46.928,47.742,274761047744
query,dense_hot,current_select15,4096,8,5376,8,524288,5,37.553,36.775,37.712,274761047744
query,dense_hot,simd_prototype,4096,8,5376,8,524288,5,64.497,64.194,65.053,274761047744
build_per_entry,dense,old_groups,4096,8,5376,0,256,5,2.699,2.614,2.739,11644866786846024584
build_per_entry,dense,current_groups,4096,8,5376,0,256,5,2.914,2.623,2.964,11644866786846024584
build_per_entry,dense,old_select15,4096,8,5376,0,256,5,3.548,3.475,3.768,11644866786846024584
build_per_entry,dense,current_select15,4096,8,5376,0,256,5,2.677,2.589,2.705,11644866786846024584
build_per_entry,dense,simd_prototype,4096,8,5376,0,256,5,2.638,2.590,2.832,11644866786846024584
validate_per_entry,dense,old_scalar,4096,8,32768,0,256,5,0.716,0.697,0.780,1
validate_per_entry,dense,current,4096,8,32768,0,256,5,0.700,0.697,0.793,1
pack_per_entry,dense,old_groups,4096,1,512,0,256,5,1.004,0.999,1.023,765761513729985026
pack_per_entry,dense,current_groups,4096,1,512,0,256,5,1.035,1.003,1.072,765761513729985026
pack_per_entry,dense,simd_prototype,4096,1,512,0,256,5,1.007,0.993,1.020,765761513729985026
pack_per_entry,dense,old_groups,4096,7,3584,0,256,5,0.255,0.251,0.266,299129977340030
pack_per_entry,dense,current_groups,4096,7,3584,0,256,5,0.252,0.251,0.278,299129977340030
pack_per_entry,dense,simd_prototype,4096,7,3584,0,256,5,0.255,0.252,0.262,299129977340030
pack_per_entry,dense,old_groups,4096,8,4096,0,256,5,1.135,1.124,1.243,178124994123008
pack_per_entry,dense,current_groups,4096,8,4096,0,256,5,1.178,1.124,1.216,178124994123008
pack_per_entry,dense,simd_prototype,4096,8,4096,0,256,5,1.133,1.129,1.185,178124994123008
pack_per_entry,dense,old_groups,4096,16,8192,0,256,5,0.783,0.756,0.857,279280191994880
pack_per_entry,dense,current_groups,4096,16,8192,0,256,5,0.771,0.757,0.803,279280191994880
pack_per_entry,dense,simd_prototype,4096,16,8192,0,256,5,0.772,0.757,0.817,279280191994880
pack_per_entry,dense,old_groups,4096,32,16384,0,256,5,0.585,0.574,0.592,4503599628418560
pack_per_entry,dense,current_groups,4096,32,16384,0,256,5,0.590,0.573,0.603,4503599628418560
pack_per_entry,dense,simd_prototype,4096,32,16384,0,256,5,0.591,0.570,0.628,4503599628418560
pack_per_entry,dense,old_groups,4096,63,32256,0,256,5,0.411,0.406,0.438,2097152
pack_per_entry,dense,current_groups,4096,63,32256,0,256,5,0.408,0.405,0.420,2097152
pack_per_entry,dense,simd_prototype,4096,63,32256,0,256,5,0.413,0.405,0.479,2097152
