variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,0,23000.000,3444.550,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,0,23500.000,6177.002,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,3882d3ccf91c5c3f964308b2693369917bae8034,byte,15,4096,0,87,1,4096,0,19416.000,3637.950,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,3882d3ccf91c5c3f964308b2693369917bae8034,bit,15,4096,0,87,1,4096,0,28875.000,6543.905,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,3882d3ccf91c5c3f964308b2693369917bae8034,byte,15,4096,0,87,1,4096,1,17042.000,3425.995,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,3882d3ccf91c5c3f964308b2693369917bae8034,bit,15,4096,0,87,1,4096,1,38083.000,6536.885,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,1,14666.000,3193.878,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,1,26375.000,6170.085,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,2,25875.000,3129.272,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,2,20333.000,6115.316,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
