topology,unit,fixed,base_count,prefix_bytes,value_bytes,random,native_count,raw_key_bytes,raw_value_bytes,catalogs,borrowed_count,native_bytes,borrowed_bytes,ef_bytes,rank_bytes,lcp_bytes,false_borrow_bytes,total_array_bytes
dual,byte,1,4096,0,8,0,10880,87040,87040,5,782,120068,2773,1256,576,6672,102,131447
dual,bit,1,4096,0,8,0,10880,87040,87040,5,782,108696,2327,1512,576,6672,102,119885
dual,byte,0,4096,0,128,0,10880,87040,1392640,5,782,1425668,2773,1256,576,6672,102,1437047
dual,byte,1,4096,0,8,1,10880,87040,87040,5,782,186139,7743,1432,576,6672,102,202664
dual,bit,1,4096,0,8,1,10880,87040,87040,5,782,189686,7838,1696,576,6672,102,206570
dual,byte,0,4096,0,128,1,10880,87040,1392640,5,782,1491739,7743,1432,576,6672,102,1508264
dual,byte,1,4096,64,8,0,10880,783360,87040,5,782,120580,3285,1256,576,6672,102,132471
dual,bit,1,4096,64,8,0,10880,783360,87040,5,782,109938,2890,1512,576,6672,102,121690
dual,byte,0,4096,64,128,0,10880,783360,1392640,5,782,1426180,3285,1256,576,6672,102,1438071
dual,byte,1,4096,64,8,1,10880,783360,87040,5,782,186651,8255,1432,576,6672,102,203688
dual,bit,1,4096,64,8,1,10880,783360,87040,5,782,191300,8436,1712,576,6672,102,208798
dual,byte,0,4096,64,128,1,10880,783360,1392640,5,782,1492251,8255,1432,576,6672,102,1509288
dual,byte,1,65536,0,8,0,174080,1392640,1392640,6,12440,1920384,43482,12832,7584,106160,1560,2092002
dual,bit,1,65536,0,8,0,174080,1392640,1392640,6,12440,1738350,36309,16696,7584,106160,1560,1906659
dual,byte,0,65536,0,128,0,174080,1392640,22282240,6,12440,22809984,43482,12832,7584,106160,1560,22981602
dual,byte,1,65536,0,8,1,174080,1392640,1392640,6,12440,2908613,113676,15344,7584,106160,1560,3152937
dual,bit,1,65536,0,8,1,174080,1392640,1392640,6,12440,2949343,118479,20008,7584,106160,1560,3203134
dual,byte,0,65536,0,128,1,174080,1392640,22282240,6,12440,23798213,113676,15344,7584,106160,1560,24042537
dual,byte,1,65536,64,8,0,174080,12533760,1392640,6,12440,1920896,44058,12856,7584,106160,1560,2093114
dual,bit,1,65536,64,8,0,174080,12533760,1392640,6,12440,1750470,37713,16776,7584,106160,1560,1920263
dual,byte,0,65536,64,128,0,174080,12533760,22282240,6,12440,22810496,44058,12856,7584,106160,1560,22982714
dual,byte,1,65536,64,8,1,174080,12533760,1392640,6,12440,2909125,114252,15344,7584,106160,1560,3154025
dual,bit,1,65536,64,8,1,174080,12533760,1392640,6,12440,2965925,120313,20024,7584,106160,1560,3221566
dual,byte,0,65536,64,128,1,174080,12533760,22282240,6,12440,23798725,114252,15344,7584,106160,1560,24043625
