workload,phase,trial,items,bits,loops,ns_per_item,checksum
counts/eg0-small,warmup,0,262144,2920226,4,8.45781898499,78258120
counts/eg0-small,timed,1,262144,2920226,4,8.74094104767,78258120
counts/eg0-small,timed,2,262144,2920226,4,8.90052318573,78258120
counts/eg0-small,timed,3,262144,2920226,4,8.45658779144,78258120
counts/eg0-small,timed,4,262144,2920226,4,8.67792034149,78258120
counts/eg0-small,timed,5,262144,2920226,4,8.60826206207,78258120
counts/eg0-wide,warmup,0,262144,16040710,4,16.1264743805,15953147329455257824
counts/eg0-wide,timed,1,262144,16040710,4,16.0465240479,15953147329455257824
counts/eg0-wide,timed,2,262144,16040710,4,16.2609815598,15953147329455257824
counts/eg0-wide,timed,3,262144,16040710,4,16.2918567657,15953147329455257824
counts/eg0-wide,timed,4,262144,16040710,4,16.0851478577,15953147329455257824
counts/eg0-wide,timed,5,262144,16040710,4,16.2894334793,15953147329455257824
counts/eg3,warmup,0,262144,3707062,4,12.9639310837,551372824
counts/eg3,timed,1,262144,3707062,4,12.8579139709,551372824
counts/eg3,timed,2,262144,3707062,4,13.0472974777,551372824
counts/eg3,timed,3,262144,3707062,4,12.8788948059,551372824
counts/eg3,timed,4,262144,3707062,4,12.8748025894,551372824
counts/eg3,timed,5,262144,3707062,4,12.8095149994,551372824
counts/g7,warmup,0,262144,3276422,4,15.8936977386,79682904
counts/g7,timed,1,262144,3276422,4,15.4058933258,79682904
counts/g7,timed,2,262144,3276422,4,15.528758049,79682904
counts/g7,timed,3,262144,3276422,4,15.2398347855,79682904
counts/g7,timed,4,262144,3276422,4,15.6400203705,79682904
counts/g7,timed,5,262144,3276422,4,15.6079931259,79682904
prefix-6/frames,warmup,0,32768,1217775,4,64.2096176147,79915592608
prefix-6/frames,timed,1,32768,1217775,4,63.2588119507,79915592608
prefix-6/frames,timed,2,32768,1217775,4,64.208984375,79915592608
prefix-6/frames,timed,3,32768,1217775,4,78.5277709961,79915592608
prefix-6/frames,timed,4,32768,1217775,4,65.9351348877,79915592608
prefix-6/frames,timed,5,32768,1217775,4,65.1512145996,79915592608
prefix-6/cursor,warmup,0,32768,1217775,4,98.7987518311,62677496
prefix-6/cursor,timed,1,32768,1217775,4,101.157821655,62677496
prefix-6/cursor,timed,2,32768,1217775,4,99.6058731079,62677496
prefix-6/cursor,timed,3,32768,1217775,4,98.922416687,62677496
prefix-6/cursor,timed,4,32768,1217775,4,101.188659668,62677496
prefix-6/cursor,timed,5,32768,1217775,4,99.6735839844,62677496
prefix-6/records,warmup,0,32768,1221126,4,128.597572327,80064110448
prefix-6/records,timed,1,32768,1221126,4,131.16709137,80064110448
prefix-6/records,timed,2,32768,1221126,4,127.620697021,80064110448
prefix-6/records,timed,3,32768,1221126,4,127.089179993,80064110448
prefix-6/records,timed,4,32768,1221126,4,127.967834473,80064110448
prefix-6/records,timed,5,32768,1221126,4,128.837905884,80064110448
prefix-6/merge-disjoint,warmup,0,32768,1284592,2,352.365493774,2501318
prefix-6/merge-disjoint,timed,1,32768,1284592,2,349.298477173,2501318
