process,variant,workload,phase,trial,items,bits,loops,ns_per_item,checksum
0,baseline,counts/eg0-small,warmup,0,262144,2920226,4,12.4264955521,78258120
0,baseline,counts/eg0-small,timed,1,262144,2920226,4,10.6813116074,78258120
0,baseline,counts/eg0-small,timed,2,262144,2920226,4,10.483622551,78258120
0,baseline,counts/eg0-small,timed,3,262144,2920226,4,10.3342132568,78258120
0,baseline,counts/eg0-small,timed,4,262144,2920226,4,10.6039447784,78258120
0,baseline,counts/eg0-small,timed,5,262144,2920226,4,10.519862175,78258120
0,baseline,counts/eg0-wide,warmup,0,262144,16040710,4,16.8250007629,15953147329455257824
0,baseline,counts/eg0-wide,timed,1,262144,16040710,4,19.7066860199,15953147329455257824
0,baseline,counts/eg0-wide,timed,2,262144,16040710,4,17.0187950134,15953147329455257824
0,baseline,counts/eg0-wide,timed,3,262144,16040710,4,17.7074279785,15953147329455257824
0,baseline,counts/eg0-wide,timed,4,262144,16040710,4,16.9167518616,15953147329455257824
0,baseline,counts/eg0-wide,timed,5,262144,16040710,4,16.4956245422,15953147329455257824
0,baseline,counts/eg3,warmup,0,262144,3707062,4,15.5607461929,551372824
0,baseline,counts/eg3,timed,1,262144,3707062,4,15.5854225159,551372824
0,baseline,counts/eg3,timed,2,262144,3707062,4,15.838265419,551372824
0,baseline,counts/eg3,timed,3,262144,3707062,4,15.6784057617,551372824
0,baseline,counts/eg3,timed,4,262144,3707062,4,15.649518013,551372824
0,baseline,counts/eg3,timed,5,262144,3707062,4,15.575170517,551372824
0,baseline,counts/g7,warmup,0,262144,3276422,4,14.6017074585,79682904
0,baseline,counts/g7,timed,1,262144,3276422,4,15.0204105377,79682904
0,baseline,counts/g7,timed,2,262144,3276422,4,14.5843820572,79682904
0,baseline,counts/g7,timed,3,262144,3276422,4,14.3875284195,79682904
0,baseline,counts/g7,timed,4,262144,3276422,4,15.0361452103,79682904
0,baseline,counts/g7,timed,5,262144,3276422,4,14.5800905228,79682904
0,baseline,prefix-6/frames,warmup,0,32768,1217775,4,65.9618377686,79915592608
0,baseline,prefix-6/frames,timed,1,32768,1217775,4,65.4544830322,79915592608
0,baseline,prefix-6/frames,timed,2,32768,1217775,4,68.1349411011,79915592608
0,baseline,prefix-6/frames,timed,3,32768,1217775,4,67.6209182739,79915592608
0,baseline,prefix-6/frames,timed,4,32768,1217775,4,67.4343109131,79915592608
0,baseline,prefix-6/frames,timed,5,32768,1217775,4,67.3596038818,79915592608
0,baseline,prefix-6/cursor,warmup,0,32768,1217775,4,104.895904541,62677496
0,baseline,prefix-6/cursor,timed,1,32768,1217775,4,101.713813782,62677496
0,baseline,prefix-6/cursor,timed,2,32768,1217775,4,103.098236084,62677496
0,baseline,prefix-6/cursor,timed,3,32768,1217775,4,100.440979004,62677496
0,baseline,prefix-6/cursor,timed,4,32768,1217775,4,100.989341736,62677496
0,baseline,prefix-6/cursor,timed,5,32768,1217775,4,100.531257629,62677496
0,baseline,prefix-6/records,warmup,0,32768,1221126,4,131.615318298,80064110448
0,baseline,prefix-6/records,timed,1,32768,1221126,4,132.066726685,80064110448
0,baseline,prefix-6/records,timed,2,32768,1221126,4,131.564781189,80064110448
0,baseline,prefix-6/records,timed,3,32768,1221126,4,133.175849915,80064110448
0,baseline,prefix-6/records,timed,4,32768,1221126,4,131.81463623,80064110448
0,baseline,prefix-6/records,timed,5,32768,1221126,4,130.30178833,80064110448
0,baseline,prefix-6/merge-disjoint,warmup,0,32768,1284592,2,346.412658691,2501318
0,baseline,prefix-6/merge-disjoint,timed,1,32768,1284592,2,349.294036865,2501318
0,baseline,prefix-6/merge-disjoint,timed,2,32768,1284592,2,348.341629028,2501318
0,baseline,prefix-6/merge-disjoint,timed,3,32768,1284592,2,357.320785522,2501318
0,baseline,prefix-6/merge-disjoint,timed,4,32768,1284592,2,346.203491211,2501318
0,baseline,prefix-6/merge-disjoint,timed,5,32768,1284592,2,348.210021973,2501318
0,baseline,prefix-6/merge-overlap,warmup,0,32768,1862418,2,394.945785522,2501318
0,baseline,prefix-6/merge-overlap,timed,1,32768,1862418,2,384.215042114,2501318
0,baseline,prefix-6/merge-overlap,timed,2,32768,1862418,2,383.214950562,2501318
0,baseline,prefix-6/merge-overlap,timed,3,32768,1862418,2,386.045455933,2501318
0,baseline,prefix-6/merge-overlap,timed,4,32768,1862418,2,386.554077148,2501318
0,baseline,prefix-6/merge-overlap,timed,5,32768,1862418,2,383.451461792,2501318
0,baseline,prefix-512/frames,warmup,0,32768,63803583,4,81.7406997681,4190486745848
0,baseline,prefix-512/frames,timed,1,32768,63803583,4,78.5957946777,4190486745848
0,baseline,prefix-512/frames,timed,2,32768,63803583,4,78.1377182007,4190486745848
0,baseline,prefix-512/frames,timed,3,32768,63803583,4,79.8978805542,4190486745848
0,baseline,prefix-512/frames,timed,4,32768,63803583,4,81.9625854492,4190486745848
0,baseline,prefix-512/frames,timed,5,32768,63803583,4,80.0857543945,4190486745848
0,baseline,prefix-512/cursor,warmup,0,32768,63803583,4,118.418693542,313020728
0,baseline,prefix-512/cursor,timed,1,32768,63803583,4,118.159927368,313020728
0,baseline,prefix-512/cursor,timed,2,32768,63803583,4,116.300582886,313020728
0,baseline,prefix-512/cursor,timed,3,32768,63803583,4,116.699539185,313020728
0,baseline,prefix-512/cursor,timed,4,32768,63803583,4,115.049362183,313020728
0,baseline,prefix-512/cursor,timed,5,32768,63803583,4,115.048721313,313020728
0,baseline,prefix-512/records,warmup,0,32768,63806934,4,254.6876297,4190418264352
0,baseline,prefix-512/records,timed,1,32768,63806934,4,254.287086487,4190418264352
0,baseline,prefix-512/records,timed,2,32768,63806934,4,256.039299011,4190418264352
0,baseline,prefix-512/records,timed,3,32768,63806934,4,254.979133606,4190418264352
0,baseline,prefix-512/records,timed,4,32768,63806934,4,253.355659485,4190418264352
0,baseline,prefix-512/records,timed,5,32768,63806934,4,252.859115601,4190418264352
0,baseline,prefix-512/merge-disjoint,warmup,0,32768,63870400,2,449.138015747,127673114
0,baseline,prefix-512/merge-disjoint,timed,1,32768,63870400,2,437.409713745,127673114
0,baseline,prefix-512/merge-disjoint,timed,2,32768,63870400,2,428.642272949,127673114
