case,trial,older,newer,output_records,input_a_bytes,input_b_bytes,output_bytes,common_value_bytes,cpu_width_pass,cpu_ms,gpu_complete_ms,gpu_device_ms,parse_ms,order_ms,size_ms,emit_ms,assembly_ms
fixed-4096,-1,4096,4096,6839,82536,82536,137568,17,0,0.62024999999999997,5.9018750000000004,1.2871666694991291,3.0996250000000001,1.3240419999999999,0.54170799999999997,0.49975000000000003,0.38783400000000001
fixed-4096,0,4096,4096,6839,82536,82536,137568,17,0,0.58145899999999995,2.775833,1.2671666336245835,0.72016599999999997,1.0185,0.29762499999999997,0.27262500000000001,0.43350100000000003
fixed-4096,1,4096,4096,6839,82536,82536,137568,17,0,0.60037499999999999,2.9292910000000001,1.270458335056901,0.83687500000000004,1.2647079999999999,0.25662499999999999,0.25808399999999998,0.27662500000000001
fixed-4096,2,4096,4096,6839,82536,82536,137568,17,0,0.53454199999999996,3.5647920000000002,1.5209167613647878,1.4859169999999999,0.982958,0.25224999999999997,0.51716700000000004,0.29199999999999998
fixed-4096,3,4096,4096,6839,82536,82536,137568,17,0,0.56691599999999998,2.9541249999999999,1.2691249139606953,0.84550000000000003,1.3019590000000001,0.25020799999999999,0.24625,0.27620800000000001
fixed-4096,4,4096,4096,6839,82536,82536,137568,17,0,0.53420800000000002,2.4935839999999998,1.2556666042655706,0.59066700000000005,1.0842080000000001,0.24199999999999999,0.244084,0.29487400000000002
variable-4096,-1,4096,4096,6839,976248,977320,1631720,0,0,1.257917,3.292583,1.5118749579414725,0.99412500000000004,1.0686659999999999,0.25812499999999999,0.50524999999999998,0.41325000000000001
variable-4096,0,4096,4096,6839,976248,977320,1631720,0,0,0.96483399999999997,3.5554579999999998,1.6156249330379069,0.95308300000000001,1.2637080000000001,0.28758299999999998,0.49475000000000002,0.47512600000000005
variable-4096,1,4096,4096,6839,976248,977320,1631720,0,0,1.008542,2.903292,1.4612916274927557,0.715333,1.0215000000000001,0.25554199999999999,0.46529199999999998,0.40400000000000003
variable-4096,2,4096,4096,6839,976248,977320,1631720,0,0,1.2083330000000001,3.451959,1.5274166944436729,0.94512499999999999,1.0031669999999999,0.28720899999999999,0.79849999999999999,0.38345899999999999
variable-4096,3,4096,4096,6839,976248,977320,1631720,0,0,1.0991249999999999,2.9493749999999999,1.4580833376385272,0.700542,1.0247919999999999,0.26841599999999999,0.487292,0.42354200000000003
variable-4096,4,4096,4096,6839,976248,977320,1631720,0,0,1.0981669999999999,2.7698330000000002,1.471708295866847,0.66874999999999996,0.981958,0.24979199999999999,0.45566699999999999,0.376917
fixed-32768,-1,32768,32768,54712,658304,658304,1098640,17,0,3.4071660000000001,4.9032920000000004,1.6325833275914192,1.8757079999999999,1.3412919999999999,0.30854199999999998,0.82845800000000003,0.49154199999999998
fixed-32768,0,32768,32768,54712,658304,658304,1098640,17,0,3.1458750000000002,3.4321670000000002,1.7157499678432941,0.96750000000000003,1.334625,0.315,0.39858399999999999,0.37995800000000002
fixed-32768,1,32768,32768,54712,658304,658304,1098640,17,0,3.1516250000000001,3.358625,1.6228750464506447,0.98158299999999998,1.2727919999999999,0.315583,0.38300000000000001,0.36695900000000004
fixed-32768,2,32768,32768,54712,658304,658304,1098640,17,0,3.2364999999999999,3.4442910000000002,1.6130416770465672,0.763625,1.5089170000000001,0.31737500000000002,0.39141700000000001,0.42320800000000003
fixed-32768,3,32768,32768,54712,658304,658304,1098640,17,0,3.0797080000000001,3.150709,1.607833371963352,0.76624999999999999,1.270667,0.30299999999999999,0.38479200000000002,0.38475000000000004
fixed-32768,4,32768,32768,54712,658304,658304,1098640,17,0,3.0099580000000001,3.2999580000000002,1.6171666793525219,0.746834,1.3250420000000001,0.32224999999999998,0.46795799999999999,0.39916600000000002
variable-32768,-1,32768,32768,54712,7815552,7816512,13050112,0,0,8.7595829999999992,8.5459589999999999,2.9910000739619136,3.132959,1.2956669999999999,0.45616600000000002,2.084959,1.489792
variable-32768,0,32768,32768,54712,7815552,7816512,13050112,0,0,6.999708,7.2397919999999996,3.0997917056083679,1.2114579999999999,2.0270000000000001,0.390625,2.1823329999999999,1.3010410000000001
variable-32768,1,32768,32768,54712,7815552,7816512,13050112,0,0,7.416042,6.3655419999999996,3.1836666748858988,1.1121669999999999,1.428291,0.363458,2.0660419999999999,1.3065419999999999
variable-32768,2,32768,32768,54712,7815552,7816512,13050112,0,0,7.2006670000000002,6.4582499999999996,3.0253749573603272,1.1842919999999999,1.2784580000000001,0.51212500000000005,2.0896249999999998,1.3049580000000001
variable-32768,3,32768,32768,54712,7815552,7816512,13050112,0,0,7.2742909999999998,6.5832920000000001,3.0040833516977727,1.194291,1.4215,0.41462500000000002,2.1867079999999999,1.286375
variable-32768,4,32768,32768,54712,7815552,7816512,13050112,0,0,7.4411250000000004,7.0369169999999999,2.9870417201891541,1.6375409999999999,1.3294170000000001,0.37716699999999997,2.1752500000000001,1.3902079999999999
fixed-131072,-1,131072,131072,218881,2632416,2632416,4394392,17,0,12.284458000000001,6.8961249999999996,2.6651666266843677,1.8157920000000001,2.1745410000000001,0.67958300000000005,1.0239590000000001,1.136625
fixed-131072,0,131072,131072,218881,2632416,2632416,4394392,17,0,11.896083000000001,5.9338749999999996,2.6180416462011635,1.349375,1.889,0.72224999999999995,0.969167,0.95329099999999989
fixed-131072,1,131072,131072,218881,2632416,2632416,4394392,17,0,12.699332999999999,6.016,2.8333333902992308,1.7464999999999999,1.924083,0.56987500000000002,1.0180830000000001,0.69495799999999996
