case,mode,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,merge_ms,output_ms,sequence,process,revision
0,raw-bit,structured,4096,4096,0,-1,72688,72688,142528,8192,131072,1.081458,0.725416,0.353,0,0,baseline
0,raw-bit,structured,4096,4096,0,0,72688,72688,142528,8192,131072,1.019625,0.740292,0.272916,0,0,baseline
0,raw-bit,structured,4096,4096,0,1,72688,72688,142528,8192,131072,1.077,0.730083,0.341334,0,0,baseline
0,raw-bit,structured,4096,4096,0,2,72688,72688,142528,8192,131072,1.121042,0.740333,0.377542,0,0,baseline
0,raw-bit,structured,4096,4096,0,-1,72688,72688,142528,8192,131072,1.117084,0.770584,0.344708,1,0,candidate
0,raw-bit,structured,4096,4096,0,0,72688,72688,142528,8192,131072,1.073834,0.77325,0.291333,1,0,candidate
0,raw-bit,structured,4096,4096,0,1,72688,72688,142528,8192,131072,0.967875,0.702709,0.263875,1,0,candidate
0,raw-bit,structured,4096,4096,0,2,72688,72688,142528,8192,131072,1.009083,0.711625,0.295958,1,0,candidate
0,raw-byte,structured,4096,4096,0,-1,78872,78872,156960,8192,131072,0.739375,0.390916,0.345875,2,0,candidate
0,raw-byte,structured,4096,4096,0,0,78872,78872,156960,8192,131072,0.669709,0.386584,0.278959,2,0,candidate
0,raw-byte,structured,4096,4096,0,1,78872,78872,156960,8192,131072,0.604542,0.371459,0.230458,2,0,candidate
0,raw-byte,structured,4096,4096,0,2,78872,78872,156960,8192,131072,0.634416,0.382959,0.249084,2,0,candidate
0,raw-byte,structured,4096,4096,0,-1,78872,78872,156960,8192,131072,0.780708,0.417958,0.360667,3,0,baseline
0,raw-byte,structured,4096,4096,0,0,78872,78872,156960,8192,131072,0.71225,0.422834,0.286375,3,0,baseline
0,raw-byte,structured,4096,4096,0,1,78872,78872,156960,8192,131072,0.661,0.402084,0.257917,3,0,baseline
0,raw-byte,structured,4096,4096,0,2,78872,78872,156960,8192,131072,0.637167,0.401875,0.234458,3,0,baseline
0,typed-bit,structured,4096,4096,0,-1,77928,77928,152888,8192,131072,2.6885,2.003792,0.680125,4,0,baseline
0,typed-bit,structured,4096,4096,0,0,77928,77928,152888,8192,131072,2.322375,1.708375,0.607667,4,0,baseline
0,typed-bit,structured,4096,4096,0,1,77928,77928,152888,8192,131072,2.048875,1.733041,0.313917,4,0,baseline
0,typed-bit,structured,4096,4096,0,2,77928,77928,152888,8192,131072,2.140375,1.706,0.431458,4,0,baseline
0,typed-bit,structured,4096,4096,0,-1,77928,77928,152888,8192,131072,2.169208,1.707167,0.459833,5,0,candidate
0,typed-bit,structured,4096,4096,0,0,77928,77928,152888,8192,131072,2.008334,1.658416,0.343167,5,0,candidate
0,typed-bit,structured,4096,4096,0,1,77928,77928,152888,8192,131072,2.019083,1.7165,0.299375,5,0,candidate
0,typed-bit,structured,4096,4096,0,2,77928,77928,152888,8192,131072,2.273416,1.712083,0.557333,5,0,candidate
0,typed-byte,structured,4096,4096,0,-1,87160,87160,173544,8192,131072,0.754583,0.408041,0.345125,6,0,candidate
0,typed-byte,structured,4096,4096,0,0,87160,87160,173544,8192,131072,0.707709,0.400917,0.299083,6,0,candidate
0,typed-byte,structured,4096,4096,0,1,87160,87160,173544,8192,131072,0.650417,0.414125,0.234958,6,0,candidate
0,typed-byte,structured,4096,4096,0,2,87160,87160,173544,8192,131072,0.755042,0.415667,0.33775,6,0,candidate
0,typed-byte,structured,4096,4096,0,-1,99984,99856,198656,8192,131072,0.86425,0.49675,0.366208,7,0,baseline
0,typed-byte,structured,4096,4096,0,0,99984,99856,198656,8192,131072,0.798583,0.473667,0.317209,7,0,baseline
0,typed-byte,structured,4096,4096,0,1,99984,99856,198656,8192,131072,0.872917,0.467375,0.404,7,0,baseline
0,typed-byte,structured,4096,4096,0,2,99984,99856,198656,8192,131072,0.722917,0.473292,0.248541,7,0,baseline
1,raw-byte,structured,65536,65536,0,-1,1258112,1258112,2507608,131072,2097152,7.56825,6.666,0.897208,8,0,baseline
1,raw-byte,structured,65536,65536,0,0,1258112,1258112,2507608,131072,2097152,7.314333,6.478167,0.817666,8,0,baseline
1,raw-byte,structured,65536,65536,0,1,1258112,1258112,2507608,131072,2097152,7.529292,6.644625,0.881708,8,0,baseline
1,raw-byte,structured,65536,65536,0,2,1258112,1258112,2507608,131072,2097152,7.149625,6.510333,0.636833,8,0,baseline
1,raw-byte,structured,65536,65536,0,-1,1258112,1258112,2507608,131072,2097152,6.784583,5.963666,0.816459,9,0,candidate
1,raw-byte,structured,65536,65536,0,0,1258112,1258112,2507608,131072,2097152,6.555125,5.743708,0.804042,9,0,candidate
1,raw-byte,structured,65536,65536,0,1,1258112,1258112,2507608,131072,2097152,6.587167,5.8925,0.692083,9,0,candidate
1,raw-byte,structured,65536,65536,0,2,1258112,1258112,2507608,131072,2097152,6.56225,5.743667,0.8145,9,0,candidate
1,typed-bit,structured,65536,65536,0,-1,1241632,1241632,2441152,131072,2097152,29.87975,28.777083,1.095917,10,0,candidate
1,typed-bit,structured,65536,65536,0,0,1241632,1241632,2441152,131072,2097152,29.650375,28.494542,1.146166,10,0,candidate
1,typed-bit,structured,65536,65536,0,1,1241632,1241632,2441152,131072,2097152,29.377708,28.603792,0.768125,10,0,candidate
1,typed-bit,structured,65536,65536,0,2,1241632,1241632,2441152,131072,2097152,29.874584,29.024083,0.845959,10,0,candidate
1,typed-bit,structured,65536,65536,0,-1,1241632,1241632,2441152,131072,2097152,30.133375,28.994584,1.132416,11,0,baseline
1,typed-bit,structured,65536,65536,0,0,1241632,1241632,2441152,131072,2097152,29.399209,28.711333,0.665208,11,0,baseline
1,typed-bit,structured,65536,65536,0,1,1241632,1241632,2441152,131072,2097152,29.250375,28.472208,0.773167,11,0,baseline
1,typed-bit,structured,65536,65536,0,2,1241632,1241632,2441152,131072,2097152,29.086875,28.373,0.710333,11,0,baseline
1,typed-byte,structured,65536,65536,0,-1,1595704,1593656,3174520,131072,2097152,8.309709,7.435708,0.870708,12,0,baseline
1,typed-byte,structured,65536,65536,0,0,1595704,1593656,3174520,131072,2097152,8.360375,7.493167,0.855916,12,0,baseline
1,typed-byte,structured,65536,65536,0,1,1595704,1593656,3174520,131072,2097152,8.332542,7.488709,0.840583,12,0,baseline
1,typed-byte,structured,65536,65536,0,2,1595704,1593656,3174520,131072,2097152,8.424667,7.566291,0.8565,12,0,baseline
1,typed-byte,structured,65536,65536,0,-1,1390696,1390696,2772816,131072,2097152,7.025209,6.254458,0.766958,13,0,candidate
1,typed-byte,structured,65536,65536,0,0,1390696,1390696,2772816,131072,2097152,7.15775,6.355917,0.786625,13,0,candidate
1,typed-byte,structured,65536,65536,0,1,1390696,1390696,2772816,131072,2097152,7.246167,6.423167,0.820292,13,0,candidate
1,typed-byte,structured,65536,65536,0,2,1390696,1390696,2772816,131072,2097152,6.899125,6.10375,0.789167,13,0,candidate
1,raw-bit,structured,65536,65536,0,-1,1159072,1159072,2276680,131072,2097152,12.33075,11.6785,0.649083,14,0,candidate
1,raw-bit,structured,65536,65536,0,0,1159072,1159072,2276680,131072,2097152,12.337917,11.600834,0.730083,14,0,candidate
1,raw-bit,structured,65536,65536,0,1,1159072,1159072,2276680,131072,2097152,12.234,11.499917,0.729958,14,0,candidate
1,raw-bit,structured,65536,65536,0,2,1159072,1159072,2276680,131072,2097152,12.289333,11.643958,0.642125,14,0,candidate
1,raw-bit,structured,65536,65536,0,-1,1159072,1159072,2276680,131072,2097152,12.360625,11.527166,0.830458,15,0,baseline
1,raw-bit,structured,65536,65536,0,0,1159072,1159072,2276680,131072,2097152,12.495458,11.746125,0.73425,15,0,baseline
1,raw-bit,structured,65536,65536,0,1,1159072,1159072,2276680,131072,2097152,11.844791,11.078208,0.759417,15,0,baseline
1,raw-bit,structured,65536,65536,0,2,1159072,1159072,2276680,131072,2097152,11.8425,11.181916,0.657209,15,0,baseline
2,typed-bit,structured,262144,262144,0,-1,4965464,4965464,9763608,524288,8388608,119.141083,116.803709,2.331041,16,0,baseline
