case,distribution,value_shape,records,mode,revision,logical_key_bytes,logical_value_bytes,total_bytes,total_bits,fc_logical_bits,fc_storage_bytes,ef_bytes,other_bytes
0,structured,FF16,8192,raw-bit,candidate,131072,131072,142528,1140224,1132965,141621,680,227
0,structured,FF16,8192,raw-byte,candidate,131072,131072,156960,1255680,1249400,156175,560,225
0,structured,FF16,8192,typed-bit,candidate,131072,131072,152888,1223104,1215161,151896,680,312
0,structured,FF16,8192,typed-byte,baseline,131072,131072,198656,1589248,1581280,197660,768,228
0,structured,FF16,8192,typed-byte,candidate,131072,131072,173544,1388352,1380472,172559,760,225
1,structured,FF16,131072,raw-bit,candidate,2097152,2097152,2276680,18213440,18126623,2265828,10624,228
1,structured,FF16,131072,raw-byte,candidate,2097152,2097152,2507608,20060864,19989560,2498695,8688,225
1,structured,FF16,131072,typed-bit,candidate,2097152,2097152,2441152,19529216,19441717,2430215,10624,313
1,structured,FF16,131072,typed-byte,baseline,2097152,2097152,3174520,25396160,25298800,3162350,11944,226
1,structured,FF16,131072,typed-byte,candidate,2097152,2097152,2772816,22182528,22086712,2760839,11752,225
2,structured,FF16,524288,raw-bit,candidate,8388608,8388608,9105952,72847616,72506359,9063295,42432,225
2,structured,FF16,524288,raw-byte,candidate,8388608,8388608,10029680,80237440,79958104,9994763,34688,229
2,structured,FF16,524288,typed-bit,candidate,8388608,8388608,9763608,78108864,77766721,9720841,42448,319
2,structured,FF16,524288,typed-byte,baseline,8388608,8388608,12697296,101578368,101194928,12649366,47704,226
2,structured,FF16,524288,typed-byte,candidate,8388608,8388608,11090488,88723904,88346712,11043339,46920,229
3,structured,FV0..512,8192,raw-bit,candidate,131072,2096697,2130192,17041536,17030021,2128753,1208,231
3,structured,FV0..512,8192,raw-byte,candidate,131072,2096697,2137376,17099008,17089112,2136139,1008,229
3,structured,FV0..512,8192,typed-bit,candidate,131072,2096697,2125240,17001920,16989721,2123716,1208,316
3,structured,FV0..512,8192,typed-byte,baseline,131072,2096697,2174584,17396672,17386744,2173343,1016,225
3,structured,FV0..512,8192,typed-byte,candidate,131072,2096697,2145584,17164672,17154776,2144347,1008,229
4,structured,FV0..512,131072,raw-bit,candidate,2097152,33554202,34086264,272690112,272536041,34067006,19032,226
4,structured,FV0..512,131072,raw-byte,candidate,2097152,33554202,34201176,273609408,273481472,34185184,15768,224
4,structured,FV0..512,131072,typed-bit,candidate,2097152,33554202,34005736,272045888,271891193,33986400,19024,312
4,structured,FV0..512,131072,typed-byte,baseline,2097152,33554202,34796392,278371136,278242936,34780367,15800,225
4,structured,FV0..512,131072,typed-byte,candidate,2097152,33554202,34332512,274660096,274532096,34316512,15776,224
5,structured,FV0..512,262144,raw-bit,candidate,4194304,67107712,68171576,545372608,545066468,68133309,38040,227
5,structured,FV0..512,262144,raw-byte,candidate,4194304,67107712,68401400,547211200,546957360,68369670,31504,226
5,structured,FV0..512,262144,typed-bit,candidate,4194304,67107712,68010440,544083520,543776762,67972096,38032,312
5,structured,FV0..512,262144,typed-byte,baseline,4194304,67107712,69591824,556734592,556480176,69560022,31576,226
5,structured,FV0..512,262144,typed-byte,candidate,4194304,67107712,68664072,549312576,549058592,68632324,31520,228
6,hash-like,FF16,8192,raw-bit,candidate,131072,131072,277376,2219008,2209550,276194,952,230
6,hash-like,FF16,8192,raw-byte,candidate,131072,131072,271048,2168384,2160688,270086,736,226
6,hash-like,FF16,8192,typed-bit,candidate,131072,131072,287712,2301696,2291574,286447,952,313
6,hash-like,FF16,8192,typed-byte,baseline,131072,131072,312592,2500736,2492304,311538,824,230
6,hash-like,FF16,8192,typed-byte,candidate,131072,131072,287512,2300096,2291760,286470,816,226
7,hash-like,FF16,131072,raw-bit,candidate,2097152,2097152,4370152,34961216,34841134,4355142,14784,226
