case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms
check-0-0-0,ff,1,0,0,0,0,0,256,0,0.000291,0.090042,0.000500004,0.003708,0.607583,0.5,1,0.000291,0.000291,0.090042,0.090042
check-0-33-0,ff,1,0,33,0,33,528,1312,0,0.000709,1.06817,0.0543749,0.003208,0.379292,0.25575,1,0.000709,0.000709,1.06817,1.06817
check-33-0-0,ff,1,33,0,0,33,528,1312,0,0.000709,1.07117,0.0593333,0.002083,0.493375,0.240167,1,0.000709,0.000709,1.07117,1.07117
check-31-0-100,ff,1,31,0,31,0,0,256,0,0.000209,0.386834,0.029,0.001375,0.397292,0.413375,1,0.000209,0.000209,0.386834,0.386834
check-257-263-0,ff,1,257,263,0,520,8320,16896,0,0.004625,1.12633,0.11975,0.009084,0.460666,0.254333,1,0.004625,0.004625,1.12633,1.12633
check-513-257-50,ff,1,513,257,256,514,8224,16704,0,0.004541,0.835958,0.155958,0.0135,0.46725,0.211792,1,0.004541,0.004541,0.835958,0.835958
check-513-19-90,ff,1,513,19,461,71,1136,2528,0,0.001583,0.498375,0.125375,0.008458,0.356458,0.245333,1,0.001583,0.001583,0.498375,0.498375
check-31-1009-50,ff,1,31,1009,15,1025,16400,33056,0,0.006875,0.839792,0.138708,0.013584,0.415041,0.231167,1,0.006875,0.006875,0.839792,0.839792
scattered-half,ff,1,4099,2057,2049,4107,65712,131680,0,0.034791,0.9615,0.246625,0.061875,0.438834,0.223375,1,0.034791,0.034791,0.9615,0.9615
scattered-heavy,ff,1,4099,127,3689,537,8592,17440,0,0.013,1.24621,0.170625,0.036792,0.465792,0.228208,1,0.013,0.013,1.24621,1.24621
check-0-0-0,fv,4,0,0,0,0,0,280,0,0.001667,0.721292,0.0427917,0.007,0.376083,0.317125,1,0.001667,0.001667,0.721292,0.721292
check-0-33-0,fv,4,0,33,0,33,8502,9352,0,0.003833,0.587459,0.158417,0.003708,0.544458,0.327416,1,0.003833,0.003833,0.587459,0.587459
