case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
check-0-0-0,ff,1,0,0,0,0,0,256,0,0.000208,0.111041,0.000166707,0.002208,0.548333,0.65925,1,0.000208,0.000208,0.111041,0.111041,0.000167,0.000167,0.000167
check-0-33-0,ff,1,0,33,0,33,528,1312,0,0.000666,0.6675,0.194083,0.005166,0.576833,0.497417,1,0.000666,0.000666,0.6675,0.6675,0.000417,0.000417,0.000417
check-33-0-0,ff,1,33,0,0,33,528,1312,0,0.000667,1.07446,0.0595,0.003583,0.6625,0.386208,1,0.000667,0.000667,1.07446,1.07446,0.000333,0.000333,0.000333
check-31-0-100,ff,1,31,0,31,0,0,256,0,0.000167,0.297625,0.0283333,0.001583,0.531417,0.611875,1,0.000167,0.000167,0.297625,0.297625,0.000208,0.000208,0.000208
check-257-263-0,ff,1,257,263,0,520,8320,16896,0,0.004959,1.15475,0.119208,0.009792,0.711416,0.366458,1,0.004959,0.004959,1.15475,1.15475,0.004291,0.004291,0.004291
check-513-257-50,ff,1,513,257,256,514,8224,16704,0,0.004792,2.06642,1.61288,0.011458,0.383333,0.403583,1,0.004792,0.004792,2.06642,2.06642,0.00425,0.00425,0.00425
check-513-19-90,ff,1,513,19,461,71,1136,2528,0,0.001667,1.16112,0.1325,0.006833,0.442666,0.324708,1,0.001667,0.001667,1.16112,1.16112,0.001,0.001,0.001
check-31-1009-50,ff,1,31,1009,15,1025,16400,33056,0,0.00725,0.83175,0.137458,0.010625,0.397542,0.3465,1,0.00725,0.00725,0.83175,0.83175,0.0065,0.0065,0.0065
scattered-half,ff,1,4099,2057,2049,4107,65712,131680,0,0.034667,0.965708,0.24875,0.077166,0.56425,0.372,1,0.034667,0.034667,0.965708,0.965708,0.0335,0.0335,0.0335
scattered-heavy,ff,1,4099,127,3689,537,8592,17440,0,0.013875,3.64363,2.29004,0.037042,0.446125,0.441041,1,0.013875,0.013875,3.64363,3.64363,0.006709,0.006709,0.006709
