case,layout,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,internal_ms,device_ms,checksum_ms,process,mode,sequence
0,ff,structured,4096,4096,0,-1,131328,131328,262400,8192,131072,3.517583,3.239625,0.24595833383500576,0.014792,0,fixed,0
0,ff,structured,4096,4096,0,0,131328,131328,262400,8192,131072,1.054416,0.901625,0.10299996938556433,0.014291,0,fixed,0
0,ff,structured,4096,4096,0,1,131328,131328,262400,8192,131072,1.161791,1.0185,0.1271250075660646,0.013667,0,fixed,0
0,ff,structured,4096,4096,0,2,131328,131328,262400,8192,131072,1.407042,1.216709,0.12295832857489586,0.013875,0,fixed,0
0,kv-fixed16,structured,4096,4096,0,-1,77928,77928,152888,8192,131072,8.689083,8.641583,1.6084166709333658,-1.0,0,kv,1
0,kv-fixed16,structured,4096,4096,0,0,77928,77928,152888,8192,131072,3.615292,3.575375,1.7442916287109256,-1.0,0,kv,1
0,kv-fixed16,structured,4096,4096,0,1,77928,77928,152888,8192,131072,6.887458,6.848083,2.421374956611544,-1.0,0,kv,1
0,kv-fixed16,structured,4096,4096,0,2,77928,77928,152888,8192,131072,6.971458,6.929333,2.011583303101361,-1.0,0,kv,1
1,kv-fixed16,structured,65536,65536,0,-1,1241632,1241632,2441152,131072,2097152,11.396583,11.341875,2.779041649773717,-1.0,0,kv,2
1,kv-fixed16,structured,65536,65536,0,0,1241632,1241632,2441152,131072,2097152,6.244292,6.181583,3.2686666236259043,-1.0,0,kv,2
1,kv-fixed16,structured,65536,65536,0,1,1241632,1241632,2441152,131072,2097152,4.429875,4.382834,1.974875049199909,-1.0,0,kv,2
1,kv-fixed16,structured,65536,65536,0,2,1241632,1241632,2441152,131072,2097152,4.044625,3.966667,1.9024582579731941,-1.0,0,kv,2
1,ff,structured,65536,65536,0,-1,2097408,2097408,4194560,131072,2097152,2.720417,2.246125,0.18533330876380205,0.248667,0,fixed,3
1,ff,structured,65536,65536,0,0,2097408,2097408,4194560,131072,2097152,2.446,1.930417,0.23150001652538776,0.217334,0,fixed,3
1,ff,structured,65536,65536,0,1,2097408,2097408,4194560,131072,2097152,1.59575,1.168917,0.187541707418859,0.216625,0,fixed,3
1,ff,structured,65536,65536,0,2,2097408,2097408,4194560,131072,2097152,2.780625,2.349542,0.2328749978914857,0.22425,0,fixed,3
2,ff,structured,262144,262144,0,-1,8388864,8388864,16777472,524288,8388608,4.851875,3.534291,0.5670416285283864,0.978667,0,fixed,4
2,ff,structured,262144,262144,0,0,8388864,8388864,16777472,524288,8388608,3.244208,1.853583,0.8959999540820718,0.96575,0,fixed,4
2,ff,structured,262144,262144,0,1,8388864,8388864,16777472,524288,8388608,4.768583,3.374,0.549458374734968,0.90325,0,fixed,4
2,ff,structured,262144,262144,0,2,8388864,8388864,16777472,524288,8388608,4.476042,2.944583,0.5938750109635293,1.011292,0,fixed,4
2,kv-fixed16,structured,262144,262144,0,-1,4965464,4965464,9763608,524288,8388608,29.125,29.027875,16.36395836248994,-1.0,0,kv,5
2,kv-fixed16,structured,262144,262144,0,0,4965464,4965464,9763608,524288,8388608,19.072042,18.988083,13.383708253968507,-1.0,0,kv,5
2,kv-fixed16,structured,262144,262144,0,1,4965464,4965464,9763608,524288,8388608,15.463,15.375292,11.63145835744217,-1.0,0,kv,5
2,kv-fixed16,structured,262144,262144,0,2,4965464,4965464,9763608,524288,8388608,12.287708,12.214542,8.54741659713909,-1.0,0,kv,5
3,kv-variable,structured,4096,4096,0,-1,1063912,1064280,2125240,8192,2096697,10.746209,10.679875,2.9022915987297893,-1.0,0,kv,6
3,kv-variable,structured,4096,4096,0,0,1063912,1064280,2125240,8192,2096697,8.851791,8.793458,2.5702500133775175,-1.0,0,kv,6
3,kv-variable,structured,4096,4096,0,1,1063912,1064280,2125240,8192,2096697,6.448916,6.402209,1.364583324175328,-1.0,0,kv,6
3,kv-variable,structured,4096,4096,0,2,1063912,1064280,2125240,8192,2096697,3.620209,3.581625,1.3039582991041243,-1.0,0,kv,6
3,fv,structured,4096,4096,0,-1,1119360,1119728,2238808,8192,2096697,3.411334,3.057125,0.5742500070482492,0.168333,0,fixed,7
3,fv,structured,4096,4096,0,0,1119360,1119728,2238808,8192,2096697,2.02825,1.622875,0.6138333119452,0.119459,0,fixed,7
3,fv,structured,4096,4096,0,1,1119360,1119728,2238808,8192,2096697,1.740125,1.202042,0.5032499902881682,0.1185,0,fixed,7
3,fv,structured,4096,4096,0,2,1119360,1119728,2238808,8192,2096697,3.730042,3.338834,0.5099583067931235,0.124417,0,fixed,7
4,fv,structured,65536,65536,0,-1,17911656,17912304,35823672,131072,33554202,9.102416,5.909458,1.6803749604150653,2.73975,0,fixed,8
4,fv,structured,65536,65536,0,0,17911656,17912304,35823672,131072,33554202,7.265625,4.331958,1.8115416751243174,2.289167,0,fixed,8
4,fv,structured,65536,65536,0,1,17911656,17912304,35823672,131072,33554202,6.934208,3.830458,2.003624977078289,2.461292,0,fixed,8
4,fv,structured,65536,65536,0,2,17911656,17912304,35823672,131072,33554202,7.438208,4.054958,1.641125010792166,2.668666,0,fixed,8
4,kv-variable,structured,65536,65536,0,-1,17023440,17024088,34005736,131072,33554202,22.620292,22.4755,6.446791579946876,-1.0,0,kv,9
4,kv-variable,structured,65536,65536,0,0,17023440,17024088,34005736,131072,33554202,12.495834,12.361834,6.41079165507108,-1.0,0,kv,9
4,kv-variable,structured,65536,65536,0,1,17023440,17024088,34005736,131072,33554202,12.504708,12.383875,6.352416705340147,-1.0,0,kv,9
