device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,n,prefix,duplicates,ratio,trial,cpu_merge_ms,cpu_all_ms,gpu_all_ms,decode_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,gpu_command_ms,survivors,bits,bytes
merge,4096,32,50,1,0,1.60671,1.88512,5.89738,2.32333,0.034917,1.89183,0.590125,0.300667,0.755834,2.45696,6142,753584,95208
merge,16384,32,50,1,0,6.55329,6.92179,5.38304,1.72221,0.053125,2.50808,0.426334,0.273917,0.399208,1.62413,24568,3014314,379848
merge,16384,32,50,1,1,6.55283,6.94967,4.00533,1.35621,0.02975,1.64921,0.2495,0.322708,0.397375,1.41421,24568,3014314,379848
merge,16384,32,50,1,2,6.92025,7.37267,2.98062,0.708167,0.041292,1.20267,0.354208,0.293417,0.380458,1.17846,24568,3014314,379848
merge,65536,32,50,1,0,27.5808,28.374,6.18442,2.46792,0.055,1.30704,0.850917,0.421875,1.08133,1.94175,98286,12058641,1518560
merge,65536,32,50,1,1,27.1864,27.9427,5.13333,2.32313,0.045292,1.321,0.435333,0.43775,0.570625,1.87117,98286,12058641,1518560
merge,65536,32,50,1,2,27.044,27.8184,8.51846,4.43387,0.045584,2.81913,0.380417,0.387667,0.451458,5.69371,98286,12058641,1518560
merge,262144,32,50,1,0,110.885,113.229,12.569,6.05308,0.046625,2.84783,1.99271,0.833375,0.795083,7.75037,393194,48241520,6074088
merge,262144,32,50,1,1,107.579,109.519,8.94854,2.04621,0.064417,4.34371,0.566583,1.13312,0.794166,5.18138,393194,48241520,6074088
merge,262144,32,50,1,2,107.89,109.82,10.8802,4.56388,0.058917,4.03242,0.568792,0.903,0.752791,6.82488,393194,48241520,6074088
merge,65536,0,50,1,0,27.0551,27.9523,6.45458,2.37071,0.042542,1.73325,0.663167,0.770042,0.874584,2.97404,98286,12022999,1514096
merge,65536,0,50,1,1,27.5288,30.0532,6.26367,3.54079,0.041875,1.39463,0.356958,0.377667,0.551375,3.30979,98286,12022999,1514096
merge,65536,0,50,1,2,26.8822,27.5783,5.39254,2.36579,0.046875,1.09629,0.685084,0.737334,0.461041,1.87512,98286,12022999,1514096
merge,65536,256,50,1,0,27.3579,31.8433,10.3677,1.30075,0.040583,5.91279,0.362166,0.797958,1.95317,5.42708,98286,12099751,1523704
merge,65536,256,50,1,1,27.3147,28.0031,10.0188,1.25371,0.044167,7.43221,0.349291,0.423459,0.515667,7.25925,98286,12099751,1523704
merge,65536,256,50,1,2,27.6275,28.3813,16.2811,4.39037,0.053833,10.626,0.362375,0.379167,0.469,14.0578,98286,12099751,1523704
merge,65536,32,0,16,0,15.9818,16.6303,5.09925,1.87617,0.041334,2.05313,0.317292,0.3495,0.461709,2.55708,69632,8679416,1092992
merge,65536,32,0,16,1,15.9543,16.5715,4.36487,1.03129,0.041792,2.19308,0.320667,0.39175,0.386082,1.69654,69632,8679416,1092992
merge,65536,32,0,16,2,15.333,15.9568,7.384,4.16538,0.045125,1.96788,0.339375,0.477375,0.388667,5.40529,69632,8679416,1092992
merge,65536,32,100,1,0,20.154,20.8181,4.75467,1.58058,0.040625,2.17879,0.274875,0.327292,0.352332,2.16679,65536,8196395,1032168
merge,65536,32,100,1,1,19.888,20.5449,4.9835,1.48158,0.053042,1.46637,0.729334,0.386333,0.866458,2.17429,65536,8196395,1032168
merge,65536,32,100,1,2,20.8925,21.5718,7.95579,1.49812,0.039834,2.24662,0.38625,3.216,0.568167,5.04162,65536,8196395,1032168
