device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,n,prefix,duplicates,ratio,trial,cpu_merge_ms,cpu_all_ms,gpu_all_ms,decode_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,gpu_command_ms,survivors,bits,bytes
merge,4096,32,50,1,0,1.56792,1.83458,6.06163,1.86171,0.022292,1.69225,1.275,0.316834,0.893,2.58562,6142,753584,95208
merge,16384,32,50,1,0,6.74804,7.21267,7.765,2.02017,0.024583,2.37829,1.69446,0.44425,1.203,4.48837,24568,3014314,379848
merge,16384,32,50,1,1,6.86679,7.30921,7.05825,3.15833,0.024584,2.74538,0.349833,0.320292,0.459542,4.36721,24568,3014314,379848
merge,16384,32,50,1,2,6.43663,6.75058,4.64283,1.01438,0.028208,1.28271,0.276459,0.424958,1.61592,1.84,24568,3014314,379848
merge,65536,32,50,1,0,27.1747,28.0132,4.69137,1.19508,0.041167,2.34608,0.346916,0.372833,0.389083,2.47717,98286,12058641,1518560
merge,65536,32,50,1,1,27.514,28.3215,5.45817,1.18437,0.033917,3.02075,0.412042,0.378084,0.428666,2.37796,98286,12058641,1518560
merge,65536,32,50,1,2,27.0506,28.0334,8.4795,1.363,0.034375,2.88646,3.02296,0.556459,0.616,4.77275,98286,12058641,1518560
merge,262144,32,50,1,0,111.834,114.351,9.23638,2.47492,0.040667,3.63671,0.62375,1.29983,1.16029,4.37833,393194,48241520,6074088
merge,262144,32,50,1,1,109.559,111.786,13.1615,2.97792,0.03875,4.337,0.668459,4.39246,0.746708,9.61933,393194,48241520,6074088
merge,262144,32,50,1,2,110.257,112.455,8.76133,3.30579,0.042417,3.40342,0.496625,0.82075,0.692125,5.7345,393194,48241520,6074088
merge,65536,0,50,1,0,26.81,27.68,6.7985,2.47342,0.038,2.09083,0.71375,0.594292,0.887959,3.12513,98286,12022999,1514096
merge,65536,0,50,1,1,27.3909,28.9477,9.06771,2.90788,0.054375,1.61488,0.393417,3.59904,0.49775,5.75454,98286,12022999,1514096
merge,65536,0,50,1,2,27.7598,28.452,3.64625,1.06262,0.032792,1.51308,0.297208,0.391834,0.348542,1.34242,98286,12022999,1514096
merge,65536,256,50,1,0,26.6905,27.3693,13.9975,1.66933,0.040292,10.7736,0.452333,0.475709,0.585874,11.5275,98286,12099751,1523704
merge,65536,256,50,1,1,28.0563,29.1628,14.0796,1.45429,0.035792,11.0523,0.450042,0.499792,0.587082,11.6447,98286,12099751,1523704
merge,65536,256,50,1,2,27.1613,27.8498,11.1323,1.27317,0.036792,6.12212,0.700917,2.38371,0.615374,6.95679,98286,12099751,1523704
merge,65536,32,0,16,0,15.1283,15.7167,7.34912,3.76613,0.035625,1.84604,0.73625,0.442542,0.522333,4.62158,69632,8679416,1092992
merge,65536,32,0,16,1,15.1994,15.7417,7.28463,1.48242,0.057916,4.27333,0.417958,0.502292,0.546333,4.8675,69632,8679416,1092992
merge,65536,32,0,16,2,15.2946,16.0912,8.22317,1.35458,0.040459,2.53288,0.406042,3.40925,0.47975,5.00696,69632,8679416,1092992
merge,65536,32,100,1,0,20.3427,21.0567,5.39821,1.65275,0.031333,2.52554,0.321542,0.443375,0.423334,2.665,65536,8196395,1032168
merge,65536,32,100,1,1,20.2135,21.1126,7.59883,3.85917,0.042583,2.11317,0.282833,0.699083,0.601708,4.50942,65536,8196395,1032168
merge,65536,32,100,1,2,20.2642,20.9358,5.48725,1.21496,0.041166,1.63579,0.323083,0.4325,1.83937,2.19004,65536,8196395,1032168
