device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,n,prefix,duplicates,ratio,trial,cpu_merge_ms,cpu_all_ms,gpu_all_ms,decode_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,gpu_command_ms,survivors,bits,bytes
merge,4096,32,50,1,0,1.61917,1.97808,5.695,1.93067,0.031708,1.80117,0.680917,0.544583,0.705166,1.62667,6142,753584,95208
merge,16384,32,50,1,0,6.69979,7.09275,7.89429,4.12354,0.0385,1.86792,0.55925,0.571834,0.732791,3.92704,24568,3014314,379848
merge,16384,32,50,1,1,6.73125,7.128,6.63788,3.65546,0.031459,1.83696,0.311084,0.349542,0.453208,3.92408,24568,3014314,379848
merge,16384,32,50,1,2,6.77438,7.32575,4.14612,0.984792,0.0305,2.23108,0.291,0.242125,0.366333,1.64221,24568,3014314,379848
merge,65536,32,50,1,0,26.5993,27.5933,8.87925,1.70646,0.036583,4.309,1.21579,0.725417,0.88575,4.80321,98286,12058641,1518560
merge,65536,32,50,1,1,26.6426,28.2922,4.67592,1.17458,0.025625,2.25096,0.362292,0.372166,0.49,1.75475,98286,12058641,1518560
merge,65536,32,50,1,2,27.0512,27.8492,5.64925,2.10312,0.039709,2.17167,0.452917,0.46225,0.419333,2.71096,98286,12058641,1518560
merge,262144,32,50,1,0,108.385,110.458,9.44704,3.91075,0.053708,3.42488,0.513375,0.831292,0.712709,5.25088,393194,48241520,6074088
merge,262144,32,50,1,1,109.167,111.446,7.08083,1.804,0.057834,2.89804,0.570417,0.912291,0.837875,3.49308,393194,48241520,6074088
merge,262144,32,50,1,2,110.467,120.47,8.02021,1.62862,0.031167,2.75058,2.01896,0.811917,0.778833,3.77412,393194,48241520,6074088
merge,65536,0,50,1,0,26.1712,27.0193,5.39608,1.30508,0.068708,2.04117,0.378417,0.707083,0.895166,1.97383,98286,12022999,1514096
merge,65536,0,50,1,1,26.2477,26.9822,4.61742,1.99933,0.054875,1.12633,0.434334,0.458542,0.543626,1.77925,98286,12022999,1514096
merge,65536,0,50,1,2,26.5437,27.2123,6.84079,2.71092,0.035291,1.477,0.305917,1.83587,0.475582,3.48896,98286,12022999,1514096
merge,65536,256,50,1,0,26.226,27.1859,13.2177,1.828,0.038,9.92717,0.411583,0.43025,0.582168,9.41125,98286,12099751,1523704
merge,65536,256,50,1,1,27.902,28.9691,7.79854,1.12717,0.054792,5.33542,0.365167,0.393958,0.521792,5.26446,98286,12099751,1523704
merge,65536,256,50,1,2,27.621,28.3566,9.3875,1.34987,0.038916,6.34588,0.690833,0.463625,0.498167,6.72717,98286,12099751,1523704
merge,65536,32,0,16,0,15.8876,16.5368,6.58179,1.45558,0.031708,3.88496,0.464542,0.374875,0.369875,4.56475,69632,8679416,1092992
merge,65536,32,0,16,1,15.8599,16.5505,7.40367,1.59792,0.055666,4.33146,0.461417,0.424334,0.532583,4.83958,69632,8679416,1092992
merge,65536,32,0,16,2,16.0345,16.8173,4.46196,1.43317,0.03925,1.86796,0.30825,0.455917,0.357167,2.66792,69632,8679416,1092992
merge,65536,32,100,1,0,20.1971,20.8401,5.08433,2.64042,0.035958,1.3745,0.309958,0.328917,0.394375,2.74342,65536,8196395,1032168
merge,65536,32,100,1,1,20.6906,21.349,5.15158,1.07163,0.037416,1.44538,0.304,0.369125,1.92379,1.95642,65536,8196395,1032168
merge,65536,32,100,1,2,20.153,21.0439,3.34604,0.963167,0.029875,1.40646,0.262708,0.328667,0.354875,1.68521,65536,8196395,1032168
