device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,n,prefix,duplicates,ratio,trial,cpu_merge_ms,cpu_all_ms,gpu_all_ms,decode_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,gpu_command_ms,survivors,bits,bytes
merge,4096,32,50,1,0,1.60429,1.9315,6.109,2.67742,0.050291,1.52446,0.560958,0.560708,0.734208,2.6565,6142,753584,95208
merge,16384,32,50,1,0,6.44275,6.83133,7.5245,4.41633,0.050167,1.72829,0.338042,0.367958,0.623333,3.86742,24568,3014314,379848
merge,16384,32,50,1,1,6.68417,7.09175,6.80329,4.123,0.038291,1.53287,0.308334,0.370917,0.429417,5.07,24568,3014314,379848
merge,16384,32,50,1,2,6.43821,6.89867,6.68367,3.90537,0.042834,1.63642,0.306,0.432458,0.360293,4.25621,24568,3014314,379848
merge,65536,32,50,1,0,26.8266,27.6703,6.66767,1.53742,0.047834,3.64225,0.4255,0.48425,0.529834,4.33579,98286,12058641,1518560
merge,65536,32,50,1,1,26.3916,29.5919,8.12633,1.54542,0.034875,4.59633,0.431417,0.588125,0.929876,5.62183,98286,12058641,1518560
merge,65536,32,50,1,2,26.1074,26.7598,7.47154,1.49846,0.036875,4.31717,0.634042,0.53975,0.444916,5.19817,98286,12058641,1518560
merge,262144,32,50,1,0,107.46,109.746,13.4417,3.30071,0.052834,6.79833,0.718375,1.46121,1.10992,8.84875,393194,48241520,6074088
merge,262144,32,50,1,1,109.13,110.808,14.9853,5.3985,0.047333,6.75783,0.693166,1.36054,0.727625,11.8272,393194,48241520,6074088
merge,262144,32,50,1,2,107.615,109.89,12.784,2.34112,0.045625,6.69621,0.768917,2.05033,0.8815,8.82683,393194,48241520,6074088
merge,65536,0,50,1,0,27.2072,28.069,6.03529,2.64213,0.033875,1.16383,0.630375,0.760917,0.803751,2.99842,98286,12022999,1514096
merge,65536,0,50,1,1,27.5712,29.8173,6.73292,4.203,0.058,1.18421,0.373208,0.401375,0.512875,4.63283,98286,12022999,1514096
merge,65536,0,50,1,2,28.3664,29.1307,4.43971,0.983625,0.069833,1.17504,0.593333,0.732875,0.884417,1.27937,98286,12022999,1514096
merge,65536,256,50,1,0,26.9457,27.7857,8.82904,1.30238,0.037667,5.0015,1.08504,0.51875,0.883209,5.51696,98286,12099751,1523704
merge,65536,256,50,1,1,27.4793,28.3048,7.76546,2.17783,0.042709,4.35042,0.341042,0.407,0.446166,5.06679,98286,12099751,1523704
merge,65536,256,50,1,2,26.996,27.7015,11.7678,1.36342,0.0365,6.26692,3.12996,0.486541,0.484208,8.50821,98286,12099751,1523704
merge,65536,32,0,16,0,15.547,16.1261,10.0361,4.02075,0.04525,2.06308,0.43625,2.03996,1.4305,5.76154,69632,8679416,1092992
merge,65536,32,0,16,1,16.6187,17.3791,5.31992,1.8645,0.035291,1.90671,0.433625,0.518833,0.560625,3.02967,69632,8679416,1092992
merge,65536,32,0,16,2,16.1478,16.8777,8.93429,2.37396,0.046291,1.81221,2.99717,0.681875,1.02142,3.572,69632,8679416,1092992
merge,65536,32,100,1,0,27.8814,28.7257,4.81529,1.50913,0.036959,1.3385,0.731834,0.38475,0.813917,2.01483,65536,8196395,1032168
merge,65536,32,100,1,1,34.3169,34.9904,5.94538,1.39646,0.053,3.18063,0.450708,0.347166,0.51725,3.58583,65536,8196395,1032168
merge,65536,32,100,1,2,33.716,34.5715,8.76887,2.27133,0.07025,2.44458,0.377625,3.02375,0.581083,5.78588,65536,8196395,1032168
