device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,n,prefix,duplicates,ratio,trial,cpu_merge_ms,cpu_all_ms,gpu_all_ms,decode_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,gpu_command_ms,survivors,bits,bytes
merge,4096,32,50,1,0,1.60925,1.94392,4.74275,1.00871,0.12225,1.80996,1.09642,0.540291,0.16375,1.22342,6142,753584,95208
merge,16384,32,50,1,0,6.72396,7.28821,7.83175,3.92188,0.274292,2.27096,0.533167,0.541416,0.289251,2.02629,24568,3014314,379848
merge,16384,32,50,1,1,6.40575,6.85329,7.54408,3.67696,0.297125,2.14538,0.4695,0.731333,0.223,2.02821,24568,3014314,379848
merge,16384,32,50,1,2,6.37546,6.721,6.95992,3.69779,0.281625,2.06329,0.370667,0.32375,0.222167,1.05096,24568,3014314,379848
merge,65536,32,50,1,0,26.07,26.8116,27.1622,15.3817,1.03262,8.32096,0.844959,1.14288,0.438417,9.07092,98286,12058641,1518560
merge,65536,32,50,1,1,26.6808,27.7345,27.7588,14.3801,1.00525,10.0091,1.06817,0.87475,0.420834,9.54438,98286,12058641,1518560
merge,65536,32,50,1,2,26.7002,33.1223,27.1115,14.4523,0.956666,9.20183,0.768375,1.23142,0.499916,8.80729,98286,12058641,1518560
merge,262144,32,50,1,0,109.064,111.515,85.9123,62.322,3.55608,15.8843,1.25154,1.7855,1.11133,16.7522,393194,48241520,6074088
merge,262144,32,50,1,1,106.384,108.515,80.0752,59.2663,3.69783,13.3946,1.27883,1.33462,1.09979,14.1012,393194,48241520,6074088
merge,262144,32,50,1,2,106.604,108.748,92.1347,58.0635,3.71054,24.6412,1.60575,2.92779,1.18517,26.4729,393194,48241520,6074088
merge,65536,0,50,1,0,26.3445,27.2241,17.2617,13.2298,0.644625,1.46825,0.428166,0.973791,0.516333,0.791,98286,12022999,1514096
merge,65536,0,50,1,1,27.3367,28.231,17.2435,13.9451,0.605375,1.13058,0.339625,0.817125,0.404957,0.775833,98286,12022999,1514096
merge,65536,0,50,1,2,27.1688,27.9696,18.5234,13.6557,0.609,2.75967,0.411083,0.637583,0.449583,1.07121,98286,12022999,1514096
merge,65536,256,50,1,0,26.6483,27.4417,50.6841,22.609,3.18892,20.984,1.51083,1.86558,0.525125,21.42,98286,12099751,1523704
merge,65536,256,50,1,1,27.071,29.1406,42.2594,20.4755,3.222,16.0001,1.52979,0.5465,0.484583,16.382,98286,12099751,1523704
merge,65536,256,50,1,2,26.4944,27.3305,42.1246,20.2222,3.26437,15.6508,1.56879,0.94175,0.475625,16.2805,98286,12099751,1523704
merge,65536,32,0,16,0,15.6338,16.376,11.2735,7.55592,0.473417,1.13071,0.879042,0.859791,0.373834,1.07062,69632,8679416,1092992
merge,65536,32,0,16,1,15.0803,15.7873,11.1455,7.93879,0.479875,1.40567,0.480333,0.445333,0.394875,1.07725,69632,8679416,1092992
merge,65536,32,0,16,2,15.2124,16.3156,11.7415,7.74054,0.552209,1.35537,0.404709,1.27892,0.409042,1.11408,69632,8679416,1092992
merge,65536,32,100,1,0,19.622,20.2426,20.6155,14.4444,1.09725,3.71521,0.507917,0.451791,0.398209,2.87942,65536,8196395,1032168
merge,65536,32,100,1,1,18.9952,19.8972,21.252,14.7702,0.974667,4.26375,0.425709,0.461334,0.355667,3.32925,65536,8196395,1032168
merge,65536,32,100,1,2,19.2666,19.8721,27.4703,14.7905,1.07329,9.71183,0.471917,0.980875,0.440834,8.39271,65536,8196395,1032168
