mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
separate,0,cutover,2,train,4096,1,32,50,8,0,0,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.656541,1.933291,2.848709,1.20441662148,1.033542,0.03025,0.957667,0.248375,0.233333,0.34525,6142,753584,95208,1420657760
separate,0,cutover,2,train,4096,1,32,50,8,0,1,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.639208,1.902667,4.4705,1.34775001789,2.27275,0.031292,0.909458,0.721625,0.227209,0.307958,6142,753584,95208,1420657760
separate,0,cutover,2,train,4096,1,32,50,8,0,2,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.63425,1.944375,2.723042,1.02987495484,0.820958,0.031875,0.790042,0.202334,0.571,0.306542,6142,753584,95208,1420657760
fused,0,cutover,2,train,4096,1,32,50,8,0,0,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.665459,2.133667,3.003292,1.16412504576,0.99425,0.023167,1.394041,0.249583,0.235791,0.106208,6142,753584,95208,1420657760
fused,0,cutover,2,train,4096,1,32,50,8,0,1,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.691333,1.962208,4.053583,1.70716672437,0.914083,0.032667,0.793416,0.238084,1.97025,0.104708,6142,753584,95208,1420657760
fused,0,cutover,2,train,4096,1,32,50,8,0,2,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.61275,1.830958,3.368416,1.33054162143,1.745041,0.028292,0.815834,0.390542,0.253,0.135417,6142,753584,95208,1420657760
fused,0,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.222292,6.653375,3.917458,1.89037504606,1.044208,0.035042,0.953208,1.441792,0.311583,0.1315,24568,3014314,379848,1580578734
fused,0,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.4365,6.755709,2.892584,1.19804166025,0.782709,0.0335,1.320792,0.298917,0.287333,0.169041,24568,3014314,379848,1580578734
fused,0,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.638166,7.058541,4.054167,1.71912496444,2.459167,0.039833,0.909916,0.247958,0.267333,0.129708,24568,3014314,379848,1580578734
separate,0,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.350833,6.8675,3.094125,1.38675002381,1.137916,0.029416,1.018333,0.321042,0.291709,0.295375,24568,3014314,379848,1580578734
separate,0,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.368792,6.70875,4.132583,1.78966677049,1.121542,0.03075,2.108125,0.284958,0.266041,0.320916,24568,3014314,379848,1580578734
separate,0,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.439291,6.797708,4.643,2.9256666312,2.739583,0.034291,1.042583,0.212209,0.302208,0.311833,24568,3014314,379848,1580578734
separate,0,cutover,4,train,65536,1,32,50,8,0,0,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,27.153458,27.860875,3.867792,1.7044582637,1.064917,0.03325,1.689709,0.320125,0.39775,0.361833,98286,12058641,1518560,4111325549
separate,0,cutover,4,train,65536,1,32,50,8,0,1,0,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,26.759584,27.6485,4.297542,2.01504165307,1.062084,0.039667,1.87125,0.386625,0.476542,0.461,98286,12058641,1518560,4111325549
separate,0,cutover,4,train,65536,1,32,50,8,0,2,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,27.8075,28.626959,3.605084,1.6504166997,1.05525,0.037791,1.286333,0.407709,0.396791,0.420501,98286,12058641,1518560,4111325549
fused,0,cutover,4,train,65536,1,32,50,8,0,0,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,27.198208,27.934333,7.409542,5.39183331421,1.496667,0.039625,4.668083,0.415583,0.493917,0.295208,98286,12058641,1518560,4111325549
fused,0,cutover,4,train,65536,1,32,50,8,0,1,0,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,26.166042,26.851583,6.477083,3.69645829778,1.483458,0.036459,3.678292,0.44225,0.528,0.30825,98286,12058641,1518560,4111325549
fused,0,cutover,4,train,65536,1,32,50,8,0,2,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,26.718042,27.348208,4.170459,2.11941672023,1.503417,0.035209,1.651958,0.329042,0.370292,0.280375,98286,12058641,1518560,4111325549
separate,1,cutover,1,train,1024,1,32,50,8,0,0,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.470167,0.779583,4.916542,2.39308335586,3.139417,0.018084,0.958292,0.236042,0.270916,0.293333,1524,187043,23888,2086645356
separate,1,cutover,1,train,1024,1,32,50,8,0,1,1,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.406667,0.648625,3.196792,1.88387499657,1.188834,0.015042,1.279875,0.227833,0.238417,0.246624,1524,187043,23888,2086645356
separate,1,cutover,1,train,1024,1,32,50,8,0,2,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.402584,0.666667,5.278791,2.34904163517,0.845166,0.019875,2.731709,0.68675,0.258959,0.736168,1524,187043,23888,2086645356
fused,1,cutover,1,train,1024,1,32,50,8,0,0,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.4095,0.653125,3.672542,2.30516673764,0.934667,0.020833,1.347542,0.979,0.290125,0.100041,1524,187043,23888,2086645356
fused,1,cutover,1,train,1024,1,32,50,8,0,1,1,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.420125,0.774,1.943959,0.884416745976,0.675459,0.013042,0.713166,0.2235,0.223291,0.095334,1524,187043,23888,2086645356
fused,1,cutover,1,train,1024,1,32,50,8,0,2,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.387833,0.611792,2.224917,1.05324998731,0.911584,0.011125,0.808584,0.20525,0.2025,0.085708,1524,187043,23888,2086645356
fused,0,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.9725,16.591416,6.460875,2.25337495795,2.772,0.040875,0.642125,0.30475,1.484292,1.2165,36864,140062520,17513752,2035597497
fused,0,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.79175,16.489584,7.055209,2.30766675668,1.814667,0.042958,0.559625,0.413708,2.849375,1.374376,36864,140062520,17513752,2035597497
fused,0,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.142167,16.533375,9.392916,5.11804153211,1.97325,0.042916,0.968875,0.642417,4.257791,1.507417,36864,140062520,17513752,2035597497
separate,0,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.548375,17.186458,6.362125,3.00437497208,2.07875,0.0465,0.715042,0.300834,1.859917,1.36075,36864,140062520,17513752,2035597497
separate,0,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.669833,16.315458,9.286542,4.27799997851,1.671042,0.035084,3.622833,0.453916,1.966958,1.536416,36864,140062520,17513752,2035597497
separate,0,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.651958,16.114333,8.973125,5.60837500961,1.669875,0.033542,0.675917,0.274916,4.906292,1.412209,36864,140062520,17513752,2035597497
