device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,format,bits,trial,cpu_ms,gpu_end_to_end_ms,gpu_command_ms,count
rank,rank2048,1,0,0.000167,0.275375,0.0260416,0
rank,rank15,1,0,0.000125,0.23025,0.025625,0
rank,rank2048,15,0,0.000125,0.223,0.02625,7
rank,rank15,15,0,0.000125,0.202625,0.02875,7
rank,rank2048,31,0,0.000125,0.222917,0.021375,14
rank,rank15,31,0,8.4e-05,0.232667,0.0282083,14
rank,rank2048,1921,0,0.000208,0.214875,0.0277917,949
rank,rank15,1921,0,0.000708,0.24475,0.0529166,949
rank,rank2048,2049,0,0.000166,0.723583,0.0295001,1054
rank,rank15,2049,0,0.000625,0.763375,0.0559167,1054
rank,rank2048,65537,0,0.002666,0.636958,0.0312083,32964
rank,rank15,65537,0,0.013042,0.68725,0.070875,32964
rank,rank2048,1048576,0,0.011708,2.21446,0.412125,523916
rank,rank15,1048576,0,0.205458,0.306958,0.0809167,523916
rank,rank2048,1048576,1,0.006792,0.241,0.0329167,523916
rank,rank15,1048576,1,0.188,0.390584,0.0784583,523916
rank,rank2048,1048576,2,0.006459,0.213667,0.0302917,523916
rank,rank15,1048576,2,0.209833,0.731541,0.0847917,523916
rank,rank2048,1048576,3,0.005625,0.25325,0.0365417,523916
rank,rank15,1048576,3,0.19025,0.306958,0.0851667,523916
rank,rank2048,1048576,4,0.006583,0.2455,0.03825,523916
rank,rank15,1048576,4,0.214875,0.310083,0.086,523916
rank,rank2048,16777216,0,0.228333,1.68567,0.0625,8387851
rank,rank15,16777216,0,3.28542,0.971125,0.125292,8387851
rank,rank2048,16777216,1,0.233709,1.09112,0.090875,8387851
rank,rank15,16777216,1,3.12179,0.638,0.101,8387851
rank,rank2048,16777216,2,0.100875,0.83975,0.065125,8387851
rank,rank15,16777216,2,3.20138,0.843708,0.1295,8387851
rank,rank2048,16777216,3,0.081083,0.555417,0.0475416,8387851
rank,rank15,16777216,3,3.18729,0.614792,0.132125,8387851
rank,rank2048,16777216,4,0.087125,0.809458,0.0609166,8387851
rank,rank15,16777216,4,3.02075,0.538584,0.122375,8387851
rank,rank2048,268435456,0,3.22767,4.35375,0.47775,134218291
rank,rank15,268435456,0,52.7585,5.23738,1.653,134218291
rank,rank2048,268435456,1,1.58317,4.38537,0.803833,134218291
rank,rank15,268435456,1,51.2541,6.62558,3.45938,134218291
rank,rank2048,268435456,2,1.29563,3.68042,0.477875,134218291
rank,rank15,268435456,2,51.1028,5.48262,2.11738,134218291
rank,rank2048,268435456,3,1.33238,3.92658,0.815958,134218291
rank,rank15,268435456,3,50.0959,6.59171,2.71258,134218291
rank,rank2048,268435456,4,1.48304,3.42267,0.397167,134218291
rank,rank15,268435456,4,49.9576,4.69658,1.39279,134218291
