device,Apple M2 Max,unified,1,max_buffer,62620631040,page,16384,mmap_no_copy,passed
kind,format,bits,trial,cpu_owning_ms,cpu_reused_ms,gpu_reused_ms,gpu_command_ms
rank-shared,bitmap2048,1,0,0.00025,4.1e-05,0.633958,0.346792
rank-shared,class15,1,0,0.000375,0,0.494917,0.12275
rank-shared,bitmap2048,15,0,0.000417,8.4e-05,0.264084,0.0279583
rank-shared,class15,15,0,0.000208,8.4e-05,0.233416,0.0316667
rank-shared,bitmap2048,31,0,0.000166,4.2e-05,0.227083,0.0215833
rank-shared,class15,31,0,0.000167,4.2e-05,0.200209,0.0254167
rank-shared,bitmap2048,1921,0,0.000167,8.4e-05,0.182334,0.024125
rank-shared,class15,1921,0,0.000542,0.000209,0.199042,0.0300001
rank-shared,bitmap2048,2049,0,0.000292,0.000125,1.30433,0.514375
rank-shared,class15,2049,0,0.000584,0.000292,0.291541,0.0289583
rank-shared,bitmap2048,65537,0,0.00325,0.000166,0.206875,0.024125
rank-shared,class15,65537,0,0.00975,0.007292,0.183417,0.030625
rank-shared,bitmap2048,1048576,0,0.012417,0.001792,0.681875,0.0832083
rank-shared,bitmap2048,1048576,1,0.007625,0.001708,0.26925,0.03
rank-shared,bitmap2048,1048576,2,0.004792,0.001667,0.179375,0.0319167
rank-shared,bitmap2048,1048576,3,0.00625,0.002208,0.178666,0.030375
rank-shared,bitmap2048,1048576,4,0.004667,0.001709,0.176375,0.031125
rank-shared,class15,1048576,0,0.129416,0.118167,0.215541,0.04375
rank-shared,class15,1048576,1,0.128875,0.121166,0.202167,0.0431667
rank-shared,class15,1048576,2,0.130792,0.114458,0.221834,0.0517083
rank-shared,class15,1048576,3,0.139208,0.11325,0.20425,0.052
rank-shared,class15,1048576,4,0.129375,0.116167,0.299583,0.0445
rank-shared,bitmap2048,16777216,0,0.208167,0.035417,1.39817,0.07775
rank-shared,bitmap2048,16777216,1,0.205458,0.039125,0.241583,0.0554167
rank-shared,bitmap2048,16777216,2,0.070625,0.028208,1.66433,0.701958
rank-shared,bitmap2048,16777216,3,0.07475,0.03225,0.220125,0.044125
rank-shared,bitmap2048,16777216,4,0.070084,0.026292,0.243667,0.061625
rank-shared,class15,16777216,0,2.03,1.95379,0.721167,0.109083
rank-shared,class15,16777216,1,1.934,2.01696,0.300917,0.089
rank-shared,class15,16777216,2,1.98412,1.88896,0.674875,0.1085
rank-shared,class15,16777216,3,1.97796,1.95442,0.298417,0.0920417
rank-shared,class15,16777216,4,2.08562,1.92358,2.26992,0.95875
rank-shared,bitmap2048,268435456,0,2.91908,0.603166,2.02879,0.550333
rank-shared,bitmap2048,268435456,1,1.38779,0.643,0.646,0.441375
rank-shared,bitmap2048,268435456,2,1.42338,0.640375,1.16796,0.544542
rank-shared,bitmap2048,268435456,3,1.33446,0.799333,0.653375,0.443375
rank-shared,bitmap2048,268435456,4,1.40954,0.774292,0.822791,0.561958
rank-shared,class15,268435456,0,31.9842,30.1565,4.41775,3.55108
rank-shared,class15,268435456,1,32.4776,30.0167,2.31237,1.74
rank-shared,class15,268435456,2,31.4615,30.0369,2.18025,1.635
rank-shared,class15,268435456,3,32.2299,29.9451,3.98267,3.21675
rank-shared,class15,268435456,4,31.4608,30.1869,3.24242,1.63633
