kind,fixture,certified_input,cleanup,status,certified_matches,legacy_matches,output_records,output_bits
tombstone,five-to-seven,0,0,passed,0,1,4,89
tombstone,five-to-seven,0,1,passed,0,1,3,75
tombstone,two-owner-subbyte,0,0,passed,1,0,3,86
tombstone,two-owner-subbyte,0,1,passed,1,0,2,64
tombstone,tombstone-resurrection,0,0,passed,1,0,5,260
tombstone,tombstone-resurrection,0,1,passed,1,0,3,230
tombstone,adjacent-ramp-7,0,0,passed,6,0,8,1441
tombstone,adjacent-ramp-7,0,1,passed,6,0,2,1348
tombstone,all-deleted-7,0,0,passed,6,0,8,135
tombstone,all-deleted-7,0,1,passed,6,0,0,0
tombstone,adjacent-ramp-14,0,0,passed,13,0,15,1670
tombstone,adjacent-ramp-14,0,1,passed,13,0,2,1370
tombstone,all-deleted-14,0,0,passed,13,0,15,364
tombstone,all-deleted-14,0,1,passed,13,0,0,0
tombstone,adjacent-ramp-15,0,0,passed,14,0,16,1685
tombstone,adjacent-ramp-15,0,1,passed,14,0,2,1370
tombstone,all-deleted-15,0,0,passed,14,0,16,379
tombstone,all-deleted-15,0,1,passed,14,0,0,0
tombstone,adjacent-ramp-16,0,0,passed,15,0,17,1693
tombstone,adjacent-ramp-16,0,1,passed,15,0,2,1370
tombstone,all-deleted-16,0,0,passed,15,0,17,387
tombstone,all-deleted-16,0,1,passed,15,0,0,0
tombstone,adjacent-ramp-30,0,0,passed,29,0,31,2396
tombstone,adjacent-ramp-30,0,1,passed,29,0,2,1408
tombstone,all-deleted-30,0,0,passed,29,0,31,1090
tombstone,all-deleted-30,0,1,passed,29,0,0,0
tombstone,adjacent-ramp-31,0,0,passed,30,0,32,2405
tombstone,adjacent-ramp-31,0,1,passed,30,0,2,1408
tombstone,all-deleted-31,0,0,passed,30,0,32,1099
tombstone,all-deleted-31,0,1,passed,30,0,0,0
tombstone,adjacent-ramp-32,0,0,passed,31,0,33,2413
tombstone,adjacent-ramp-32,0,1,passed,31,0,2,1408
tombstone,all-deleted-32,0,0,passed,31,0,33,1107
tombstone,all-deleted-32,0,1,passed,31,0,0,0
tombstone,adjacent-ramp-127,0,0,passed,126,0,128,12711
tombstone,adjacent-ramp-127,0,1,passed,126,0,2,1612
tombstone,all-deleted-127,0,0,passed,126,0,128,11405
tombstone,all-deleted-127,0,1,passed,126,0,0,0
tombstone,adjacent-ramp-255,0,0,passed,254,0,256,41467
tombstone,adjacent-ramp-255,0,1,passed,254,0,2,1874
tombstone,all-deleted-255,0,0,passed,254,0,256,40161
tombstone,all-deleted-255,0,1,passed,254,0,0,0
tombstone,adjacent-ramp-513,0,0,passed,512,0,514,153476
tombstone,adjacent-ramp-513,0,1,passed,512,0,2,2408
tombstone,all-deleted-513,0,0,passed,512,0,514,152170
tombstone,all-deleted-513,0,1,passed,512,0,0,0
tombstone,newer-only,0,0,passed,0,0,4,110
tombstone,newer-only,0,1,passed,0,0,1,66
tombstone,five-to-seven,1,0,passed,1,0,4,89
tombstone,five-to-seven,1,1,passed,1,0,3,75
tombstone,two-owner-subbyte,1,0,passed,1,0,3,86
tombstone,two-owner-subbyte,1,1,passed,1,0,2,64
tombstone,tombstone-resurrection,1,0,passed,1,0,5,260
tombstone,tombstone-resurrection,1,1,passed,1,0,3,230
tombstone,adjacent-ramp-7,1,0,passed,6,0,8,1441
tombstone,adjacent-ramp-7,1,1,passed,6,0,2,1348
tombstone,all-deleted-7,1,0,passed,6,0,8,135
tombstone,all-deleted-7,1,1,passed,6,0,0,0
tombstone,adjacent-ramp-14,1,0,passed,13,0,15,1670
tombstone,adjacent-ramp-14,1,1,passed,13,0,2,1370
tombstone,all-deleted-14,1,0,passed,13,0,15,364
tombstone,all-deleted-14,1,1,passed,13,0,0,0
tombstone,adjacent-ramp-15,1,0,passed,14,0,16,1685
tombstone,adjacent-ramp-15,1,1,passed,14,0,2,1370
tombstone,all-deleted-15,1,0,passed,14,0,16,379
tombstone,all-deleted-15,1,1,passed,14,0,0,0
tombstone,adjacent-ramp-16,1,0,passed,15,0,17,1693
tombstone,adjacent-ramp-16,1,1,passed,15,0,2,1370
tombstone,all-deleted-16,1,0,passed,15,0,17,387
tombstone,all-deleted-16,1,1,passed,15,0,0,0
tombstone,adjacent-ramp-30,1,0,passed,29,0,31,2396
tombstone,adjacent-ramp-30,1,1,passed,29,0,2,1408
tombstone,all-deleted-30,1,0,passed,29,0,31,1090
tombstone,all-deleted-30,1,1,passed,29,0,0,0
tombstone,adjacent-ramp-31,1,0,passed,30,0,32,2405
tombstone,adjacent-ramp-31,1,1,passed,30,0,2,1408
tombstone,all-deleted-31,1,0,passed,30,0,32,1099
tombstone,all-deleted-31,1,1,passed,30,0,0,0
tombstone,adjacent-ramp-32,1,0,passed,31,0,33,2413
tombstone,adjacent-ramp-32,1,1,passed,31,0,2,1408
tombstone,all-deleted-32,1,0,passed,31,0,33,1107
tombstone,all-deleted-32,1,1,passed,31,0,0,0
tombstone,adjacent-ramp-127,1,0,passed,126,0,128,12711
tombstone,adjacent-ramp-127,1,1,passed,126,0,2,1612
tombstone,all-deleted-127,1,0,passed,126,0,128,11405
tombstone,all-deleted-127,1,1,passed,126,0,0,0
tombstone,adjacent-ramp-255,1,0,passed,254,0,256,41467
tombstone,adjacent-ramp-255,1,1,passed,254,0,2,1874
tombstone,all-deleted-255,1,0,passed,254,0,256,40161
tombstone,all-deleted-255,1,1,passed,254,0,0,0
tombstone,adjacent-ramp-513,1,0,passed,512,0,514,153476
tombstone,adjacent-ramp-513,1,1,passed,512,0,2,2408
tombstone,all-deleted-513,1,0,passed,512,0,514,152170
tombstone,all-deleted-513,1,1,passed,512,0,0,0
tombstone,newer-only,1,0,passed,0,0,4,110
tombstone,newer-only,1,1,passed,0,0,1,66
