fixture,records,family,byte_total,bit_total,byte_native,bit_native,byte_index,bit_index,total_delta_percent,native_delta_percent,index_delta_percent,extra_bytes_per_record
integer-ordered-fixed,1024,raw,16200,14744,12368,10960,3832,3784,9.875203472599026,12.846715328467152,1.2684989429175397,1.421875
integer-ordered-fixed,1024,typed,16208,21760,12368,17976,3840,3784,-25.51470588235294,-31.197151757899423,1.4799154334038,-5.421875
integer-ordered-fixed,1024,typed-known,16208,21760,12368,17976,3840,3784,-25.51470588235294,-31.197151757899423,1.4799154334038,-5.421875
integer-ordered-fixed,8192,raw,104664,93008,91752,80440,12912,12568,12.532255289867544,14.062655395325718,2.7371101209420656,1.4228515625
integer-ordered-fixed,8192,typed,104664,146984,91752,134416,12912,12568,-28.792249496543842,-31.74026901559338,2.7371101209420656,-5.166015625
integer-ordered-fixed,8192,typed-known,104664,146984,91752,134416,12912,12568,-28.792249496543842,-31.74026901559338,2.7371101209420656,-5.166015625
integer-ordered-fixed,32768,raw,405832,359144,364000,318720,41832,40424,12.999799523310983,14.206827309236946,3.483079358796748,1.4248046875
integer-ordered-fixed,32768,typed,405832,574088,364000,533664,41832,40424,-29.308398712392524,-31.7922887809558,3.483079358796748,-5.134765625
integer-ordered-fixed,32768,typed-known,405832,574088,364000,533664,41832,40424,-29.308398712392524,-31.7922887809558,3.483079358796748,-5.134765625
integer-ordered-fixed,131072,raw,1611488,1424664,1452968,1271856,158520,152808,13.113548176973655,14.239976852725466,3.7380241872153386,1.42535400390625
integer-ordered-fixed,131072,typed,1611488,2283416,1452968,2130608,158520,152808,-29.426438283694257,-31.805005895030902,3.7380241872153386,-5.12640380859375
integer-ordered-fixed,131072,typed-known,1611488,2283416,1452968,2130608,158520,152808,-29.426438283694257,-31.805005895030902,3.7380241872153386,-5.12640380859375
integer-ordered-variable,1024,raw,270016,269448,266184,265664,3832,3784,0.21080134200290868,0.19573596723680975,1.2684989429175397,0.5546875
integer-ordered-variable,1024,typed,272544,275688,268704,271904,3840,3784,-1.140419604770615,-1.1768859597504955,1.4799154334038,-3.0703125
integer-ordered-variable,1024,typed-known,272544,275688,268704,271904,3840,3784,-1.140419604770615,-1.1768859597504955,1.4799154334038,-3.0703125
integer-ordered-variable,8192,raw,2148168,2143768,2135256,2131200,12912,12568,0.20524609006198347,0.19031531531532586,2.7371101209420656,0.537109375
integer-ordered-variable,8192,typed,2168496,2191488,2155584,2178920,12912,12568,-1.0491501664622427,-1.070989297450109,2.7371101209420656,-2.806640625
integer-ordered-variable,8192,typed-known,2168496,2191488,2155584,2178920,12912,12568,-1.0491501664622427,-1.070989297450109,2.7371101209420656,-2.806640625
integer-ordered-variable,32768,raw,8589312,8571608,8547480,8531184,41832,40424,0.20654234304695596,0.1910168623722175,3.483079358796748,0.540283203125
integer-ordered-variable,32768,typed,8670520,8761520,8628688,8721096,41832,40424,-1.0386325660387663,-1.059591592616338,3.483079358796748,-2.777099609375
integer-ordered-variable,32768,typed-known,8670520,8761520,8628688,8721096,41832,40424,-1.0386325660387663,-1.059591592616338,3.483079358796748,-2.777099609375
integer-ordered-variable,131072,raw,34345568,34274368,34187048,34121560,158520,152808,0.20773541323941824,0.19192557432896606,3.7380241872153386,0.543212890625
integer-ordered-variable,131072,typed,34670264,35032984,34511744,34880176,158520,152808,-1.0353671271622233,-1.056279073821187,3.7380241872153386,-2.767333984375
integer-ordered-variable,131072,typed-known,34670264,35032984,34511744,34880176,158520,152808,-1.0353671271622233,-1.056279073821187,3.7380241872153386,-2.767333984375
integer-random-fixed,1024,raw,23464,23728,19144,19368,4320,4360,-1.1126095751854304,-1.156546881453946,-0.917431192660545,-0.2578125
integer-random-fixed,1024,typed,23480,22344,19152,17976,4328,4368,5.084138918725389,6.542056074766345,-0.9157509157509125,1.109375
integer-random-fixed,1024,typed-known,23480,22344,19152,17976,4328,4368,5.084138918725389,6.542056074766345,-0.9157509157509125,1.109375
