mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
raw-byte,integer-ordered-fixed,1024,native-0.kv,256,3096,2826,22608,2128,16384,4096,16,8,16,0,0,0,0,0,224,6,778,19,64,256,11,789
raw-byte,integer-ordered-fixed,1024,native-1.kv,256,3096,2826,22608,2128,16384,4096,16,8,16,0,0,0,0,0,224,6,778,19,64,256,7,785
raw-byte,integer-ordered-fixed,1024,native-2.kv,512,5928,5642,45136,4176,32768,8192,24,16,16,0,0,0,0,0,224,6,1546,36,64,512,7,1553
raw-byte,integer-ordered-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
raw-byte,integer-ordered-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,integer-ordered-fixed,1024,route-1.index,35,1096,115,920,360,0,560,8,16,32,0,48,5,320,0,544,8,115,5,0,35,7,122
raw-byte,integer-ordered-fixed,1024,route-2.index,38,840,134,1072,464,0,608,16,16,32,0,32,6,48,0,544,12,134,6,0,38,15,149
raw-byte,integer-ordered-fixed,1024,route-3.index,3,680,18,144,96,0,48,8,16,32,0,32,1,16,0,544,13,18,3,0,3,8,26
raw-byte,integer-ordered-variable,1024,native-0.kv,256,66472,66185,529480,2128,519632,7720,32,8,16,0,0,0,0,0,224,7,66185,19,0,256,11,789
raw-byte,integer-ordered-variable,1024,native-1.kv,256,68696,68409,547272,2128,537448,7696,32,8,16,0,0,0,0,0,224,7,68409,19,0,256,7,785
raw-byte,integer-ordered-variable,1024,native-2.kv,512,130768,130455,1043640,4176,1024200,15264,56,16,16,0,0,0,0,0,224,1,130455,36,0,512,7,1553
raw-byte,integer-ordered-variable,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
raw-byte,integer-ordered-variable,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,integer-ordered-variable,1024,route-1.index,35,1096,115,920,360,0,560,8,16,32,0,48,5,320,0,544,8,115,5,0,35,7,122
raw-byte,integer-ordered-variable,1024,route-2.index,38,840,134,1072,464,0,608,16,16,32,0,32,6,48,0,544,12,134,6,0,38,15,149
raw-byte,integer-ordered-variable,1024,route-3.index,3,680,18,144,96,0,48,8,16,32,0,32,1,16,0,544,13,18,3,0,3,8,26
raw-byte,integer-random-fixed,1024,native-0.kv,256,4840,4561,36488,16008,16384,4096,24,8,16,0,0,0,0,0,224,7,2513,19,64,256,5,2518
raw-byte,integer-random-fixed,1024,native-1.kv,256,4832,4558,36464,15984,16384,4096,24,8,16,0,0,0,0,0,224,2,2510,19,64,256,8,2518
raw-byte,integer-random-fixed,1024,native-2.kv,512,9224,8936,71488,30528,32768,8192,32,16,16,0,0,0,0,0,224,0,4840,36,64,512,14,4854
raw-byte,integer-random-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
raw-byte,integer-random-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,integer-random-fixed,1024,route-1.index,35,1328,350,2800,2240,0,560,8,16,32,0,48,5,320,0,544,5,350,5,0,35,2,352
raw-byte,integer-random-fixed,1024,route-2.index,38,1088,380,3040,2432,0,608,16,16,32,0,32,6,48,0,544,14,380,6,0,38,3,383
raw-byte,integer-random-fixed,1024,route-3.index,3,688,30,240,192,0,48,8,16,32,0,32,1,16,0,544,9,30,3,0,3,1,31
raw-byte,integer-random-variable,1024,native-0.kv,256,69520,69238,553904,16008,530176,7720,32,8,16,0,0,0,0,0,224,2,69238,19,0,256,5,2518
raw-byte,integer-random-variable,1024,native-1.kv,256,67168,66887,535096,15984,511448,7664,32,8,16,0,0,0,0,0,224,1,66887,19,0,256,8,2518
raw-byte,integer-random-variable,1024,native-2.kv,512,136000,135685,1085480,30528,1039656,15296,56,16,16,0,0,0,0,0,224,3,135685,36,0,512,14,4854
raw-byte,integer-random-variable,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
raw-byte,integer-random-variable,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,integer-random-variable,1024,route-1.index,35,1328,350,2800,2240,0,560,8,16,32,0,48,5,320,0,544,5,350,5,0,35,2,352
raw-byte,integer-random-variable,1024,route-2.index,38,1088,380,3040,2432,0,608,16,16,32,0,32,6,48,0,544,14,380,6,0,38,3,383
raw-byte,integer-random-variable,1024,route-3.index,3,688,30,240,192,0,48,8,16,32,0,32,1,16,0,544,9,30,3,0,3,1,31
raw-byte,string-structured-fixed,1024,native-0.kv,256,6824,6545,52360,15496,32768,4096,24,8,16,0,0,0,0,0,224,7,2449,19,128,256,0,2449
raw-byte,string-structured-fixed,1024,native-1.kv,256,6824,6545,52360,15496,32768,4096,24,8,16,0,0,0,0,0,224,7,2449,19,128,256,0,2449
raw-byte,string-structured-fixed,1024,native-2.kv,512,13240,12945,103560,29832,65536,8192,32,16,16,0,0,0,0,0,224,7,4753,36,128,512,0,4753
raw-byte,string-structured-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,128,0,0,0
raw-byte,string-structured-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,string-structured-fixed,1024,route-1.index,35,1368,392,3136,2576,0,560,8,16,32,0,48,5,320,0,544,3,392,5,0,35,0,392
raw-byte,string-structured-fixed,1024,route-2.index,38,1176,464,3712,3104,0,608,16,16,32,0,32,6,48,0,544,18,464,6,0,38,0,464
raw-byte,string-structured-fixed,1024,route-3.index,3,720,63,504,456,0,48,8,16,32,0,32,1,16,0,544,8,63,3,0,3,0,63
raw-byte,string-structured-variable,1024,native-0.kv,256,68136,67856,542848,15496,519632,7720,32,8,16,0,0,0,0,0,224,0,67856,19,0,256,0,2449
raw-byte,string-structured-variable,1024,native-1.kv,256,70360,70080,560640,15496,537448,7696,32,8,16,0,0,0,0,0,224,0,70080,19,0,256,0,2449
raw-byte,string-structured-variable,1024,native-2.kv,512,133976,133662,1069296,29832,1024200,15264,56,16,16,0,0,0,0,0,224,2,133662,36,0,512,0,4753
raw-byte,string-structured-variable,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
raw-byte,string-structured-variable,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,string-structured-variable,1024,route-1.index,35,1368,392,3136,2576,0,560,8,16,32,0,48,5,320,0,544,3,392,5,0,35,0,392
raw-byte,string-structured-variable,1024,route-2.index,38,1176,464,3712,3104,0,608,16,16,32,0,32,6,48,0,544,18,464,6,0,38,0,464
raw-byte,string-structured-variable,1024,route-3.index,3,720,63,504,456,0,48,8,16,32,0,32,1,16,0,544,8,63,3,0,3,0,63
raw-byte,string-binary-fixed,1024,native-0.kv,256,8936,8657,69256,32392,32768,4096,24,8,16,0,0,0,0,0,224,7,4561,19,128,256,11,4572
raw-byte,string-binary-fixed,1024,native-1.kv,256,8928,8654,69232,32368,32768,4096,24,8,16,0,0,0,0,0,224,2,4558,19,128,256,19,4577
raw-byte,string-binary-fixed,1024,native-2.kv,512,17416,17128,137024,63296,65536,8192,32,16,16,0,0,0,0,0,224,0,8936,36,128,512,34,8970
raw-byte,string-binary-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,128,0,0,0
raw-byte,string-binary-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,string-binary-fixed,1024,route-1.index,35,1608,630,5040,4480,0,560,8,16,32,0,48,5,320,0,544,5,630,5,0,35,5,635
raw-byte,string-binary-fixed,1024,route-2.index,38,1392,684,5472,4864,0,608,16,16,32,0,32,6,48,0,544,14,684,6,0,38,4,688
raw-byte,string-binary-fixed,1024,route-3.index,3,712,54,432,384,0,48,8,16,32,0,32,1,16,0,544,9,54,3,0,3,1,55
raw-byte,string-binary-variable,1024,native-0.kv,256,71568,71286,570288,32392,530176,7720,32,8,16,0,0,0,0,0,224,2,71286,19,0,256,11,4572
raw-byte,string-binary-variable,1024,native-1.kv,256,69216,68935,551480,32368,511448,7664,32,8,16,0,0,0,0,0,224,1,68935,19,0,256,19,4577
raw-byte,string-binary-variable,1024,native-2.kv,512,140096,139781,1118248,63296,1039656,15296,56,16,16,0,0,0,0,0,224,3,139781,36,0,512,34,8970
raw-byte,string-binary-variable,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
raw-byte,string-binary-variable,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,string-binary-variable,1024,route-1.index,35,1608,630,5040,4480,0,560,8,16,32,0,48,5,320,0,544,5,630,5,0,35,5,635
raw-byte,string-binary-variable,1024,route-2.index,38,1392,684,5472,4864,0,608,16,16,32,0,32,6,48,0,544,14,684,6,0,38,4,688
raw-byte,string-binary-variable,1024,route-3.index,3,712,54,432,384,0,48,8,16,32,0,32,1,16,0,544,9,54,3,0,3,1,55
raw-byte,string-prefix-fixed,1024,native-0.kv,256,5280,5009,40072,3208,32768,4096,16,8,16,0,0,0,0,0,224,7,913,19,128,256,0,913
raw-byte,string-prefix-fixed,1024,native-1.kv,256,5280,5009,40072,3208,32768,4096,16,8,16,0,0,0,0,0,224,7,913,19,128,256,0,913
raw-byte,string-prefix-fixed,1024,native-2.kv,512,10160,9873,78984,5256,65536,8192,24,16,16,0,0,0,0,0,224,7,1681,36,128,512,0,1681
raw-byte,string-prefix-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,128,0,0,0
raw-byte,string-prefix-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
raw-byte,string-prefix-fixed,1024,route-1.index,35,1160,182,1456,896,0,560,8,16,32,0,48,5,320,0,544,5,182,5,0,35,0,182
raw-byte,string-prefix-fixed,1024,route-2.index,38,952,236,1888,1280,0,608,16,16,32,0,32,6,48,0,544,22,236,6,0,38,0,236
raw-byte,string-prefix-fixed,1024,route-3.index,3,704,45,360,312,0,48,8,16,32,0,32,1,16,0,544,10,45,3,0,3,0,45
raw-byte,string-prefix-variable,1024,native-0.kv,256,66600,66320,530560,3208,519632,7720,32,8,16,0,0,0,0,0,224,0,66320,19,0,256,0,913
