mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
typed-byte,integer-ordered-fixed,1024,native-0.kv,256,3096,2827,22616,2136,16384,4096,16,8,16,0,0,0,0,0,224,5,779,19,64,256,12,791
typed-byte,integer-ordered-fixed,1024,native-1.kv,256,3096,2827,22616,2136,16384,4096,16,8,16,0,0,0,0,0,224,5,779,19,64,256,8,787
typed-byte,integer-ordered-fixed,1024,native-2.kv,512,5928,5643,45144,4184,32768,8192,24,16,16,0,0,0,0,0,224,5,1547,36,64,512,8,1555
typed-byte,integer-ordered-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
typed-byte,integer-ordered-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
typed-byte,integer-ordered-fixed,1024,route-1.index,35,1096,116,928,368,0,560,8,16,32,0,48,5,320,0,544,7,116,5,0,35,8,124
typed-byte,integer-ordered-fixed,1024,route-2.index,38,848,136,1088,480,0,608,16,16,32,0,32,6,48,0,544,18,136,6,0,38,17,153
typed-byte,integer-ordered-fixed,1024,route-3.index,3,680,19,152,104,0,48,8,16,32,0,32,1,16,0,544,12,19,3,0,3,9,28
typed-byte,integer-ordered-variable,1024,native-0.kv,256,67096,66816,534528,2136,524664,7728,32,8,16,0,0,0,0,0,224,0,66816,19,0,256,12,791
typed-byte,integer-ordered-variable,1024,native-1.kv,256,69328,69045,552360,2136,542528,7696,32,8,16,0,0,0,0,0,224,3,69045,19,0,256,8,787
typed-byte,integer-ordered-variable,1024,native-2.kv,512,132032,131714,1053712,4184,1034256,15272,56,16,16,0,0,0,0,0,224,6,131714,36,0,512,8,1555
typed-byte,integer-ordered-variable,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
typed-byte,integer-ordered-variable,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
typed-byte,integer-ordered-variable,1024,route-1.index,35,1096,116,928,368,0,560,8,16,32,0,48,5,320,0,544,7,116,5,0,35,8,124
typed-byte,integer-ordered-variable,1024,route-2.index,38,848,136,1088,480,0,608,16,16,32,0,32,6,48,0,544,18,136,6,0,38,17,153
typed-byte,integer-ordered-variable,1024,route-3.index,3,680,19,152,104,0,48,8,16,32,0,32,1,16,0,544,12,19,3,0,3,9,28
typed-byte,integer-random-fixed,1024,native-0.kv,256,4840,4562,36496,16016,16384,4096,24,8,16,0,0,0,0,0,224,6,2514,19,64,256,6,2520
typed-byte,integer-random-fixed,1024,native-1.kv,256,4832,4559,36472,15992,16384,4096,24,8,16,0,0,0,0,0,224,1,2511,19,64,256,9,2520
typed-byte,integer-random-fixed,1024,native-2.kv,512,9232,8937,71496,30536,32768,8192,32,16,16,0,0,0,0,0,224,7,4841,36,64,512,15,4856
typed-byte,integer-random-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
typed-byte,integer-random-fixed,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
typed-byte,integer-random-fixed,1024,route-1.index,35,1328,351,2808,2248,0,560,8,16,32,0,48,5,320,0,544,4,351,5,0,35,3,354
typed-byte,integer-random-fixed,1024,route-2.index,38,1096,382,3056,2448,0,608,16,16,32,0,32,6,48,0,544,20,382,6,0,38,5,387
typed-byte,integer-random-fixed,1024,route-3.index,3,688,31,248,200,0,48,8,16,32,0,32,1,16,0,544,8,31,3,0,3,2,33
typed-byte,integer-random-variable,1024,native-0.kv,256,70152,69872,558976,16016,535232,7728,32,8,16,0,0,0,0,0,224,0,69872,19,0,256,6,2520
typed-byte,integer-random-variable,1024,native-1.kv,256,67800,67516,540128,15992,516464,7672,32,8,16,0,0,0,0,0,224,4,67516,19,0,256,9,2520
typed-byte,integer-random-variable,1024,native-2.kv,512,137264,136948,1095584,30536,1049752,15296,56,16,16,0,0,0,0,0,224,4,136948,36,0,512,15,4856
typed-byte,integer-random-variable,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
typed-byte,integer-random-variable,1024,route-0.index,0,1216,0,0,0,0,0,0,16,32,0,64,0,560,0,544,0,0,2,0,0,0,0
typed-byte,integer-random-variable,1024,route-1.index,35,1328,351,2808,2248,0,560,8,16,32,0,48,5,320,0,544,4,351,5,0,35,3,354
typed-byte,integer-random-variable,1024,route-2.index,38,1096,382,3056,2448,0,608,16,16,32,0,32,6,48,0,544,20,382,6,0,38,5,387
typed-byte,integer-random-variable,1024,route-3.index,3,688,31,248,200,0,48,8,16,32,0,32,1,16,0,544,8,31,3,0,3,2,33
typed-byte,string-structured-fixed,1024,native-0.kv,256,7336,7058,56464,15504,34816,6144,24,8,16,0,0,0,0,0,224,6,7058,19,0,256,1,2451
typed-byte,string-structured-fixed,1024,native-1.kv,256,7336,7058,56464,15504,34816,6144,24,8,16,0,0,0,0,0,224,6,7058,19,0,256,1,2451
typed-byte,string-structured-fixed,1024,native-2.kv,512,14272,13970,111760,29840,69632,12288,40,16,16,0,0,0,0,0,224,6,13970,36,0,512,1,4755
typed-byte,string-structured-fixed,1024,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
